Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 17 | Litigation (jpg:17,idx:16)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01793722,2.0,(12|2)
0.01788909,4.0,(14|35)
0.01785714,2.0,(13|4)
0.01754386,2.0,(4|38)
0.01754386,1.0,(13|13)
0.01754386,2.0,(22|24)
0.01748808,3.0,(22|41)
0.01744186,1.0,(6|41)
0.01724138,2.0,(8|47)
0.01724138,4.0,(25|36)
0.01724138,1.0,(29|10)
0.01702128,4.0,(22|26)
0.01694915,2.0,(30|13)
0.01685393,3.0,(25|10)
0.01680672,2.0,(6|45)
0.01666667,1.0,(13|24)
0.01652892,3.0,(21|28)
0.01652892,2.0,(28|25)
0.01643836,4.0,(9|42)
0.01626016,1.0,(1|16)
0.01626016,2.0,(1|36)
0.01626016,1.0,(7|3)
0.01612903,1.0,(15|10)
0.01600000,1.0,(8|14)
0.01600000,1.0,(12|44)
0.01587302,1.0,(10|4)
0.01587302,2.0,(10|22)
0.01574803,2.0,(48|26)
0.01572327,3.0,(25|25)
0.01530612,3.0,(16|26)
0.01526718,1.0,(15|20)
0.01526718,2.0,(27|12)
0.01522843,2.0,(7|43)
0.01519757,3.0,(26|8)
0.01503759,2.0,(46|33)
0.01492537,1.0,(25|20)
0.01488834,4.0,(9|3)
0.01481481,2.0,(21|2)
0.01465201,2.0,(13|38)
0.01413428,2.0,(44|34)
0.01408451,1.0,(19|48)
0.01403509,1.0,(17|21)
0.01379310,1.0,(6|21)
0.01379310,2.0,(17|38)
0.01379310,3.0,(25|37)
0.01375246,2.0,(10|21)
0.01369863,2.0,(37|41)
0.01363636,1.0,(29|24)
0.01360544,1.0,(15|21)
0.01352875,1.0,(20|41)
0.01333333,2.0,(2|49)
0.01333333,2.0,(4|46)
0.01324503,1.0,(49|8)
0.01315789,1.0,(14|17)
0.01315789,3.0,(28|43)
0.01298701,2.0,(14|8)
0.01291990,3.0,(26|4)
0.01282051,1.0,(8|44)
0.01282051,1.0,(11|46)
0.01282051,2.0,(24|18)
0.01246883,3.0,(6|47)
0.01246106,3.0,(23|13)
0.01209677,2.0,(15|23)
0.01204819,2.0,(26|47)
0.01204819,1.0,(29|45)
0.01204819,3.0,(40|6)
0.01190476,1.0,(6|46)
0.01190476,2.0,(16|42)
0.01183432,2.0,(2|2)
0.01183432,1.0,(4|19)
0.01176471,2.0,(8|2)
0.01176471,2.0,(18|17)
0.01169591,2.0,(13|7)
0.01167315,2.0,(0|42)
0.01162791,1.0,(16|40)
0.01162791,1.0,(48|31)
0.01149425,1.0,(17|2)
0.01149425,1.0,(29|49)
0.01145038,3.0,(16|44)
0.01142857,2.0,(3|18)
0.01127820,3.0,(27|41)
0.01123596,2.0,(27|4)
0.01117318,2.0,(2|39)
0.01117318,2.0,(31|9)
0.01111111,1.0,(5|38)
0.01104972,1.0,(11|45)
0.01098901,1.0,(49|41)
0.01081081,2.0,(36|5)
0.01075269,2.0,(23|31)
0.01072386,1.0,(14|40)
0.01063830,1.0,(8|40)
0.01061008,2.0,(24|11)
0.01047120,2.0,(3|35)
0.01041667,2.0,(28|10)
0.01036269,1.0,(4|3)
0.01036269,2.0,(5|35)
0.01034483,3.0,(18|22)
0.01030928,1.0,(9|5)
0.01027397,1.0,(15|26)
0.01020408,1.0,(1|4)
0.01013513,1.0,(19|22)
0.01000000,2.0,(36|41)
0.009803922,2.0,(22|11)
0.009756098,1.0,(15|7)
0.009708738,1.0,(22|18)
0.009661836,1.0,(18|3)
0.009316770,1.0,(25|0)
0.009302326,2.0,(25|2)
0.009287925,2.0,(24|28)
0.009259259,1.0,(8|13)
0.009216590,4.0,(22|27)
0.009174312,2.0,(0|38)
0.009174312,2.0,(0|39)
0.009146341,2.0,(18|41)
0.009132420,1.0,(36|39)
0.009090909,1.0,(2|37)
0.009090909,1.0,(28|41)
0.009049774,1.0,(3|41)
0.008928572,2.0,(21|18)
0.008928572,2.0,(24|37)
0.008928572,2.0,(25|19)
0.008810572,2.0,(14|1)
0.008771930,2.0,(32|43)
0.008695652,1.0,(27|49)
0.008658009,2.0,(1|9)
0.008658009,2.0,(2|9)
0.008510638,2.0,(3|11)
0.008403362,1.0,(3|4)
0.008403362,1.0,(5|1)
0.008130081,4.0,(11|44)
0.008032128,2.0,(14|7)
0.008032128,1.0,(17|31)
0.008000000,2.0,(3|16)
0.007812500,1.0,(26|37)
0.007812500,1.0,(27|48)
0.007751938,1.0,(10|36)
0.007633588,1.0,(11|48)
0.007633588,2.0,(16|1)
0.007614213,3.0,(11|2)
0.007604563,2.0,(5|10)
0.007604563,2.0,(5|11)
0.007575758,1.0,(4|33)
0.007407407,2.0,(24|19)
0.007272727,2.0,(13|41)
0.007142857,3.0,(0|26)
0.007042253,1.0,(32|8)
0.006952491,3.0,(6|3)
0.006896552,1.0,(14|33)
0.006896552,2.0,(43|34)
0.006872852,2.0,(23|4)
0.006711409,2.0,(5|34)
0.006666667,1.0,(16|13)
0.006644518,3.0,(11|0)
0.006622517,1.0,(27|6)
0.006578947,1.0,(43|6)
0.006493506,1.0,(5|31)
0.006451613,1.0,(33|44)
0.006430868,1.0,(15|24)
0.006410256,1.0,(27|26)
0.006410256,1.0,(44|40)
0.006329114,1.0,(33|10)
0.006250000,1.0,(24|23)
0.006224066,2.0,(21|33)
0.006172840,1.0,(32|9)
0.006097561,1.0,(22|9)
0.006079027,2.0,(23|12)
0.005952381,1.0,(0|27)
0.005952381,1.0,(3|33)
0.005917160,1.0,(23|30)
0.005865103,2.0,(14|42)
0.005847953,2.0,(12|47)
0.005747126,1.0,(1|27)
0.005617978,1.0,(15|30)
0.005502063,1.0,(26|41)
0.005464481,2.0,(23|6)
0.005405406,1.0,(23|41)
0.005333333,1.0,(14|44)
0.005319149,1.0,(32|10)
0.005277045,2.0,(28|22)
0.005263158,2.0,(1|13)
0.005181347,1.0,(4|34)
0.005102041,2.0,(23|10)
0.005093378,2.0,(22|39)
0.005037783,1.0,(13|22)
0.005012531,2.0,(21|22)
0.005012531,1.0,(23|18)
0.004975124,2.0,(15|37)
0.004975124,1.0,(17|22)
0.004975124,1.0,(25|3)
0.004968944,1.0,(4|30)
0.004819277,1.0,(24|30)
0.004819277,1.0,(24|31)
0.004796163,2.0,(21|16)
0.004640371,1.0,(0|1)
0.004640371,1.0,(0|2)
0.004640371,2.0,(20|19)
0.004566210,2.0,(13|31)
0.004566210,1.0,(30|15)
0.004464286,1.0,(6|30)
0.004434590,2.0,(9|33)
0.004424779,2.0,(5|32)
0.004366812,1.0,(25|8)
0.004162331,1.0,(21|37)
0.004149378,1.0,(15|22)
0.004137931,1.0,(27|0)
0.004106776,1.0,(28|6)
0.004065040,1.0,(27|37)
0.004060914,1.0,(23|37)
0.004048583,2.0,(10|34)
0.003891051,1.0,(20|26)
0.003846154,3.0,(24|33)
0.003766478,1.0,(20|20)
0.003759399,1.0,(9|7)
0.003683241,1.0,(26|19)
0.003623188,1.0,(16|20)
0.003533569,1.0,(22|29)
0.003496503,2.0,(4|10)
0.003412969,1.0,(44|44)
0.003367003,2.0,(14|0)
0.003355705,1.0,(40|34)
0.003294893,2.0,(27|17)
0.003225806,2.0,(14|5)
0.003154574,1.0,(14|6)
0.003062787,2.0,(18|27)
0.002911208,1.0,(9|27)
0.002890173,1.0,(33|7)
0.002865330,1.0,(24|22)
0.002772643,3.0,(15|40)
0.002754821,1.0,(13|9)
0.002747253,1.0,(11|7)
0.002735978,2.0,(19|29)
0.002659574,1.0,(31|2)
0.002531646,1.0,(20|17)
0.002493766,1.0,(32|3)
0.002439024,1.0,(0|10)
0.002369668,1.0,(35|34)
0.002227172,1.0,(42|41)
0.002141328,1.0,(8|35)
0.002132196,1.0,(14|2)
0.002004008,1.0,(14|32)
0.001988071,1.0,(21|34)
0.001988071,1.0,(25|32)
0.001976285,1.0,(25|30)
0.001956947,1.0,(32|44)
0.001733102,1.0,(12|4)
0.001692047,1.0,(8|21)
0.001650165,1.0,(26|33)
0.001582279,1.0,(28|5)
0.001545595,1.0,(15|19)
0.001503759,1.0,(19|43)
0.001503759,1.0,(24|41)
0.001425517,1.0,(20|39)
0.001406470,1.0,(14|25)
0.001385042,1.0,(30|41)
0.001358696,1.0,(14|24)
0.001225490,1.0,(28|24)
