Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:24)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01851852,1.0,(37|47)
0.01840491,2.0,(35|18)
0.01827676,1.0,(37|13)
0.01808318,1.0,(34|21)
0.01785714,1.0,(22|1)
0.01754386,1.0,(13|13)
0.01754386,1.0,(33|34)
0.01754386,2.0,(36|11)
0.01754386,1.0,(49|47)
0.01731602,1.0,(36|0)
0.01724138,1.0,(42|19)
0.01709402,1.0,(37|49)
0.01702128,2.0,(22|26)
0.01680672,1.0,(9|25)
0.01632653,3.0,(42|13)
0.01612903,1.0,(42|21)
0.01587302,1.0,(45|25)
0.01587302,1.0,(46|21)
0.01587302,1.0,(49|23)
0.01568628,1.0,(40|24)
0.01567398,2.0,(47|16)
0.01562500,1.0,(11|26)
0.01562500,1.0,(38|7)
0.01562500,1.0,(39|20)
0.01532567,1.0,(36|7)
0.01532567,1.0,(37|9)
0.01524390,1.0,(39|37)
0.01503759,1.0,(37|31)
0.01503759,1.0,(43|22)
0.01497006,1.0,(35|20)
0.01492537,2.0,(44|18)
0.01467505,2.0,(48|44)
0.01456311,2.0,(47|18)
0.01454545,1.0,(48|23)
0.01449275,1.0,(43|40)
0.01433692,1.0,(41|11)
0.01428571,1.0,(34|25)
0.01428571,1.0,(39|41)
0.01428571,1.0,(45|29)
0.01418440,1.0,(37|15)
0.01412429,1.0,(39|28)
0.01408451,1.0,(3|44)
0.01408451,1.0,(47|47)
0.01403509,1.0,(36|49)
0.01393728,1.0,(1|1)
0.01379310,1.0,(46|18)
0.01376147,1.0,(40|17)
0.01369863,1.0,(46|44)
0.01360544,1.0,(15|21)
0.01345291,1.0,(48|43)
0.01321586,1.0,(15|34)
0.01315789,1.0,(10|26)
0.01315789,1.0,(22|4)
0.01298701,1.0,(0|19)
0.01290323,1.0,(40|43)
0.01282051,1.0,(0|44)
0.01261830,1.0,(42|12)
0.01255230,2.0,(38|17)
0.01246106,2.0,(38|29)
0.01242236,1.0,(47|41)
0.01242236,1.0,(48|41)
0.01219512,1.0,(32|48)
0.01219512,1.0,(34|46)
0.01219512,1.0,(47|22)
0.01208459,2.0,(34|17)
0.01194030,2.0,(35|4)
0.01183432,1.0,(48|21)
0.01173021,1.0,(39|11)
0.01166181,1.0,(35|16)
0.01162791,1.0,(41|34)
0.01162791,1.0,(43|25)
0.01162791,1.0,(45|42)
0.01162791,1.0,(45|43)
0.01156069,1.0,(34|15)
0.01149425,1.0,(37|27)
0.01149425,1.0,(39|17)
0.01145038,2.0,(38|13)
0.01142857,1.0,(42|37)
0.01136364,1.0,(0|0)
0.01136364,1.0,(46|12)
0.01136364,1.0,(47|12)
0.01136364,1.0,(47|14)
0.01127820,1.0,(37|19)
0.01123596,1.0,(45|31)
0.01098901,1.0,(46|10)
0.01081081,1.0,(42|30)
0.01079914,1.0,(46|46)
0.01052632,1.0,(45|5)
0.01047120,1.0,(40|26)
0.01041667,1.0,(35|47)
0.01025641,1.0,(34|18)
0.01025641,1.0,(48|17)
0.01020408,1.0,(36|19)
0.01010101,1.0,(44|21)
0.009950249,1.0,(43|46)
0.009950249,1.0,(47|10)
0.009478673,1.0,(38|21)
0.009411764,1.0,(38|23)
0.009345794,1.0,(32|36)
0.009345794,1.0,(38|24)
0.009216590,1.0,(44|42)
0.009174312,1.0,(39|12)
0.009090909,1.0,(2|37)
0.008928572,1.0,(36|21)
0.008849557,1.0,(43|21)
0.008823530,1.0,(41|23)
0.008771930,1.0,(22|15)
0.008645534,1.0,(47|17)
0.008510638,1.0,(44|29)
0.008474576,1.0,(37|29)
0.008474576,1.0,(40|38)
0.008438818,1.0,(35|12)
0.008403362,1.0,(36|2)
0.008333334,1.0,(5|42)
0.008264462,1.0,(13|30)
0.008264462,1.0,(35|9)
0.008064516,1.0,(35|48)
0.007936508,1.0,(37|14)
0.007926024,1.0,(33|23)
0.007812500,1.0,(6|36)
0.007812500,1.0,(27|48)
0.007812500,1.0,(43|0)
0.007751938,1.0,(49|33)
0.007692308,1.0,(37|11)
0.007604563,1.0,(46|15)
0.007518797,1.0,(9|39)
0.007434944,1.0,(37|20)
0.007407407,1.0,(39|21)
0.007380074,1.0,(49|12)
0.007299270,1.0,(44|39)
0.007211538,1.0,(33|24)
0.007194245,2.0,(38|48)
0.007168459,2.0,(43|11)
0.007017544,1.0,(40|11)
0.006993007,1.0,(0|43)
0.006968641,1.0,(40|28)
0.006833713,1.0,(43|23)
0.006711409,1.0,(49|15)
0.006666667,1.0,(2|49)
0.006666667,1.0,(4|46)
0.006600660,1.0,(41|25)
0.006578947,1.0,(14|19)
0.006410256,1.0,(34|13)
0.006410256,1.0,(35|13)
0.006410256,1.0,(44|40)
0.006289308,1.0,(36|20)
0.006116208,1.0,(38|8)
0.006000000,2.0,(32|27)
0.005952381,1.0,(0|27)
0.005952381,1.0,(35|17)
0.005813953,1.0,(34|49)
0.005813953,1.0,(35|3)
0.005780347,1.0,(44|37)
0.005747126,1.0,(26|5)
0.005649718,1.0,(39|25)
0.005649718,1.0,(40|22)
0.005509642,1.0,(7|20)
0.005434783,1.0,(5|6)
0.005390835,1.0,(43|26)
0.005357143,2.0,(0|26)
0.005279831,1.0,(33|37)
0.005221932,1.0,(26|34)
0.005208333,1.0,(3|37)
0.005154639,1.0,(47|43)
0.005050505,1.0,(38|45)
0.005025126,1.0,(41|27)
0.004975124,1.0,(0|5)
0.004975124,1.0,(32|26)
0.004926108,1.0,(40|30)
0.004926108,1.0,(40|46)
0.004907975,1.0,(23|49)
0.004907975,1.0,(36|26)
0.004878049,1.0,(9|9)
0.004854369,1.0,(1|10)
0.004854369,1.0,(2|10)
0.004716981,1.0,(48|16)
0.004651163,1.0,(42|17)
0.004553734,1.0,(34|48)
0.004524887,1.0,(2|21)
0.004504505,1.0,(27|29)
0.004444445,1.0,(39|16)
0.004444445,1.0,(43|17)
0.004366812,1.0,(39|27)
0.004201681,1.0,(42|23)
0.004175365,1.0,(34|37)
0.004158004,1.0,(32|25)
0.004149378,1.0,(15|22)
0.004109589,1.0,(33|36)
0.004098360,1.0,(44|22)
0.004076087,2.0,(14|24)
0.004065040,1.0,(27|37)
0.004040404,2.0,(39|45)
0.003976143,1.0,(37|28)
0.003968254,1.0,(29|40)
0.003968254,1.0,(49|10)
0.003937008,1.0,(42|22)
0.003913894,1.0,(32|44)
0.003891051,1.0,(0|42)
0.003831418,1.0,(37|7)
0.003787879,1.0,(49|46)
0.003752345,1.0,(33|38)
0.003703704,1.0,(37|24)
0.003676471,1.0,(30|25)
0.003623188,1.0,(16|20)
0.003575685,1.0,(41|38)
0.003407155,2.0,(38|32)
0.003344482,1.0,(37|17)
0.003322259,1.0,(47|15)
0.003257329,1.0,(39|18)
