Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 32 | Contracts & Franchise Law (jpg:32,idx:29)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02083333,2.0,(42|48)
0.02061856,2.0,(2|46)
0.02061856,2.0,(4|17)
0.02054795,2.0,(6|23)
0.02040816,2.0,(4|7)
0.02040816,2.0,(29|7)
0.02040816,2.0,(49|28)
0.01980198,1.0,(18|11)
0.01973684,3.0,(28|43)
0.01970443,3.0,(2|20)
0.01970443,2.0,(3|26)
0.01970443,4.0,(26|0)
0.01970443,3.0,(48|7)
0.01960784,2.0,(4|9)
0.01960784,2.0,(27|42)
0.01960784,2.0,(30|0)
0.01951220,2.0,(9|9)
0.01941748,2.0,(4|4)
0.01923077,2.0,(23|14)
0.01923077,2.0,(31|15)
0.01897019,3.0,(2|24)
0.01886792,1.0,(3|30)
0.01886792,2.0,(11|9)
0.01886792,1.0,(24|48)
0.01886792,1.0,(25|48)
0.01880878,2.0,(49|17)
0.01877934,2.0,(19|24)
0.01877934,1.0,(25|47)
0.01872659,2.0,(12|42)
0.01869159,2.0,(32|36)
0.01840491,3.0,(22|8)
0.01834862,2.0,(13|48)
0.01826484,2.0,(30|15)
0.01818182,2.0,(0|34)
0.01818182,3.0,(1|22)
0.01818182,2.0,(2|37)
0.01818182,2.0,(4|36)
0.01818182,2.0,(6|18)
0.01818182,2.0,(7|48)
0.01818182,2.0,(13|41)
0.01818182,2.0,(13|49)
0.01818182,2.0,(29|24)
0.01809955,2.0,(2|21)
0.01809955,2.0,(27|2)
0.01801802,3.0,(30|46)
0.01796407,2.0,(24|7)
0.01789264,3.0,(25|32)
0.01785714,3.0,(13|4)
0.01785714,3.0,(21|18)
0.01768173,3.0,(10|21)
0.01766784,3.0,(22|29)
0.01754386,1.0,(12|47)
0.01744186,3.0,(6|41)
0.01731602,2.0,(0|49)
0.01724138,2.0,(24|14)
0.01724138,2.0,(30|44)
0.01719577,3.0,(0|23)
0.01702128,2.0,(3|11)
0.01702128,2.0,(22|26)
0.01699717,2.0,(31|44)
0.01694915,1.0,(17|7)
