Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 6 | Employment Non-Litigation (jpg:6,idx:5)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01020408,1.0,(18|2)
0.01020408,3.0,(23|10)
0.01012146,2.0,(15|33)
0.01007557,2.0,(13|22)
0.01005025,3.0,(10|29)
0.01000000,1.0,(23|47)
0.009950249,1.0,(25|3)
0.009852217,1.0,(48|7)
0.009803922,1.0,(10|17)
0.009803922,1.0,(25|27)
0.009771987,1.0,(39|44)
0.009677419,2.0,(14|5)
0.009661836,1.0,(18|3)
0.009569378,1.0,(46|13)
0.009478673,1.0,(23|8)
0.009478673,2.0,(27|1)
0.009463723,1.0,(47|21)
0.009433962,1.0,(24|48)
0.009433962,1.0,(25|48)
0.009345794,2.0,(23|25)
0.009216590,1.0,(22|16)
0.009195402,1.0,(38|5)
0.009174312,1.0,(6|32)
0.009132420,1.0,(30|15)
0.009118541,2.0,(26|8)
0.009090909,1.0,(6|35)
0.009063444,1.0,(45|10)
0.008888889,2.0,(21|5)
0.008888889,2.0,(22|6)
0.008771930,2.0,(4|38)
0.008676790,1.0,(17|3)
0.008547009,1.0,(36|44)
0.008510638,2.0,(22|26)
0.008510638,1.0,(24|3)
0.008438818,2.0,(1|39)
0.008403362,1.0,(21|48)
0.008368201,2.0,(34|44)
0.008333334,1.0,(5|42)
0.008264462,1.0,(7|32)
0.008130081,1.0,(1|16)
0.008130081,1.0,(7|14)
0.008097166,3.0,(10|34)
0.008032128,2.0,(17|31)
0.008000000,1.0,(3|16)
0.007936508,1.0,(2|45)
0.007936508,1.0,(11|18)
0.007936508,1.0,(44|11)
0.007874016,1.0,(44|5)
0.007751938,3.0,(22|42)
0.007692308,1.0,(7|35)
0.007575758,1.0,(22|23)
0.007575758,1.0,(23|23)
0.007532957,2.0,(20|20)
0.007462686,1.0,(29|19)
0.007462686,1.0,(42|5)
0.007407407,1.0,(2|43)
0.007407407,1.0,(2|44)
0.007352941,1.0,(22|44)
0.007299270,1.0,(37|43)
0.007246377,1.0,(1|46)
0.007194245,2.0,(21|16)
0.007155635,2.0,(14|35)
0.007142857,1.0,(2|17)
0.007142857,1.0,(6|16)
0.007142857,2.0,(29|16)
0.007042253,1.0,(32|8)
0.006872852,1.0,(23|4)
0.006849315,2.0,(19|16)
0.006666667,1.0,(3|19)
0.006666667,2.0,(20|0)
0.006622517,2.0,(18|6)
0.006578947,2.0,(27|24)
0.006535948,2.0,(4|9)
0.006535948,2.0,(13|35)
0.006500542,1.0,(31|47)
0.006451613,1.0,(13|5)
0.006359301,2.0,(22|41)
0.006329114,1.0,(28|5)
0.006315790,2.0,(11|37)
0.006289308,2.0,(25|25)
0.006269592,2.0,(49|17)
0.006134969,1.0,(5|33)
0.006134969,1.0,(21|17)
0.006116208,1.0,(38|8)
0.006097561,1.0,(41|4)
0.005952381,1.0,(45|15)
0.005917160,1.0,(2|2)
0.005830904,2.0,(45|39)
0.005681818,1.0,(28|3)
0.005649718,2.0,(32|19)
0.005649718,2.0,(43|30)
0.005649718,1.0,(44|12)
0.005649718,2.0,(44|30)
0.005639098,2.0,(27|41)
0.005636978,1.0,(20|41)
0.005617978,1.0,(4|32)
0.005617978,1.0,(31|7)
0.005555556,1.0,(5|38)
0.005540166,1.0,(29|18)
