Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:19)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01880878,2.0,(1|35)
0.01874414,2.0,(28|36)
0.01869159,2.0,(3|49)
0.01867220,3.0,(21|33)
0.01851852,1.0,(4|25)
0.01851852,1.0,(5|5)
0.01851852,2.0,(5|46)
0.01851852,1.0,(6|6)
0.01851852,2.0,(11|47)
0.01851852,1.0,(18|21)
0.01840491,2.0,(35|18)
0.01834862,1.0,(10|15)
0.01824817,3.0,(17|17)
0.01818182,2.0,(1|22)
0.01818182,2.0,(4|36)
0.01809955,1.0,(28|40)
0.01804511,3.0,(35|44)
0.01804124,2.0,(9|5)
0.01793722,2.0,(48|43)
0.01788909,2.0,(28|29)
0.01785714,2.0,(0|27)
0.01785714,1.0,(8|24)
0.01773050,3.0,(17|25)
0.01769911,1.0,(2|0)
0.01754386,2.0,(2|22)
0.01754386,2.0,(22|24)
0.01754386,2.0,(41|48)
0.01748971,2.0,(27|45)
0.01744186,2.0,(38|16)
0.01724138,2.0,(32|18)
0.01714286,1.0,(13|23)
0.01714286,2.0,(39|41)
0.01712329,2.0,(28|47)
0.01702128,2.0,(3|11)
0.01694915,2.0,(24|1)
0.01680672,2.0,(48|20)
0.01673640,3.0,(34|44)
0.01666667,2.0,(5|42)
0.01663586,2.0,(15|40)
0.01653804,3.0,(29|47)
0.01652892,3.0,(21|28)
0.01652892,2.0,(44|13)
0.01647786,3.0,(19|31)
0.01634877,2.0,(37|23)
0.01626016,1.0,(12|24)
0.01624130,3.0,(19|32)
0.01612903,2.0,(11|20)
0.01612903,1.0,(17|15)
0.01612903,1.0,(33|29)
0.01587302,1.0,(3|0)
0.01587302,1.0,(3|48)
0.01587302,2.0,(32|20)
0.01578947,1.0,(25|21)
0.01565558,2.0,(6|28)
0.01562500,1.0,(8|25)
0.01550388,2.0,(16|40)
0.01544402,1.0,(5|4)
0.01542416,2.0,(21|6)
0.01532567,2.0,(37|9)
0.01526718,2.0,(38|13)
0.01518027,2.0,(38|44)
0.01515152,2.0,(2|18)
0.01515152,2.0,(4|33)
0.01515152,1.0,(21|21)
0.01503759,1.0,(27|41)
0.01503759,2.0,(43|22)
0.01492537,2.0,(3|15)
0.01492537,2.0,(15|37)
0.01485149,2.0,(8|9)
0.01477833,1.0,(26|0)
0.01470588,2.0,(18|39)
0.01449275,1.0,(1|46)
0.01438849,2.0,(43|39)
0.01419355,3.0,(17|36)
0.01418440,1.0,(45|48)
0.01408451,1.0,(1|25)
0.01408451,2.0,(12|29)
0.01408451,2.0,(25|34)
0.01398601,1.0,(1|7)
0.01398601,1.0,(49|7)
0.01395349,3.0,(19|5)
0.01388889,1.0,(9|11)
0.01387604,3.0,(26|35)
0.01379310,2.0,(31|46)
0.01379310,2.0,(43|34)
0.01369863,3.0,(27|10)
0.01369863,2.0,(48|38)
0.01369863,2.0,(48|39)
0.01351351,1.0,(32|49)
0.01333333,2.0,(3|19)
0.01333333,3.0,(29|46)
0.01328904,2.0,(40|7)
0.01324503,2.0,(27|16)
0.01324503,2.0,(36|8)
0.01321586,3.0,(15|34)
0.01315789,2.0,(27|24)
0.01315789,1.0,(33|41)
0.01315789,2.0,(49|32)
0.01307190,2.0,(48|12)
0.01302932,3.0,(39|44)
0.01286174,2.0,(33|6)
0.01273885,2.0,(5|23)
0.01273885,2.0,(38|22)
0.01269841,2.0,(49|42)
0.01260504,1.0,(10|23)
0.01253918,2.0,(47|16)
0.01250000,1.0,(35|1)
0.01234568,2.0,(8|10)
0.01219512,1.0,(0|47)
0.01219512,2.0,(27|37)
0.01212121,2.0,(17|27)
0.01202405,2.0,(36|23)
0.01197605,2.0,(44|33)
0.01192843,3.0,(25|32)
0.01190476,2.0,(13|4)
0.01190476,1.0,(41|40)
0.01183432,2.0,(9|41)
0.01176471,1.0,(8|18)
0.01176471,1.0,(21|15)
0.01162791,1.0,(15|14)
0.01156069,1.0,(27|32)
0.01156069,2.0,(44|37)
0.01153846,3.0,(24|33)
0.01152882,2.0,(22|35)
0.01142857,2.0,(3|17)
0.01142857,2.0,(42|37)
0.01136364,2.0,(0|0)
0.01136364,2.0,(49|16)
0.01129944,2.0,(25|14)
0.01129944,2.0,(40|22)
0.01128350,3.0,(8|20)
0.01123596,1.0,(8|4)
0.01116751,2.0,(23|37)
