Product ID : 961 # of JPs covered : 1 : 117 : Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000594023,0.639594, 0.000012
us_000597851,0.639594, 0.000014
us_000519780,0.639594, 0.000026
us_000481810,0.639594, 0.000098
us_000492453,0.639594, 0.000098
us_000502314,0.639594, 0.000098
us_000347836,0.639594, 0.000098
us_000464364,0.639594, 0.000098
us_000470904,0.639594, 0.000098
us_000459767,0.639594, 0.000098
us_000555366,0.639594, 0.000098
us_000501299,0.639594, 0.000098
us_000459743,0.639594, 0.000098
us_000494213,0.639594, 0.000098
us_000491015,0.639594, 0.000098
us_000586919,0.639594, 0.000104
us_000481247,0.639594, 0.000111
us_000485742,0.639594, 0.000116
us_000545941,0.639594, 0.000120
us_000555373,0.639594, 0.000180
us_000545418,0.639594, 0.000190
us_000479893,0.639594, 0.000204
us_000595840,0.639594, 0.000223
us_000600690,0.639594, 0.000239
us_000479218,0.639594, 0.000239
us_000570419,0.639594, 0.000239
us_000599150,0.639594, 0.000259
us_000596492,0.639594, 0.000259
us_000542287,0.639594, 0.000278
us_000594258,0.639594, 0.000280
us_000498841,0.639594, 0.000954
us_000491090,0.639594, 0.001024
us_000485933,0.639594, 0.001072
us_000479877,0.639594, 0.001131
us_000478435,0.639594, 0.001206
us_000496023,0.639594, 0.001444
us_000495763,0.639594, 0.001444
us_000496192,0.639594, 0.001444
us_000528440,0.639594, 0.001557
us_000553411,0.639594, 0.001699
us_000492552,0.639594, 0.001768
us_000532230,0.639594, 0.001975
us_000552431,0.639594, 0.002050
us_000526361,0.639594, 0.002081
us_000597072,0.639594, 0.002575
us_000488472,0.639594, 0.002761
us_000570721,0.639594, 0.003104
us_000478204,0.639594, 0.003123
us_000611936,0.639594, 0.003361
us_000547117,0.639594, 0.003429
us_000485664,0.639594, 0.004499
us_000484921,0.639594, 0.004705
pr_000905235,0.639594, 0.004741
us_000543182,0.639594, 0.004848
us_000230819,0.639594, 0.005716
us_000542244,0.639594, 0.007525
us_000561611,0.639594, 0.010174
us_000476277,0.639594, 0.014506
us_000023653,0.639594, 0.014735
us_000581186,0.639594, 0.019488
us_000571417,0.639594, 0.020856
us_000504928,0.639594, 0.021794
us_000549263,0.639594, 0.023194
us_000467885,0.639594, 0.048637
us_000491927,0.639594, 0.053088
us_000510478,0.639594, 0.115557
us_000483416,0.639594, 0.166728
us_000566818,0.619446, 0.000000
us_000614734,0.619446, 0.000000
us_000432007,0.619446, 0.000001
pr_000975438,0.619446, 0.000004
us_000607045,0.619446, 0.000013
us_000606461,0.619446, 0.000013
us_000571921,0.619446, 0.000033
