Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
us_000527522,0.029158,0.039436
us_000593896,0.029158,0.039436
us_000588934,0.029158,0.039437
us_000548597,0.029158,0.039441
us_000589921,0.029158,0.039441
us_000589282,0.029158,0.039441
us_000511528,0.029158,0.039441
us_000499276,0.029158,0.039442
us_000599068,0.029158,0.039443
us_000599071,0.029158,0.039443
us_000588393,0.029158,0.039444
us_000588389,0.029158,0.039444
us_000599112,0.029158,0.039444
us_000596566,0.029158,0.039447
us_000574006,0.029158,0.039449
us_000599270,0.029158,0.039452
us_000599279,0.029158,0.039452
us_000599284,0.029158,0.039452
us_000599293,0.029158,0.039452
us_000587916,0.029158,0.039454
us_000589277,0.029158,0.039456
us_000589259,0.029158,0.039456
us_000474679,0.029158,0.039459
us_000587033,0.029158,0.039459
us_000589085,0.029158,0.039459
us_000589067,0.029158,0.039460
us_000465283,0.029158,0.039460
us_000588898,0.029158,0.039461
us_000574136,0.029158,0.039462
us_000598718,0.029158,0.039467
us_000574117,0.029158,0.039468
us_000582533,0.029158,0.039471
us_000599748,0.029158,0.039471
us_000592237,0.029158,0.039475
us_000514516,0.029158,0.039476
us_000587907,0.029158,0.039477
us_000587879,0.029158,0.039479
us_000564961,0.029158,0.039479
us_000583443,0.029158,0.039481
us_000572240,0.029158,0.039484
us_000598148,0.029158,0.039486
us_000599072,0.029158,0.039488
us_000599084,0.029158,0.039489
us_000587334,0.029158,0.039489
us_000587333,0.029158,0.039489
us_000587332,0.029158,0.039489
us_000587268,0.029158,0.039491
us_000582010,0.029158,0.039495
us_000598852,0.029158,0.039496
pr_000765947,0.029158,0.039501
us_000600344,0.029158,0.039509
us_000600447,0.029158,0.039512
us_000496723,0.029158,0.039513
us_000588373,0.029158,0.039518
us_000583799,0.029158,0.039520
us_000583117,0.029158,0.039523
us_000599104,0.029158,0.039523
us_000575222,0.029158,0.039525
us_000599264,0.029158,0.039528
us_000599267,0.029158,0.039528
us_000583410,0.029158,0.039534
us_000583405,0.029158,0.039534
us_000584196,0.029158,0.039538
us_000490151,0.029158,0.039539
us_000549955,0.029158,0.039540
us_000584114,0.029158,0.039540
us_000580182,0.029158,0.039544
us_000545492,0.029158,0.039548
us_000577372,0.029158,0.039549
us_000564318,0.029158,0.039552
us_000574770,0.029158,0.039552
us_000592443,0.029158,0.039554
us_000583460,0.029158,0.039557
us_000574952,0.029158,0.039558
us_000600620,0.029158,0.039578
us_000589108,0.029158,0.039578
us_000600812,0.029158,0.039580
us_000514651,0.029158,0.039580
us_000490380,0.029158,0.039582
us_000598589,0.029158,0.039586
us_000614401,0.029158,0.039604
pr_001099128,0.029158,0.039610
us_000588360,0.029158,0.039616
us_000601327,0.029158,0.039620
us_000594024,0.029158,0.039631
us_000553111,0.029158,0.039633
us_000599302,0.029158,0.039641
us_000599304,0.029158,0.039641
us_000532507,0.029158,0.039642
us_000573579,0.029158,0.039642
us_000599309,0.029158,0.039643
us_000599310,0.029158,0.039643
us_000599306,0.029158,0.039643
us_000600449,0.029158,0.039650
us_000600451,0.029158,0.039650
us_000572453,0.029158,0.039656
us_000535639,0.029158,0.039657
us_000583119,0.029158,0.039662
us_000488905,0.029158,0.039663
us_000466200,0.029158,0.039663
us_000605042,0.029158,0.039677
us_000605321,0.029158,0.039678
us_000493553,0.029158,0.039682
us_000573266,0.029158,0.039684
us_000572835,0.029158,0.039689
us_000604448,0.029158,0.039690
us_000492362,0.029158,0.039707
us_000605576,0.029158,0.039708
us_000605212,0.029158,0.039744
us_000545664,0.029158,0.039745
us_000604758,0.029158,0.039767
us_000586030,0.029158,0.039775
us_000604449,0.029158,0.039788
us_000575152,0.029158,0.039790
us_000599373,0.029158,0.039796
us_000571153,0.029158,0.039826
us_000508382,0.029158,0.039841
us_000575162,0.029158,0.039841
us_000534611,0.029158,0.039841
us_000541086,0.029158,0.039841
us_000592418,0.029158,0.039841
us_000592417,0.029158,0.039841
us_000591935,0.029158,0.039841
us_000592433,0.029158,0.039841
us_000592428,0.029158,0.039841
us_000592394,0.029158,0.039841
us_000592356,0.029158,0.039841
us_000600996,0.029158,0.039841
us_000592758,0.029158,0.039841
us_000592294,0.029158,0.039842
us_000592141,0.029158,0.039842
us_000592135,0.029158,0.039842
us_000526675,0.029158,0.039842
us_000592227,0.029158,0.039842
us_000592246,0.029158,0.039842
us_000592212,0.029158,0.039842
us_000592151,0.029158,0.039842
us_000592143,0.029158,0.039842
us_000548794,0.029158,0.039842
us_000591833,0.029158,0.039843
us_000591827,0.029158,0.039843
us_000573130,0.029158,0.039843
us_000592408,0.029158,0.039844
us_000592412,0.029158,0.039844
us_000591111,0.029158,0.039845
us_000524540,0.029158,0.039845
us_000591027,0.029158,0.039845
us_000591618,0.029158,0.039847
us_000575934,0.029158,0.039847
us_000591602,0.029158,0.039848
us_000591572,0.029158,0.039848
us_000561766,0.029158,0.039851
us_000575195,0.029158,0.039852
us_000573115,0.029158,0.039852
us_000573121,0.029158,0.039853
us_000575119,0.029158,0.039853
us_000573627,0.029158,0.039855
us_000562007,0.029158,0.039859
us_000532041,0.029158,0.039862
us_000553920,0.029158,0.039863
us_000531926,0.029158,0.039863
us_000560998,0.029158,0.039863
us_000575310,0.029158,0.039866
us_000575292,0.029158,0.039867
us_000572843,0.029158,0.039868
us_000561162,0.029158,0.039870
us_000561170,0.029158,0.039870
us_000573865,0.029158,0.039871
us_000554054,0.029158,0.039879
us_000555521,0.029158,0.039880
us_000572341,0.029158,0.039882
us_000575481,0.029158,0.039885
us_000598360,0.029158,0.039886
us_000498574,0.029158,0.039890
us_000599355,0.029158,0.039907
us_000598149,0.029158,0.039908
us_000598151,0.029158,0.039908
us_000598173,0.029158,0.039909
us_000592363,0.029158,0.039914
us_000598403,0.029158,0.039917
us_000602003,0.029158,0.039922
us_000582032,0.029158,0.039926
us_000589271,0.029158,0.039928
us_000589234,0.029158,0.039928
us_000575495,0.029158,0.039930
us_000575525,0.029158,0.039934
us_000527197,0.029158,0.039934
us_000554264,0.029158,0.039941
us_000559846,0.029158,0.039941
us_000601343,0.029158,0.039955
us_000579682,0.029158,0.039959
us_000532579,0.029158,0.039963
us_000591541,0.029158,0.039963
us_000595721,0.029158,0.039967
us_000599382,0.029158,0.039967
us_000573004,0.029158,0.039976
us_000599701,0.029158,0.039984
us_000496705,0.029158,0.040001
us_000592831,0.029158,0.040006
us_000603222,0.029158,0.040009
us_000588409,0.029158,0.040013
us_000559818,0.029158,0.040016
us_000570968,0.029158,0.040028
us_000549828,0.029158,0.040035
us_000596777,0.029158,0.040063
us_000572408,0.029158,0.040076
us_000545082,0.029158,0.040086
us_000510678,0.029158,0.040099
us_000532736,0.029158,0.040099
us_000523861,0.029158,0.040100
us_000590938,0.029158,0.040155
us_000607367,0.029158,0.040157
us_000471870,0.029158,0.040159
us_000608854,0.029158,0.040161
us_000608765,0.029158,0.040161
us_000573922,0.029158,0.040174
us_000608359,0.029158,0.040186
us_000611194,0.029158,0.040187
us_000513462,0.029158,0.040193
us_000614169,0.029158,0.040208
us_000518823,0.029158,0.040212
us_000608676,0.029158,0.040214
us_000608652,0.029158,0.040237
us_000606840,0.029158,0.040252
us_000561862,0.029158,0.040253
us_000535038,0.029158,0.040261
us_000582221,0.029158,0.040263
us_000589486,0.029158,0.040263
us_000618014,0.029158,0.040266
us_000491231,0.029158,0.040272
us_000575946,0.029158,0.040274
us_000608700,0.029158,0.040276
us_000608524,0.029158,0.040278
us_000607299,0.029158,0.040280
us_000606905,0.029158,0.040281
us_000611889,0.029158,0.040285
us_000593538,0.029158,0.040289
us_000609992,0.029158,0.040328
us_000611568,0.029158,0.040330
us_000616224,0.029158,0.040344
us_000616226,0.029158,0.040344
us_000616227,0.029158,0.040344
us_000616228,0.029158,0.040344
us_000519024,0.029158,0.040348
us_000488794,0.029158,0.040349
us_000586780,0.029158,0.040351
us_000616285,0.029158,0.040359
us_000595082,0.029158,0.040367
us_000616308,0.029158,0.040370
us_000541872,0.029158,0.040377
us_000606602,0.029158,0.040383
us_000583495,0.029158,0.040388
us_000611142,0.029158,0.040390
us_000609872,0.029158,0.040438
us_000509245,0.029158,0.040458
