Product ID : 1043 # of JPs covered : 1 : 229 : Environmental Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000500920,0.287342, 0.000000
us_000519481,0.287342, 0.000000
us_000491514,0.287342, 0.000000
us_000556321,0.287342, 0.219098
us_000501696,0.287342, 0.242528
us_000273017,0.287342, 0.254197
us_000113845,0.287342, 0.258604
us_000508210,0.287342, 0.262272
us_000482002,0.287342, 0.301134
us_000583266,0.287342, 0.302957
us_000615576,0.287342, 0.318987
us_000119792,0.287342, 0.321924
us_000557664,0.287342, 0.328658
us_000513614,0.287342, 0.349185
us_000566037,0.287342, 0.352465
us_000564386,0.287342, 0.353053
us_000183064,0.287342, 0.355463
us_000501420,0.287342, 0.365060
us_000560137,0.287342, 0.365989
us_000503865,0.287342, 0.372371
us_000538932,0.287342, 0.372407
us_000112005,0.287342, 0.377131
us_000547632,0.287342, 0.377438
us_000514607,0.287342, 0.382340
us_000474171,0.287342, 0.385299
us_000535040,0.287342, 0.396156
us_000512432,0.287342, 0.396456
us_000610975,0.287342, 0.397620
us_000578045,0.287342, 0.399060
us_000469814,0.287342, 0.399790
us_000491267,0.287342, 0.402899
us_000583344,0.287342, 0.404768
us_000479336,0.287342, 0.407308
us_000499857,0.287342, 0.408706
us_000539135,0.287342, 0.409583
us_000512613,0.287342, 0.409741
us_000552760,0.287342, 0.410109
us_000342784,0.287342, 0.410266
us_000472840,0.287342, 0.410449
us_000074195,0.287342, 0.412531
us_000575435,0.287342, 0.413968
us_000541922,0.287342, 0.415593
us_000526085,0.287342, 0.419548
us_000525679,0.287342, 0.419756
us_000162351,0.287342, 0.422442
us_000488052,0.287342, 0.425450
us_000559324,0.287342, 0.427923
us_000611021,0.287342, 0.433801
us_000532438,0.287342, 0.437113
us_000277289,0.287342, 0.438160
us_000481953,0.287342, 0.442938
us_000477678,0.287342, 0.449412
us_000547772,0.287342, 0.452146
us_000547778,0.287342, 0.454984
us_000542105,0.287342, 0.454984
us_000477149,0.287342, 0.458798
us_000501562,0.287342, 0.459299
us_000042175,0.287342, 0.459975
us_000591505,0.287342, 0.469745
us_000496671,0.287342, 0.472754
us_000495823,0.287342, 0.474588
us_000478802,0.287342, 0.474588
us_000590441,0.287342, 0.476491
us_000495077,0.287342, 0.486560
us_000547773,0.287342, 0.489429
us_000477624,0.287342, 0.494900
us_000512547,0.287342, 0.496908
us_000526798,0.287342, 0.498807
us_000499819,0.287342, 0.500307
us_000495273,0.287342, 0.501728
us_000477746,0.287342, 0.501728
us_000480189,0.287342, 0.501812
us_000485603,0.287342, 0.509679
us_000507419,0.287342, 0.511157
us_000497062,0.287342, 0.512389
us_000520925,0.287342, 0.521146
us_000507311,0.287342, 0.523417
us_000495355,0.287342, 0.536234
pr_000287751,0.137370, 0.000000
pr_000585762,0.137370, 0.000000
pr_000974249,0.137370, 0.000000
pr_000785121,0.137370, 0.000056
us_000615442,0.137370, 0.000120
us_000612937,0.137370, 0.000120
pr_000025414,0.137370, 0.000186
us_000510353,0.137370, 0.001884
us_000504055,0.137370, 0.003538
us_000598556,0.137370, 0.004864
us_000460034,0.137370, 0.011662
us_000598501,0.137370, 0.034327
us_000567066,0.137370, 0.114109
us_000544887,0.137370, 0.139584
us_000541478,0.137370, 0.145390
us_000583144,0.137370, 0.147730
us_000474858,0.137370, 0.150544
us_000595222,0.137370, 0.150618
us_000491007,0.137370, 0.153495
