Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:16)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.03424658,3.0,(47|22)
0.03389831,2.0,(2|30)
0.03389831,2.0,(10|30)
0.03389831,2.0,(41|3)
0.03361345,2.0,(45|35)
0.03347280,1.0,(20|28)
0.03343465,3.0,(49|38)
0.03333334,2.0,(2|25)
0.03333334,3.0,(6|45)
0.03333334,1.0,(33|2)
0.03305785,2.0,(7|44)
0.03305785,3.0,(9|27)
0.03305785,2.0,(9|29)
0.03305785,2.0,(13|39)
0.03296703,1.0,(28|38)
0.03289474,2.0,(38|2)
0.03278688,1.0,(6|28)
0.03278688,2.0,(10|18)
0.03278688,2.0,(12|14)
0.03278688,2.0,(18|20)
0.03252032,2.0,(37|45)
0.03212851,2.0,(17|28)
0.03191489,2.0,(24|28)
0.03174603,1.0,(17|29)
0.03174603,2.0,(48|39)
0.03157895,2.0,(16|6)
0.03157895,2.0,(36|3)
0.03141361,2.0,(7|34)
0.03100775,3.0,(15|30)
0.03100775,2.0,(42|28)
0.03053435,2.0,(36|5)
0.03043478,3.0,(12|21)
0.03030303,1.0,(8|25)
0.03030303,2.0,(48|44)
0.02994012,1.0,(9|2)
0.02992519,2.0,(32|4)
0.02985075,2.0,(40|41)
0.02985075,2.0,(41|10)
0.02970297,2.0,(12|24)
0.02962963,2.0,(37|24)
0.02941176,3.0,(14|40)
0.02931596,2.0,(7|21)
0.02926829,2.0,(13|25)
0.02926829,3.0,(15|42)
0.02919708,3.0,(30|2)
0.02919708,2.0,(38|48)
0.02915452,3.0,(34|20)
0.02910959,2.0,(8|20)
0.02904564,2.0,(27|21)
0.02898551,2.0,(3|21)
0.02898551,2.0,(43|9)
0.02890173,3.0,(23|19)
0.02873563,2.0,(16|33)
0.02857143,2.0,(7|38)
0.02857143,2.0,(10|33)
0.02857143,2.0,(33|47)
0.02849003,2.0,(29|48)
0.02836879,3.0,(2|12)
0.02786378,3.0,(35|5)
0.02739726,2.0,(17|37)
0.02739726,1.0,(30|21)
0.02734375,1.0,(28|40)
0.02702703,2.0,(32|48)
0.02702703,2.0,(42|17)
0.02690583,3.0,(31|5)
0.02682927,3.0,(36|19)
0.02678571,2.0,(28|2)
0.02631579,2.0,(3|30)
0.02631579,1.0,(11|45)
0.02631579,2.0,(41|25)
0.02608696,1.0,(15|8)
0.02600780,2.0,(17|32)
0.02597403,2.0,(14|10)
0.02580645,2.0,(39|11)
