Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 3 | Bankruptcy (jpg:3,idx:2)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.004310345,1.0,(23|45)
0.004310345,1.0,(25|13)
0.004310345,1.0,(40|4)
0.004273504,1.0,(42|22)
0.004255319,1.0,(13|18)
0.004192872,2.0,(28|39)
0.004192872,2.0,(29|42)
0.004132231,2.0,(16|21)
0.004132231,1.0,(26|5)
0.004056795,2.0,(22|18)
0.004000000,2.0,(16|16)
0.003952569,1.0,(6|18)
0.003875969,1.0,(46|28)
0.003745318,1.0,(23|20)
0.003738318,2.0,(19|15)
0.003724395,2.0,(25|28)
0.003649635,1.0,(32|7)
0.003636364,1.0,(12|5)
0.003558719,1.0,(12|11)
0.003508772,1.0,(15|34)
0.003460208,1.0,(30|7)
0.003448276,1.0,(32|19)
0.003442341,1.0,(1|31)
0.003389830,1.0,(7|29)
0.003384095,2.0,(24|20)
0.003322259,1.0,(43|7)
0.003311258,1.0,(4|3)
0.003246753,1.0,(23|39)
0.003225806,1.0,(24|21)
0.003194888,1.0,(22|28)
0.003149606,1.0,(12|27)
0.003095975,1.0,(29|9)
0.003067485,1.0,(45|12)
0.003058104,1.0,(31|21)
0.002915452,1.0,(34|20)
0.002747253,1.0,(5|23)
0.002680965,1.0,(8|3)
0.002649007,1.0,(21|25)
0.002649007,1.0,(23|25)
0.002528445,2.0,(4|28)
0.002475247,1.0,(31|22)
0.002439024,1.0,(47|9)
0.002331002,1.0,(29|36)
0.002214022,2.0,(39|20)
0.002207506,1.0,(26|33)
0.002202643,1.0,(47|16)
0.002192982,1.0,(22|25)
0.002164502,2.0,(33|15)
0.002053388,1.0,(27|19)
0.001984127,1.0,(13|19)
0.001982161,2.0,(26|25)
0.001795332,1.0,(6|29)
0.001545595,1.0,(17|21)
0.001443001,1.0,(29|22)
0.001410437,1.0,(19|31)
0.001404494,1.0,(18|34)
0.001250000,1.0,(37|21)
0.001245330,1.0,(45|10)
0.001041667,1.0,(18|33)
0.0009560229,1.0,(40|25)
0.0009225092,1.0,(14|27)
0.0009000900,1.0,(25|25)
0.0008525149,1.0,(18|31)
0.0008503401,1.0,(21|21)
