Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
pr_002100186,0.896477,0.336681
pr_001965045,0.896477,0.336681
pr_001645343,0.896477,0.336681
pr_001140251,0.896477,0.336681
pr_001899285,0.896477,0.336681
pr_001863509,0.896477,0.336681
pr_002156726,0.896477,0.336681
pr_001597885,0.896477,0.336681
pr_001972432,0.896477,0.336681
pr_001398050,0.896477,0.336681
pr_001913803,0.896477,0.336681
pr_002187103,0.896477,0.336681
pr_002228193,0.896477,0.336681
pr_002099914,0.896477,0.336681
pr_001830571,0.896477,0.336681
pr_002098072,0.896477,0.336681
pr_002191702,0.896477,0.336681
pr_002065594,0.896477,0.336681
pr_002223242,0.896477,0.336681
pr_002053206,0.896477,0.336681
pr_001946353,0.896477,0.336681
pr_001766119,0.896477,0.336681
pr_001653879,0.896477,0.336681
pr_001142541,0.896477,0.336681
pr_001662609,0.896477,0.336681
pr_001586805,0.896477,0.336681
pr_001953500,0.896477,0.336681
pr_001655092,0.896477,0.336681
pr_002149150,0.896477,0.336681
pr_001652536,0.896477,0.336681
pr_002197971,0.896477,0.336681
pr_001924542,0.896477,0.336681
pr_001121582,0.896477,0.336681
pr_001903463,0.896477,0.336681
pr_001901149,0.896477,0.336681
pr_001706196,0.896477,0.336681
pr_002197746,0.896477,0.336681
pr_002198050,0.896477,0.336681
pr_001614089,0.896477,0.336681
pr_001896797,0.896477,0.336681
pr_001965048,0.896477,0.336681
pr_001140284,0.896477,0.336681
pr_001830585,0.896477,0.336681
pr_002081962,0.896477,0.336681
pr_001392368,0.896477,0.336681
pr_002191924,0.896477,0.336681
pr_001874641,0.896477,0.336681
pr_002123201,0.896477,0.336681
pr_001391134,0.896477,0.336681
pr_001739323,0.896477,0.336681
pr_001730698,0.896477,0.336681
pr_002082060,0.896477,0.336681
pr_001139730,0.896477,0.336681
pr_002176758,0.896477,0.336681
pr_001957052,0.896477,0.336681
pr_001609000,0.896477,0.336681
pr_001961856,0.896477,0.336681
pr_001857076,0.896477,0.336681
pr_001977086,0.896477,0.336681
pr_001160671,0.896477,0.336681
pr_001672393,0.896477,0.336681
pr_001813100,0.896477,0.336681
pr_001662515,0.896477,0.336681
pr_002193321,0.896477,0.336681
pr_001667589,0.896477,0.336681
pr_002238737,0.896477,0.336681
pr_002099953,0.896477,0.336681
pr_001961749,0.896477,0.336681
pr_002137356,0.896477,0.336681
pr_002226005,0.896477,0.336681
pr_002169464,0.896477,0.336681
pr_001911313,0.896477,0.336681
pr_002185686,0.896477,0.336681
pr_001975756,0.896477,0.336681
pr_001936643,0.896477,0.336681
pr_002053070,0.896477,0.336681
pr_001120489,0.896477,0.336681
pr_001830579,0.896477,0.336681
pr_002108527,0.896477,0.336681
pr_002155307,0.896477,0.336681
pr_002099887,0.896477,0.336681
pr_001656928,0.896477,0.336681
pr_001148867,0.896477,0.336681
pr_002189612,0.896477,0.336681
pr_002201837,0.896477,0.336681
pr_001960291,0.896477,0.336681
pr_001928567,0.896477,0.336681
pr_001900604,0.896477,0.336681
pr_002134537,0.896477,0.336681
pr_001587402,0.896477,0.336681
pr_002132202,0.896477,0.336681
pr_001913787,0.896477,0.336681
pr_001626934,0.896477,0.336681
pr_001588092,0.896477,0.336681
pr_001640046,0.896477,0.336681
pr_002131452,0.896477,0.336681
pr_001899288,0.896477,0.336681
pr_002201948,0.896477,0.336681
pr_001121973,0.896477,0.336681
pr_001818600,0.896477,0.336681
pr_002112791,0.896477,0.336681
pr_001979116,0.896477,0.336681
pr_002162427,0.896477,0.336681
pr_002186976,0.896477,0.336681
pr_001910805,0.896477,0.336681
pr_001645943,0.896477,0.336681
pr_001913785,0.896477,0.336681
pr_002110395,0.896477,0.336681
pr_001929437,0.896477,0.336681
pr_001140402,0.896477,0.336681
pr_002055553,0.896477,0.336681
pr_002189485,0.896477,0.336681
pr_001964104,0.896477,0.336681
pr_001864446,0.896477,0.336681
pr_002136893,0.896477,0.336681
pr_002171833,0.896477,0.336681
pr_002118926,0.896477,0.336681
pr_001667177,0.896477,0.336681
pr_001874617,0.896477,0.336681
pr_002123419,0.896477,0.336681
pr_001162239,0.896477,0.336681
pr_001588193,0.896477,0.336681
