Product ID : 7875 # of JPs covered : 1 : 426 : Tax Prep-Foreign Individual, 
OID,Confidence at Map Node,Error at Map Node
us_000537863,0.934880,2.066725
us_000571146,0.934880,2.070114
us_000571148,0.934880,2.072306
us_000567480,0.934880,2.072716
us_000588881,0.934880,2.078266
us_000618489,0.934880,2.080918
us_000613500,0.934880,2.082040
us_000613379,0.934880,2.086170
us_000590228,0.934880,2.086308
us_000565161,0.934880,2.086930
us_000571181,0.934880,2.087677
us_000609948,0.934880,2.089379
us_000571175,0.934880,2.093477
us_000579806,0.934880,2.096252
us_000546012,0.934880,2.097346
us_000555964,0.934880,2.101795
us_000581229,0.934880,2.106643
us_000567477,0.934880,2.107836
us_000563092,0.934880,2.114476
us_000606667,0.934880,2.115361
us_000580645,0.934880,2.117972
us_000590144,0.934880,2.120135
us_000611826,0.934880,2.122489
us_000584676,0.934880,2.122759
us_000591712,0.934880,2.123640
us_000598640,0.934880,2.129634
us_000584680,0.934880,2.134255
us_000590093,0.934880,2.136161
us_000579837,0.934880,2.140084
us_000546846,0.934880,2.142311
us_000616197,0.934880,2.144498
us_000621426,0.934880,2.145601
us_000558846,0.934880,2.150964
us_000563381,0.934880,2.152905
us_000568260,0.934880,2.154670
us_000542429,0.934880,2.156567
us_000606111,0.934880,2.157156
us_000531008,0.934880,2.161116
us_000507040,0.934880,2.162882
us_000615303,0.934880,2.166647
us_000506842,0.934880,2.195580
us_000591460,0.934880,2.197601
us_000469761,0.934880,2.216834
us_000595784,0.934880,2.218238
us_000606977,0.934880,2.224970
us_000585273,0.934880,2.242369
us_000584637,0.934880,2.252137
us_000572296,0.934880,2.273430
us_000617385,0.934880,2.283536
us_000613385,0.934880,2.287061
us_000606709,0.934880,2.288911
us_000614523,0.934880,2.296623
us_000536553,0.934880,2.315532
us_000536568,0.934880,2.329999
us_000554904,0.934880,2.339280
us_000536560,0.934880,2.347579
us_000579840,0.934880,2.349497
us_000549996,0.934880,2.352264
us_000549968,0.934880,2.364182
us_000536548,0.934880,2.372335
us_000611840,0.934880,2.379102
us_000563340,0.934880,2.387829
us_000536583,0.934880,2.391911
us_000569281,0.934880,2.396119
us_000539550,0.934880,2.399836
us_000576981,0.934880,2.399949
us_000586720,0.934880,2.435057
us_000539551,0.934880,2.439188
us_000621931,0.934880,2.467582
us_000546975,0.934880,2.599459
us_000600831,0.934880,2.806487
us_000536312,0.934880,3.016875
us_000542425,0.934880,3.290328
us_000554869,0.934880,4.598017
pr_001785373,0.888001,0.000000
pr_000433345,0.888001,0.000000
pr_002261876,0.888001,0.000000
pr_001522444,0.888001,0.000000
pr_001385942,0.888001,0.000000
us_000541386,0.888001,0.000000
pr_001187238,0.888001,0.000000
us_000508670,0.888001,0.000000
us_000507853,0.888001,0.000000
pr_001362752,0.888001,0.000000
pr_001274107,0.888001,0.000001
pr_001546719,0.888001,0.000001
us_000526703,0.888001,0.000001
pr_002061197,0.888001,0.000002
us_000512180,0.888001,0.000003
us_000622425,0.888001,0.000007
us_000508562,0.888001,0.000024
us_000565187,0.888001,0.000034
us_000507884,0.888001,0.000163
us_000592490,0.888001,0.000242
us_000504438,0.888001,0.000441
us_000587092,0.888001,0.000584
us_000562001,0.888001,0.000690
us_000565517,0.888001,0.000912
us_000552161,0.888001,0.001987
us_000562177,0.888001,0.003104
us_000534183,0.888001,0.005010
us_000510460,0.888001,0.011116
pr_000992585,0.888001,0.279747
pr_001174362,0.888001,0.279946
pr_001336071,0.888001,0.280300
pr_001376943,0.888001,0.280369
pr_000720757,0.888001,0.280981
us_000545419,0.888001,0.296520
pr_001554262,0.888001,0.314507
us_000506622,0.888001,0.315569
us_000486056,0.888001,0.326934
us_000622894,0.888001,0.334645
us_000505114,0.888001,0.344880
us_000540094,0.888001,0.349334
us_000623012,0.888001,0.354755
us_000524282,0.888001,0.366240
us_000571861,0.888001,0.375619
us_000605516,0.888001,0.378579
us_000531313,0.888001,0.386788
us_000600948,0.888001,0.395815
us_000571009,0.888001,0.396747
us_000622482,0.888001,0.406252
us_000610902,0.888001,0.409972
us_000538622,0.888001,0.411339
us_000619765,0.888001,0.412670
us_000556281,0.888001,0.416397
us_000621428,0.888001,0.417191
us_000580134,0.888001,0.418514
us_000620428,0.888001,0.422428
us_000529280,0.888001,0.436950
us_000503949,0.888001,0.462536
us_000612883,0.888001,0.469391
pr_001273073,0.888001,0.761569
us_000476266,0.879252,0.000000
us_000536866,0.879252,0.000000
us_000537919,0.879252,0.000000
us_000546551,0.879252,0.000012
us_000505110,0.879252,0.000884
pr_000321302,0.857208,0.000000
us_000585060,0.857208,0.000000
pr_000830941,0.857208,0.000000
pr_001048051,0.857208,0.000000
pr_000719231,0.857208,0.000000
pr_001582811,0.857208,0.000000
pr_001044002,0.857208,0.000000
pr_000632862,0.857208,0.000000
pr_001817983,0.857208,0.000000
pr_000630539,0.857208,0.000000
pr_001668399,0.857208,0.000000
pr_001041706,0.857208,0.000000
pr_001054792,0.857208,0.000000
pr_000905383,0.857208,0.000000
us_000615703,0.857208,0.000000
pr_000410802,0.857208,0.000000
us_000573727,0.857208,0.000001
pr_000662864,0.857208,0.000004
us_000570741,0.857208,0.000011
us_000533238,0.857208,0.000310
us_000618225,0.857208,1.055710
us_000581077,0.857208,1.168412
us_000523776,0.857208,1.395552
us_000505887,0.857208,1.435163
us_000532623,0.857208,1.466546
us_000545238,0.857208,1.473487
us_000475307,0.857208,1.489112
us_000221104,0.857208,1.538928
us_000617420,0.857208,1.882941
us_000616723,0.857208,2.228637
us_000620978,0.854608,0.000000
us_000600293,0.854608,0.000000
us_000619993,0.854608,0.000000
us_000568200,0.854608,0.000011
pr_002229928,0.854608,0.000050
pr_000658704,0.854608,0.000050
us_000549271,0.854608,0.000076
pr_000864608,0.854608,0.000088
us_000577568,0.854608,0.001230
us_000585822,0.854608,0.185311
us_000586339,0.854608,0.824411
us_000614255,0.854608,0.832836
us_000583360,0.854608,0.951209
us_000591873,0.854608,1.051151
us_000584552,0.854608,1.107633
us_000612893,0.854608,1.174109
us_000584743,0.854608,1.214888
us_000618459,0.854608,1.225619
us_000568897,0.854608,1.230707
us_000593838,0.854608,1.245916
us_000587847,0.854608,1.248763
us_000586970,0.854608,1.253397
us_000592077,0.854608,1.260798
us_000599262,0.854608,1.263195
us_000611119,0.854608,1.265923
us_000616429,0.854608,1.278663
us_000591632,0.854608,1.285849
us_000595762,0.854608,1.287270
us_000599025,0.854608,1.290378
us_000587148,0.854608,1.292699
us_000584574,0.854608,1.295034
us_000607884,0.854608,1.299409
us_000598401,0.854608,1.305502
us_000499839,0.854608,1.308194
us_000584592,0.854608,1.312655
us_000598441,0.854608,1.324082
us_000500513,0.854608,1.336569
us_000588983,0.854608,1.349140
us_000605135,0.854608,1.373677
us_000571062,0.854608,1.585994
us_000562589,0.854608,1.692665
us_000590148,0.854608,2.142936
pr_001248259,0.840063,0.000000
pr_002184599,0.840063,0.000000
pr_002185429,0.840063,0.000000
us_000614222,0.840063,0.000000
pr_001130603,0.840063,0.000000
us_000612637,0.840063,0.000000
pr_001142432,0.840063,0.000000
pr_001168737,0.840063,0.000000
us_000519175,0.840063,0.000000
pr_001257402,0.840063,0.000000
us_000614745,0.840063,0.000001
pr_001293664,0.840063,0.000003
us_000565414,0.840063,0.000074
us_000564217,0.840063,0.000461
us_000546556,0.840063,0.028541
us_000618121,0.840063,0.036931
pr_001747466,0.792819,0.000000
us_000491535,0.792819,0.000000
us_000520070,0.792819,0.000000
pr_002125584,0.792819,0.000000
us_000514478,0.792819,0.000000
pr_001387210,0.792819,0.000000
us_000540749,0.792819,0.000000
pr_001359618,0.792819,0.000000
us_000505659,0.792819,0.000000
us_000509265,0.792819,0.000000
us_000515474,0.792819,0.000000
us_000534128,0.792819,0.000000
us_000574166,0.792819,0.000000
us_000571013,0.792819,0.000000
us_000504245,0.792819,0.000019
us_000526997,0.792819,0.000034
us_000539869,0.792819,0.000044
us_000543318,0.792819,0.000048
us_000476940,0.792819,0.000957
us_000558426,0.792819,0.811265
us_000617883,0.792819,0.915850
us_000531471,0.792819,0.974741
us_000619465,0.792819,0.977414
us_000577660,0.792819,0.997667
us_000579792,0.792819,1.023878
us_000542832,0.792819,1.095366
us_000562348,0.792819,1.114099
us_000527618,0.792819,1.119169
us_000530585,0.792819,1.157123
pr_000948533,0.773700,0.000000
pr_001164452,0.773700,0.000000
pr_001023294,0.773700,0.000000
pr_001117489,0.773700,0.000000
pr_000610936,0.773700,0.000000
pr_001646051,0.773700,0.000000
pr_001004224,0.773700,0.000000
