Product ID : 991 JPs covered : 87 : Energy, 
OID,Confidence at Map Node,Error at Map Node
us_000537656,0.657735, 0.000079
us_000590829,0.657735, 0.000079
us_000590563,0.657735, 0.000079
us_000590657,0.657735, 0.000079
us_000590822,0.657735, 0.000079
us_000590765,0.657735, 0.000079
us_000590743,0.657735, 0.000079
us_000590747,0.657735, 0.000079
us_000590714,0.657735, 0.000079
us_000590707,0.657735, 0.000079
us_000590578,0.657735, 0.000079
us_000526887,0.657735, 0.000079
us_000545005,0.657735, 0.000079
us_000590644,0.657735, 0.000079
us_000544683,0.657735, 0.000079
us_000590515,0.657735, 0.000079
us_000590525,0.657735, 0.000079
us_000590529,0.657735, 0.000079
us_000590718,0.657735, 0.000079
us_000540032,0.657735, 0.000079
us_000590850,0.657735, 0.000079
us_000590834,0.657735, 0.000079
us_000590550,0.657735, 0.000079
us_000590556,0.657735, 0.000079
us_000590841,0.657735, 0.000079
us_000590779,0.657735, 0.000079
us_000573979,0.657735, 0.000083
us_000505885,0.657735, 0.000085
us_000567203,0.657735, 0.000099
pr_001660950,0.657735, 0.000099
us_000582171,0.657735, 0.000139
us_000504555,0.657735, 0.000139
us_000484477,0.657735, 0.000139
us_000542316,0.657735, 0.000139
us_000585880,0.657735, 0.000139
us_000499443,0.657735, 0.000139
us_000535772,0.657735, 0.000157
us_000174850,0.657735, 0.000160
us_000519007,0.657735, 0.000230
us_000489249,0.657735, 0.000240
us_000295517,0.657735, 0.000282
us_000465191,0.657735, 0.000291
us_000571428,0.657735, 0.000292
us_000484246,0.657735, 0.000344
us_000580089,0.657735, 0.000396
us_000519516,0.657735, 0.000443
us_000583768,0.657735, 0.000527
pr_000908124,0.657735, 0.000542
pr_000908130,0.657735, 0.000590
us_000549457,0.657735, 0.000616
us_000576071,0.657735, 0.000620
us_000589100,0.657735, 0.000635
pr_001036942,0.657735, 0.000639
us_000544731,0.657735, 0.000989
us_000557977,0.657735, 0.001038
us_000599871,0.657735, 0.001168
us_000611278,0.657735, 0.001203
us_000538591,0.657735, 0.001208
us_000507286,0.657735, 0.001251
us_000557127,0.657735, 0.001344
us_000548745,0.657735, 0.001489
us_000526568,0.657735, 0.001489
us_000556808,0.657735, 0.001496
us_000485552,0.657735, 0.001502
us_000522825,0.657735, 0.001538
us_000480574,0.657735, 0.001587
us_000537067,0.657735, 0.001594
us_000552871,0.657735, 0.001635
us_000512072,0.657735, 0.001832
us_000550459,0.657735, 0.001980
us_000549257,0.657735, 0.001992
pr_000226350,0.657735, 0.002099
us_000513899,0.657735, 0.002139
us_000561752,0.657735, 0.002253
us_000523157,0.657735, 0.002300
us_000494764,0.657735, 0.002344
us_000547195,0.657735, 0.002362
us_000524701,0.657735, 0.002398
us_000509043,0.657735, 0.002404
us_000539645,0.657735, 0.002438
us_000502020,0.657735, 0.002540
us_000566825,0.657735, 0.002605
us_000569854,0.657735, 0.002613
us_000532976,0.657735, 0.002713
us_000503893,0.657735, 0.002744
us_000542141,0.657735, 0.002824
us_000587580,0.657735, 0.003131
us_000526915,0.657735, 0.003168
us_000517459,0.657735, 0.003339
us_000556308,0.657735, 0.003365
us_000556336,0.657735, 0.003387
us_000500890,0.657735, 0.003388
us_000528763,0.657735, 0.003404
us_000532685,0.657735, 0.003502
us_000555484,0.657735, 0.003834
us_000563129,0.657735, 0.003848
us_000536785,0.657735, 0.003867
us_000577786,0.657735, 0.003874
us_000526235,0.657735, 0.004254
us_000502708,0.657735, 0.004254
us_000613996,0.657735, 0.004301
us_000519307,0.657735, 0.004308
us_000615725,0.657735, 0.004393
us_000595829,0.657735, 0.004394
us_000493854,0.657735, 0.004728
us_000492738,0.657735, 0.005030
us_000507371,0.657735, 0.006164
us_000564469,0.657735, 0.007449
us_000531346,0.657735, 0.008269
us_000563492,0.657735, 0.008638
us_000504595,0.657735, 0.009768
us_000528902,0.657735, 0.010292
us_000511335,0.657735, 0.011310
us_000540033,0.657735, 0.013401
us_000480975,0.657735, 0.016102
us_000605586,0.657735, 0.017546
us_000572498,0.657735, 0.019420
us_000535388,0.657735, 0.020265
us_000458704,0.657735, 0.021262
us_000486755,0.657735, 0.024909
us_000501411,0.657735, 0.029463
us_000572839,0.657735, 0.029629
us_000472038,0.657735, 0.030349
us_000497723,0.657735, 0.030859
us_000494579,0.657735, 0.032041
us_000481242,0.657735, 0.034038
us_000562930,0.657735, 0.034880
us_000530025,0.657735, 0.036607
us_000500589,0.657735, 0.040333
us_000478796,0.657735, 0.040442
us_000593309,0.657735, 0.042399
us_000592043,0.657735, 0.049421
us_000579054,0.657735, 0.055969
us_000516082,0.657735, 0.066339
us_000302679,0.657735, 0.066877
us_000547362,0.657735, 0.067653
us_000528730,0.657735, 0.068764
us_000560083,0.657735, 0.082274
us_000488361,0.657735, 0.092010
us_000496235,0.657735, 0.093503
us_000514614,0.657735, 0.093786
us_000473904,0.657735, 0.104884
us_000526920,0.657735, 0.114898
us_000471174,0.657735, 0.190850
us_000550323,0.657735, 0.191377
us_000508259,0.657735, 0.262400
us_000614903,0.647517, 0.000000
us_000586673,0.647517, 0.000000
us_000593003,0.647517, 0.000000
us_000578888,0.647517, 0.000000
us_000572275,0.647517, 0.000000
us_000604804,0.647517, 0.000000
us_000600189,0.647517, 0.000000
us_000586053,0.647517, 0.000000
us_000528043,0.647517, 0.000000
us_000586055,0.647517, 0.000000
us_000558716,0.647517, 0.000000
us_000606724,0.647517, 0.000000
us_000584909,0.647517, 0.000000
us_000529944,0.647517, 0.000000
us_000594945,0.647517, 0.000000
us_000600362,0.647517, 0.000000
us_000578042,0.647517, 0.000000
us_000546096,0.647517, 0.000000
us_000528463,0.647517, 0.000000
us_000578681,0.647517, 0.000000
us_000529022,0.647517, 0.000000
us_000555030,0.647517, 0.000000
us_000600176,0.647517, 0.000000
us_000556872,0.647517, 0.000000
pr_000998664,0.647517, 0.000000
pr_001720986,0.647517, 0.000000
pr_001988076,0.647517, 0.000000
pr_001702580,0.647517, 0.000000
pr_002219174,0.647517, 0.000000
pr_001659615,0.647517, 0.000000
pr_002206423,0.647517, 0.000000
pr_002137183,0.647517, 0.000000
pr_002113139,0.647517, 0.000000
pr_002219354,0.647517, 0.000000
pr_000735359,0.647517, 0.000000
pr_001753027,0.647517, 0.000000
pr_000398873,0.647517, 0.000000
pr_001095224,0.647517, 0.000000
pr_000873226,0.647517, 0.000000
pr_002058183,0.647517, 0.000000
pr_002111489,0.647517, 0.000000
pr_002056324,0.647517, 0.000000
pr_001665231,0.647517, 0.000000
pr_001968687,0.647517, 0.000000
pr_001875940,0.647517, 0.000000
pr_002077018,0.647517, 0.000000
pr_002172955,0.647517, 0.000000
pr_001987437,0.647517, 0.000000
pr_002079803,0.647517, 0.000000
pr_001737179,0.647517, 0.000000
pr_002084836,0.647517, 0.000000
pr_002159714,0.647517, 0.000000
pr_002096421,0.647517, 0.000000
pr_002077582,0.647517, 0.000000
pr_000897168,0.647517, 0.000000
pr_002210105,0.647517, 0.000000
pr_001664602,0.647517, 0.000000
pr_000380080,0.647517, 0.000000
pr_002082021,0.647517, 0.000000
pr_002114194,0.647517, 0.000000
pr_002199044,0.647517, 0.000000
pr_002173841,0.647517, 0.000000
pr_002093370,0.647517, 0.000000
pr_002144286,0.647517, 0.000000
pr_002197744,0.647517, 0.000000
pr_002233560,0.647517, 0.000000
pr_001732892,0.647517, 0.000000
pr_000902044,0.647517, 0.000000
pr_001926681,0.647517, 0.000000
pr_002069980,0.647517, 0.000000
pr_002168209,0.647517, 0.000000
pr_002157461,0.647517, 0.000000
pr_002082042,0.647517, 0.000000
pr_001845821,0.647517, 0.000000
pr_001699276,0.647517, 0.000000
pr_001406876,0.647517, 0.000000
us_000464764,0.647517, 0.000005
us_000522075,0.647517, 0.000005
us_000257941,0.647517, 0.000005
us_000514973,0.647517, 0.000005
us_000495336,0.647517, 0.000005
us_000595950,0.647517, 0.000005
pr_000094828,0.647517, 0.000006
us_000524555,0.647517, 0.000006
pr_001149756,0.647517, 0.000009
pr_001134261,0.647517, 0.000009
