Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
pr_000729096,0.000417,No Mappings With Chosen Products
pr_001188327,0.000195,No Mappings With Chosen Products
pr_001143831,0.000092,No Mappings With Chosen Products
pr_001524097,0.000093,No Mappings With Chosen Products
us_000591007,0.039044,No Mappings With Chosen Products
pr_001452084,0.000094,No Mappings With Chosen Products
us_000472222,0.530643,No Mappings With Chosen Products
pr_001236999,0.000113,No Mappings With Chosen Products
pr_001281658,0.000094,No Mappings With Chosen Products
us_000510527,0.010812,No Mappings With Chosen Products
pr_001569593,0.000062,No Mappings With Chosen Products
pr_001208270,0.000094,No Mappings With Chosen Products
pr_001202395,0.000136,No Mappings With Chosen Products
pr_001357733,0.000093,No Mappings With Chosen Products
pr_001217409,0.000094,No Mappings With Chosen Products
pr_001284846,0.000093,No Mappings With Chosen Products
pr_001297444,0.000136,No Mappings With Chosen Products
us_000552789,0.040555,No Mappings With Chosen Products
pr_001223767,0.000094,No Mappings With Chosen Products
pr_001511190,0.000092,No Mappings With Chosen Products
pr_001372405,0.000198,No Mappings With Chosen Products
pr_000513684,0.000094,No Mappings With Chosen Products
pr_001505890,0.000093,No Mappings With Chosen Products
pr_001361682,0.000125,No Mappings With Chosen Products
us_000474862,1.009053,No Mappings With Chosen Products
pr_001354459,0.000094,No Mappings With Chosen Products
pr_001199270,0.000094,No Mappings With Chosen Products
pr_001339224,0.000126,No Mappings With Chosen Products
pr_001528932,0.000789,No Mappings With Chosen Products
pr_001274748,0.000123,No Mappings With Chosen Products
pr_001249496,0.000094,No Mappings With Chosen Products
pr_001206018,0.000115,No Mappings With Chosen Products
pr_001565313,0.000036,No Mappings With Chosen Products
pr_001347054,0.000088,No Mappings With Chosen Products
us_000466060,1.009867,No Mappings With Chosen Products
pr_001431119,0.000093,No Mappings With Chosen Products
pr_000288595,0.000094,No Mappings With Chosen Products
pr_001222351,0.000094,No Mappings With Chosen Products
pr_001284453,0.000094,No Mappings With Chosen Products
pr_001579494,0.000023,No Mappings With Chosen Products
pr_001557520,0.000094,No Mappings With Chosen Products
pr_001338126,0.000098,No Mappings With Chosen Products
us_000602170,1.525695,No Mappings With Chosen Products
pr_001561579,0.000027,No Mappings With Chosen Products
pr_001527251,0.000801,No Mappings With Chosen Products
pr_001320017,0.000094,No Mappings With Chosen Products
pr_001292053,0.000094,No Mappings With Chosen Products
pr_001257877,0.000094,No Mappings With Chosen Products
pr_001225474,0.000094,No Mappings With Chosen Products
pr_001378339,0.000094,No Mappings With Chosen Products
pr_001175266,0.000094,No Mappings With Chosen Products
pr_001453085,0.000094,No Mappings With Chosen Products
pr_001493507,0.000192,No Mappings With Chosen Products
pr_001204629,0.000182,No Mappings With Chosen Products
pr_001384613,0.000094,No Mappings With Chosen Products
pr_001204505,0.000177,No Mappings With Chosen Products
pr_001304020,0.000119,No Mappings With Chosen Products
pr_001171842,0.000094,No Mappings With Chosen Products
us_000593630,0.427705,No Mappings With Chosen Products
pr_001278662,0.000094,No Mappings With Chosen Products
us_000571138,0.001690,No Mappings With Chosen Products
us_000578130,0.003421,No Mappings With Chosen Products
pr_001274753,0.000198,No Mappings With Chosen Products
us_000516247,0.000115,No Mappings With Chosen Products
pr_001520765,0.000094,No Mappings With Chosen Products
pr_001483943,0.000094,No Mappings With Chosen Products
us_000555271,1.555714,No Mappings With Chosen Products
pr_001338298,0.000094,No Mappings With Chosen Products
us_000485551,0.587590,No Mappings With Chosen Products
pr_001495869,0.000094,No Mappings With Chosen Products
us_000531342,1.929500,No Mappings With Chosen Products
pr_001286164,0.000092,No Mappings With Chosen Products
pr_001316161,0.000094,No Mappings With Chosen Products
pr_001358164,0.001231,No Mappings With Chosen Products
pr_001496110,0.031980,No Mappings With Chosen Products
pr_001341344,0.000094,No Mappings With Chosen Products
pr_001175747,0.000094,No Mappings With Chosen Products
pr_001313425,0.000093,No Mappings With Chosen Products
us_000543730,0.985598,No Mappings With Chosen Products
pr_001358179,0.000094,No Mappings With Chosen Products
pr_001351675,0.000094,No Mappings With Chosen Products
us_000523390,0.000087,No Mappings With Chosen Products
us_000552141,0.001853,No Mappings With Chosen Products
us_000472935,1.008474,No Mappings With Chosen Products
pr_001304946,0.000094,No Mappings With Chosen Products
pr_001181237,0.000094,No Mappings With Chosen Products
us_000511380,0.497409,No Mappings With Chosen Products
pr_001190199,0.000094,No Mappings With Chosen Products
pr_001210949,0.000094,No Mappings With Chosen Products
pr_001317891,0.000190,No Mappings With Chosen Products
pr_001273754,0.000198,No Mappings With Chosen Products
pr_001275966,0.000094,No Mappings With Chosen Products
pr_001541158,0.000094,No Mappings With Chosen Products
pr_001234425,0.000094,No Mappings With Chosen Products
pr_001322498,0.000932,No Mappings With Chosen Products
pr_001306676,0.000094,No Mappings With Chosen Products
