Product ID : 906 # of JPs covered : 1 : 68 : Bankruptcy, 
OID,Confidence at Map Node,Error at Map Node
pr_000294246,0.827618, 0.000100
pr_000199778,0.827618, 0.000216
us_000520513,0.827618, 0.000318
pr_000828624,0.827618, 0.000343
us_000504645,0.827618, 0.000351
pr_002184349,0.827618, 0.001188
us_000558504,0.827618, 0.016236
us_000572232,0.827618, 0.046967
us_000566899,0.827618, 0.062572
us_000560063,0.827618, 0.618205
us_000579707,0.827618, 0.647647
us_000485952,0.827618, 0.664130
us_000486155,0.827618, 0.667454
us_000464633,0.827618, 0.667931
us_000591851,0.827618, 0.673551
us_000512297,0.827618, 0.691347
us_000467927,0.827618, 0.696758
us_000276236,0.827618, 0.701831
us_000526265,0.827618, 0.719038
us_000563171,0.827618, 0.723081
us_000557923,0.827618, 0.723569
us_000475834,0.827618, 0.738308
us_000464370,0.827618, 0.738322
us_000601275,0.827618, 0.741227
us_000459924,0.827618, 0.744011
us_000520136,0.827618, 0.744208
us_000579537,0.827618, 0.748109
us_000560536,0.827618, 0.749009
us_000515347,0.827618, 0.752606
us_000467318,0.827618, 0.757256
us_000114604,0.827618, 0.760080
us_000193290,0.827618, 0.760638
us_000460174,0.827618, 0.762370
us_000573440,0.827618, 0.764286
us_000518001,0.827618, 0.767458
us_000475838,0.827618, 0.768868
us_000561238,0.827618, 0.774629
us_000475901,0.827618, 0.776828
us_000573538,0.827618, 0.777753
us_000390948,0.827618, 0.777842
us_000501356,0.827618, 0.780804
us_000466998,0.827618, 0.781643
us_000476283,0.827618, 0.782738
us_000174958,0.827618, 0.785114
us_000576828,0.827618, 0.785339
us_000001575,0.827618, 0.785920
us_000482975,0.827618, 0.786028
us_000509494,0.827618, 0.786386
us_000593134,0.827618, 0.788576
us_000590450,0.827618, 0.789495
us_000576829,0.827618, 0.790421
us_000587318,0.827618, 0.790938
us_000590317,0.827618, 0.792555
us_000497341,0.827618, 0.794462
us_000585381,0.827618, 0.797469
us_000615582,0.827618, 0.798443
us_000485684,0.827618, 0.798443
us_000466080,0.827618, 0.805122
us_000480546,0.827618, 0.806511
us_000487207,0.827618, 0.808709
us_000475703,0.827618, 0.809441
us_000581304,0.827618, 0.809683
us_000466371,0.827618, 0.814296
us_000500168,0.827618, 0.814661
us_000469946,0.827618, 0.818707
us_000506490,0.827618, 0.824176
us_000475814,0.827618, 0.824802
us_000500406,0.827618, 0.855146
us_000598377,0.827618, 0.877403
us_000591067,0.827618, 1.095220
us_000529600,0.799559, 0.000000
us_000614180,0.799559, 0.000004
us_000495439,0.799559, 0.021212
us_000469852,0.799559, 0.584574
us_000463180,0.799559, 0.587018
us_000495378,0.799559, 0.643266
us_000472741,0.799559, 0.701870
us_000596435,0.799559, 0.753332
us_000510566,0.799559, 0.753332
us_000476147,0.799559, 0.757485
us_000596212,0.799559, 0.772730
us_000471260,0.799559, 0.793079
us_000495420,0.799559, 0.809833
us_000495419,0.799559, 0.809833
us_000509913,0.799559, 0.833034
us_000494888,0.799559, 0.833034
us_000514097,0.799559, 0.857424
us_000495453,0.799559, 0.857424
us_000513132,0.799559, 0.857424
us_000494974,0.799559, 0.857424
us_000494143,0.799559, 0.857424
us_000510171,0.799559, 0.857424
us_000510909,0.799559, 0.857424
us_000494632,0.799559, 0.857424
us_000511046,0.799559, 0.857424
us_000509624,0.799559, 0.857424
us_000507217,0.799559, 0.875972
us_000595951,0.799559, 0.981426
us_000494209,0.799559, 1.027364
us_000585211,0.799559, 1.041307
us_000596039,0.799559, 1.050432
us_000596697,0.799559, 1.086720
us_000496397,0.799559, 1.106136
us_000496590,0.799559, 1.113052
us_000508933,0.799559, 1.130476
us_000494739,0.799559, 1.130476
us_000510494,0.799559, 1.130476
us_000494681,0.799559, 1.130476
us_000494761,0.799559, 1.130476
us_000511097,0.799559, 1.130476
us_000494709,0.799559, 1.130476
us_000509706,0.799559, 1.130476
us_000509897,0.799559, 1.130476
us_000510443,0.799559, 1.130476
us_000497003,0.799559, 1.149918
us_000495018,0.799559, 1.156403
us_000509703,0.799559, 1.166764
us_000495242,0.799559, 1.166764
us_000494318,0.799559, 1.166764
us_000510622,0.799559, 1.166764
us_000510925,0.799559, 1.166764
us_000510950,0.799559, 1.166764
us_000611660,0.799559, 1.166764
us_000494565,0.799559, 1.166764
us_000549003,0.799559, 1.166764
us_000495158,0.799559, 1.166764
us_000494248,0.799559, 1.166764
us_000509146,0.799559, 1.166764
us_000495691,0.799559, 1.166764
us_000510949,0.799559, 1.166764
us_000495198,0.799559, 1.167357
us_000495698,0.799559, 1.197442
pr_000924938,0.799559, 1.366050
pr_001131829,0.799559, 1.398962
us_000585067,0.795767, 0.000357
us_000563914,0.795767, 0.335148
us_000557918,0.795767, 0.342769
us_000480824,0.795767, 0.344462
us_000529472,0.795767, 0.345567
us_000586054,0.795767, 0.349415
us_000556974,0.795767, 0.351374
us_000553777,0.795767, 0.352389
us_000505286,0.795767, 0.352453
us_000584459,0.795767, 0.353473
us_000501587,0.795767, 0.353703
us_000580468,0.795767, 0.354543
us_000509726,0.795767, 0.355597
us_000554475,0.795767, 0.356286
us_000574615,0.795767, 0.356565
us_000573418,0.795767, 0.356677
us_000541381,0.795767, 0.357056
us_000564220,0.795767, 0.358162
us_000540145,0.795767, 0.359254
us_000127625,0.795767, 0.359596
us_000471349,0.795767, 0.359596
us_000529937,0.795767, 0.359596
us_000460569,0.795767, 0.359596
us_000470354,0.795767, 0.359596
us_000470371,0.795767, 0.359596
us_000529948,0.795767, 0.359596
us_000526197,0.795767, 0.359596
us_000529946,0.795767, 0.359596
us_000557945,0.795767, 0.359596
us_000460663,0.795767, 0.359715
us_000584177,0.795767, 0.359715
us_000469211,0.795767, 0.359715
us_000577576,0.795767, 0.360076
us_000503845,0.795767, 0.360076
us_000527649,0.795767, 0.360076
us_000501178,0.795767, 0.360135
us_000607878,0.795767, 0.360546
us_000572989,0.795767, 0.360547
us_000545260,0.795767, 0.360711
us_000570964,0.795767, 0.361089
us_000459142,0.795767, 0.361187
us_000517199,0.795767, 0.361251
us_000602669,0.795767, 0.361299
us_000602359,0.795767, 0.361766
us_000573377,0.795767, 0.361769
us_000529478,0.795767, 0.361769
us_000557953,0.795767, 0.361808
us_000524834,0.795767, 0.361913
us_000461718,0.795767, 0.361913
us_000467809,0.795767, 0.361913
us_000525386,0.795767, 0.361913
us_000460636,0.795767, 0.361913
us_000527155,0.795767, 0.361913
us_000461958,0.795767, 0.361913
us_000557814,0.795767, 0.361913
us_000527517,0.795767, 0.361913
us_000461969,0.795767, 0.361913
us_000467532,0.795767, 0.361913
us_000563975,0.795767, 0.361984
