Product ID : 2081 # of JPs covered : 1 : 243 : Family Law, 
OID,Confidence at Map Node,Error at Map Node
us_000497635,0.442376, 0.065577
us_000506616,0.442376, 0.065811
us_000500108,0.442376, 0.065935
us_000505877,0.442376, 0.067149
us_000473263,0.442376, 0.067348
us_000523411,0.442376, 0.067733
us_000493896,0.442376, 0.068397
us_000530298,0.442376, 0.069845
us_000525082,0.442376, 0.069892
us_000489116,0.442376, 0.071038
us_000473995,0.442376, 0.071567
us_000493564,0.442376, 0.074877
us_000497629,0.442376, 0.076101
us_000520292,0.442376, 0.080187
us_000481192,0.442376, 0.080798
us_000600098,0.442376, 0.083031
us_000473516,0.442376, 0.083682
us_000498352,0.442376, 0.086821
us_000473008,0.442376, 0.086873
us_000515176,0.442376, 0.089862
us_000518411,0.442376, 0.089875
us_000574795,0.442376, 0.097524
us_000501583,0.442376, 0.108928
us_000546938,0.442376, 0.111041
us_000494998,0.442376, 0.111554
us_000488956,0.442376, 0.123191
us_000494420,0.442376, 0.124484
us_000489105,0.442376, 0.130147
us_000502056,0.442376, 0.135800
us_000471668,0.442376, 0.201336
us_000507235,0.442376, 0.208442
us_000511265,0.442376, 0.222319
us_000484005,0.442376, 0.251041
us_000497674,0.442376, 0.292427
us_000511901,0.442376, 0.297219
us_000506887,0.442376, 0.297743
us_000496752,0.442376, 1.066584
pr_000011307,0.428715, 0.000000
pr_000842328,0.428715, 0.000001
us_000579059,0.428715, 0.000011
pr_000444151,0.428715, 0.000095
us_000530407,0.428715, 0.000200
us_000566721,0.428715, 0.000338
us_000490713,0.428715, 0.000357
us_000507422,0.428715, 0.000479
us_000517635,0.428715, 0.125415
us_000479502,0.428715, 0.136823
us_000489698,0.428715, 0.147363
us_000495662,0.428715, 0.161730
us_000470038,0.428715, 0.163936
us_000495872,0.428715, 0.170921
us_000504868,0.428715, 0.171751
us_000534326,0.428715, 0.178976
us_000494410,0.428715, 0.178976
us_000497841,0.428715, 0.180392
us_000481367,0.428715, 0.187041
us_000518127,0.428715, 0.203340
us_000488537,0.428715, 0.209230
us_000495946,0.428715, 0.218229
us_000485385,0.428715, 0.227522
us_000517140,0.428715, 0.230630
us_000502872,0.428715, 0.238352
us_000492840,0.428715, 0.241501
us_000490723,0.428715, 0.256994
pr_000026441,0.337172, 0.000000
pr_000030241,0.337172, 0.000000
us_000470189,0.337172, 0.004427
us_000574545,0.337172, 0.006721
us_000580268,0.337172, 0.007694
us_000573722,0.337172, 0.016113
us_000576141,0.337172, 0.025754
us_000558208,0.337172, 0.053103
us_000584171,0.337172, 0.053894
us_000558582,0.337172, 0.057595
us_000503667,0.337172, 0.062833
us_000530905,0.337172, 0.081772
us_000470689,0.319357, 0.000000
us_000568985,0.319357, 0.000528
us_000507297,0.319357, 0.001086
us_000515120,0.319357, 0.054337
us_000542699,0.319357, 0.067409
us_000529684,0.319357, 0.069306
us_000503127,0.319357, 0.070896
us_000498649,0.319357, 0.083562
us_000529710,0.319357, 0.105462
us_000488668,0.319357, 0.116160
us_000489815,0.319357, 0.127023
pr_001111533,0.307815, 0.000087
us_000502254,0.307815, 0.032921
us_000526381,0.307815, 0.032921
us_000483424,0.307815, 0.032921
us_000487234,0.307815, 0.032921
us_000518773,0.307815, 0.032921
us_000506454,0.307815, 0.032921
us_000521251,0.307815, 0.032921
us_000545385,0.307815, 0.034060
us_000503941,0.307815, 0.034060
us_000575407,0.307815, 0.034060
us_000527318,0.307815, 0.034060
us_000506889,0.307815, 0.034060
us_000492157,0.307815, 0.034060
us_000498268,0.307815, 0.034060
us_000506888,0.307815, 0.034060
us_000500170,0.307815, 0.034060
us_000547996,0.307815, 0.034060
us_000511875,0.307815, 0.034060
us_000510833,0.307815, 0.034060
us_000510720,0.307815, 0.034060
us_000496896,0.307815, 0.034060
us_000499325,0.307815, 0.034060
us_000542296,0.307815, 0.034060
us_000503000,0.307815, 0.034060
us_000545381,0.307815, 0.034060
us_000546015,0.307815, 0.034060
us_000488562,0.307815, 0.035219
us_000491560,0.307815, 0.035219
us_000510807,0.307815, 0.035219
us_000482074,0.307815, 0.035219
us_000509371,0.307815, 0.035219
