Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
us_000602638,0.796272,0.290461
us_000618493,0.796272,0.290600
us_000233561,0.796272,0.290653
us_000534022,0.796272,0.290715
us_000592998,0.796272,0.290870
us_000593690,0.796272,0.290927
us_000595469,0.796272,0.290959
us_000600644,0.796272,0.291274
us_000600625,0.796272,0.291285
us_000618330,0.796272,0.291341
us_000618316,0.796272,0.291401
us_000520043,0.796272,0.291477
us_000599602,0.796272,0.291634
us_000584123,0.796272,0.291717
us_000595475,0.796272,0.291722
us_000598172,0.796272,0.291726
us_000574024,0.796272,0.292215
us_000595471,0.796272,0.292695
us_000579996,0.796272,0.292753
us_000615380,0.796272,0.292895
us_000577968,0.796272,0.292913
us_000547831,0.796272,0.292934
us_000548930,0.796272,0.293130
us_000573964,0.796272,0.293331
us_000198723,0.796272,0.293511
us_000592619,0.796272,0.293853
us_000617204,0.796272,0.294055
us_000615399,0.796272,0.294084
us_000512526,0.796272,0.294183
us_000616516,0.796272,0.294786
us_000599285,0.796272,0.294821
us_000523459,0.796272,0.294823
us_000537108,0.796272,0.295058
us_000587766,0.796272,0.295312
us_000588960,0.796272,0.295352
us_000587327,0.796272,0.295831
us_000521577,0.796272,0.296187
us_000587722,0.796272,0.296208
us_000587721,0.796272,0.296209
us_000586860,0.796272,0.296292
us_000595474,0.796272,0.296341
us_000595473,0.796272,0.296341
us_000587862,0.796272,0.296475
us_000586622,0.796272,0.296684
us_000616518,0.796272,0.297162
us_000565807,0.796272,0.297240
us_000500167,0.796272,0.297349
us_000595472,0.796272,0.297541
us_000593015,0.796272,0.297786
us_000483752,0.796272,0.297966
us_000615375,0.796272,0.298056
us_000588679,0.796272,0.298175
us_000588594,0.796272,0.298215
us_000615943,0.796272,0.298515
us_000489563,0.796272,0.298618
us_000592621,0.796272,0.298826
us_000549458,0.796272,0.298996
us_000494403,0.796272,0.299132
us_000554417,0.796272,0.299187
us_000537167,0.796272,0.299318
us_000587452,0.796272,0.299433
us_000615660,0.796272,0.299531
us_000615659,0.796272,0.299531
us_000548557,0.796272,0.299547
us_000615577,0.796272,0.299630
us_000616221,0.796272,0.299660
us_000558812,0.796272,0.299695
us_000593453,0.796272,0.300034
us_000586644,0.796272,0.300248
pr_002259394,0.796272,0.300268
us_000566485,0.796272,0.300471
us_000542112,0.796272,0.300549
us_000557597,0.796272,0.300893
us_000499868,0.796272,0.300933
us_000581611,0.796272,0.301018
us_000561922,0.796272,0.301035
us_000593065,0.796272,0.301191
us_000564531,0.796272,0.301304
us_000592988,0.796272,0.301319
us_000513638,0.796272,0.301588
us_000526467,0.796272,0.301682
us_000533477,0.796272,0.301862
us_000534979,0.796272,0.301935
us_000522237,0.796272,0.301953
us_000568161,0.796272,0.301964
us_000585410,0.796272,0.302134
us_000557375,0.796272,0.302943
us_000581807,0.796272,0.303137
us_000568975,0.796272,0.303220
us_000581432,0.796272,0.303424
us_000522793,0.796272,0.303480
us_000554887,0.796272,0.303645
us_000598689,0.796272,0.303663
us_000597952,0.796272,0.303792
us_000597947,0.796272,0.303815
us_000597946,0.796272,0.303815
us_000597911,0.796272,0.303826
us_000554437,0.796272,0.304185
us_000481090,0.796272,0.304670
us_000584831,0.796272,0.304748
us_000576856,0.796272,0.304791
us_000203730,0.796272,0.304817
pr_001934753,0.796272,0.304947
us_000586648,0.796272,0.304991
us_000511470,0.796272,0.305002
us_000581302,0.796272,0.305027
us_000581299,0.796272,0.305027
us_000537119,0.796272,0.305131
us_000578975,0.796272,0.305156
us_000575207,0.796272,0.305281
us_000586797,0.796272,0.305321
us_000600352,0.796272,0.305423
us_000610170,0.796272,0.305449
us_000604708,0.796272,0.305482
us_000581517,0.796272,0.305717
us_000513305,0.796272,0.305910
us_000602169,0.796272,0.306035
us_000584230,0.796272,0.306051
pr_002181082,0.796272,0.306286
us_000546755,0.796272,0.306505
