Product ID : 1000 JPs covered : 117 : Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000472583,0.061646, 0.301672
us_000570846,0.061646, 0.306801
us_000583855,0.061646, 0.309291
us_000486471,0.061646, 0.311675
us_000478680,0.061646, 0.311967
us_000473753,0.061646, 0.323940
us_000551044,0.061646, 0.325151
us_000491230,0.061646, 0.330860
us_000491329,0.061646, 0.333621
us_000504480,0.061646, 0.334964
us_000288288,0.061646, 0.339507
us_000517715,0.061646, 0.344858
us_000491213,0.061646, 0.353230
us_000570792,0.061646, 0.443701
us_000499254,0.061646, 0.453343
us_000287337,0.061646, 0.770148
us_000491169,0.061646, 1.083493
