Product ID : 2141 # of JPs covered : 1 : 371 : Construction Insurance Risk Mitigation, 
OID,Confidence at Map Node,Error at Map Node
us_000485118,0.301198, 0.472270
us_000545888,0.301198, 0.472270
us_000497221,0.301198, 0.472270
us_000482823,0.301198, 0.472270
us_000480153,0.301198, 0.472270
us_000543674,0.301198, 0.472270
us_000505050,0.301198, 0.472270
us_000577682,0.301198, 0.472596
us_000539570,0.301198, 0.472863
us_000526511,0.301198, 0.473504
us_000513121,0.301198, 0.473633
us_000560992,0.301198, 0.473919
us_000513272,0.301198, 0.474377
us_000494598,0.301198, 0.474678
us_000549125,0.301198, 0.475450
us_000527792,0.301198, 0.475481
us_000510058,0.301198, 0.476022
us_000526397,0.301198, 0.476882
us_000485535,0.301198, 0.477584
us_000489751,0.301198, 0.478195
us_000546286,0.301198, 0.478776
pr_000693751,0.301198, 0.478805
us_000463802,0.301198, 0.479755
us_000516939,0.301198, 0.479853
us_000489704,0.301198, 0.479944
us_000590170,0.301198, 0.480722
us_000542314,0.301198, 0.481083
us_000508102,0.301198, 0.481436
us_000556120,0.301198, 0.481436
us_000549797,0.301198, 0.481436
us_000577539,0.301198, 0.483606
us_000481269,0.301198, 0.483620
us_000533471,0.301198, 0.484669
us_000545831,0.301198, 0.484669
us_000545839,0.301198, 0.484669
us_000535078,0.301198, 0.485321
us_000467108,0.301198, 0.488905
us_000502758,0.301198, 0.490089
us_000477797,0.301198, 0.490512
us_000520627,0.301198, 0.490555
us_000524934,0.301198, 0.493129
us_000528087,0.301198, 0.495499
us_000535570,0.301198, 0.495903
us_000520503,0.301198, 0.497673
us_000535694,0.301198, 0.502490
us_000481227,0.301198, 0.502594
us_000500750,0.301198, 0.502633
us_000478456,0.301198, 0.505845
us_000497942,0.301198, 0.506949
us_000148462,0.301198, 0.508921
us_000521673,0.301198, 0.514641
us_000499738,0.301198, 0.522489
us_000481219,0.301198, 0.523305
us_000478458,0.301198, 0.523456
us_000524135,0.301198, 0.525225
us_000481129,0.301198, 0.531050
us_000472862,0.301198, 0.536788
us_000536060,0.301198, 0.539037
us_000592392,0.301198, 0.544441
us_000579287,0.301198, 0.548183
us_000522853,0.301198, 0.560190
us_000506026,0.301198, 0.568484
us_000473193,0.301198, 0.594672
us_000473125,0.301198, 0.621482
us_000531599,0.301198, 0.625234
us_000486454,0.301198, 0.683428
us_000403370,0.301198, 0.685924
us_000558742,0.301198, 0.698820
us_000519670,0.301198, 1.087414
pr_000293388,0.205119, 0.000001
pr_000444824,0.205119, 0.000001
pr_001059142,0.205119, 0.000001
pr_000726723,0.205119, 0.000001
pr_000470311,0.205119, 0.000001
us_000594691,0.205119, 0.000003
us_000595442,0.205119, 0.000003
us_000576188,0.205119, 0.000003
us_000573126,0.205119, 0.000003
us_000599490,0.205119, 0.000003
us_000602218,0.205119, 0.000003
us_000590403,0.205119, 0.000007
us_000555059,0.205119, 0.000029
us_000602121,0.205119, 0.000081
pr_002189269,0.205119, 0.000081
us_000505011,0.205119, 0.000088
pr_001006443,0.205119, 0.000090
pr_000753255,0.205119, 0.000090
pr_000719682,0.205119, 0.000090
pr_001012273,0.205119, 0.000110
pr_000879839,0.205119, 0.000239
pr_001017762,0.205119, 0.000279
pr_000900147,0.205119, 0.000279
pr_000719669,0.205119, 0.000279
pr_000860287,0.205119, 0.000279
pr_001066136,0.205119, 0.000279
pr_000739968,0.205119, 0.000279
pr_000164623,0.205119, 0.000279
pr_000880808,0.205119, 0.000279
pr_000950328,0.205119, 0.000350
us_000565179,0.205119, 0.000354
us_000570034,0.205119, 0.000429
pr_000507875,0.205119, 0.000430
us_000528812,0.205119, 0.001290
us_000525740,0.205119, 0.067762
us_000535536,0.205119, 0.116677
pr_000958889,0.007432, 0.000003
pr_001035515,0.007432, 0.000003
pr_001686709,0.007432, 0.000003
pr_000024017,0.007432, 0.000008
pr_000291148,0.007432, 0.000008
pr_000995755,0.007432, 0.000008
pr_000023298,0.007432, 0.000016
pr_000171403,0.007432, 0.000016
pr_000196215,0.007432, 0.000018
pr_001103173,0.007432, 0.000018
pr_001079006,0.007432, 0.000018
pr_000726408,0.007432, 0.000032
us_000617563,0.007432, 0.000055
pr_001038365,0.007432, 0.000071
us_000491511,0.007432, 0.000072
pr_000298917,0.007432, 0.000076
pr_000668554,0.007432, 0.000103
pr_000738240,0.007432, 0.000118
pr_001123811,0.007432, 0.000155
pr_000970608,0.007432, 0.000251
pr_001822853,0.007432, 0.000266
pr_000297898,0.007432, 0.000277
pr_001097083,0.007432, 0.000324
pr_000995643,0.007432, 0.000351
pr_000668079,0.007432, 0.000660
us_000517244,0.007432, 0.006342
us_000549824,0.007432, 0.011786
us_000508099,0.007432, 0.013245
us_000295687,0.007432, 1.173502
us_000552756,0.007432, 1.732125
us_000589681,0.007432, 1.779945
us_000470901,0.007432, 1.794877
us_000471066,0.007432, 1.809032
us_000506104,0.007432, 1.811193
us_000475971,0.007432, 1.821364
us_000515309,0.007432, 1.874800
us_000531815,0.007432, 1.880227
us_000475968,0.007432, 1.893210
us_000589747,0.007432, 1.907985
us_000497644,0.007432, 1.909154
us_000497696,0.007432, 1.911186
us_000589611,0.007432, 1.915953
us_000501541,0.007432, 1.928533
us_000477598,0.007432, 1.934075
us_000507305,0.007432, 1.949976
us_000483419,0.007432, 1.966738
us_000473416,0.007432, 1.990748
us_000498089,0.007432, 1.997996
pr_001689737,0.007432, 2.005251
us_000552826,0.007432, 2.023503
us_000308549,0.007432, 2.036574
us_000505438,0.007432, 2.052345
us_000482792,0.007432, 2.087776
us_000483435,0.007432, 2.099639
us_000509154,0.007432, 2.101173
us_000583811,0.007432, 2.104044
us_000545137,0.007432, 2.122702
us_000563790,0.007432, 2.133176
us_000548180,0.007432, 2.136117
us_000483504,0.007432, 2.140753
us_000494121,0.007432, 2.159096
us_000471078,0.007432, 2.163791
us_000584061,0.007432, 2.168272
us_000563487,0.007432, 2.169974
us_000499864,0.007432, 2.173078
us_000535018,0.007432, 2.174973
us_000475977,0.007432, 2.177267
us_000547620,0.007432, 2.182340
us_000574769,0.007432, 2.196127
us_000527515,0.007432, 2.196704
us_000541240,0.007432, 2.203936
us_000146970,0.007432, 2.205087
us_000553861,0.007432, 2.216521
us_000583995,0.007432, 2.217119
us_000492086,0.007432, 2.217767
us_000483768,0.007432, 2.219643
us_000574881,0.007432, 2.222182
us_000573754,0.007432, 2.223708
us_000507599,0.007432, 2.227668
us_000589586,0.007432, 2.238493
us_000542087,0.007432, 2.239826
us_000528153,0.007432, 2.240604
us_000495544,0.007432, 2.243301
us_000509157,0.007432, 2.251136
us_000616303,0.007432, 2.253133
us_000558037,0.007432, 2.255408
us_000573500,0.007432, 2.255992
us_000501134,0.007432, 2.256446
us_000501949,0.007432, 2.259714
us_000485974,0.007432, 2.260090
us_000470639,0.007432, 2.260976
us_000477187,0.007432, 2.263571
us_000594438,0.007432, 2.274555
us_000564184,0.007432, 2.276534
us_000502914,0.007432, 2.277324
us_000140923,0.007432, 2.290706
us_000541322,0.007432, 2.291496
us_000529098,0.007432, 2.292861
us_000549443,0.007432, 2.295771
us_000477233,0.007432, 2.297896
us_000563957,0.007432, 2.298571
us_000563247,0.007432, 2.298881
us_000502922,0.007432, 2.300257
us_000501956,0.007432, 2.300699
us_000485079,0.007432, 2.304866
us_000488850,0.007432, 2.305714
us_000507523,0.007432, 2.310531
us_000543653,0.007432, 2.321668
us_000524699,0.007432, 2.322635
us_000483540,0.007432, 2.330161
us_000492736,0.007432, 2.331096
us_000507495,0.007432, 2.333881
us_000553371,0.007432, 2.335697
us_000541228,0.007432, 2.339416
us_000493754,0.007432, 2.340185
us_000497739,0.007432, 2.343525
us_000524722,0.007432, 2.344760
us_000559152,0.007432, 2.349926
us_000495128,0.007432, 2.351299
us_000311952,0.007432, 2.356294
us_000505698,0.007432, 2.359789
us_000505089,0.007432, 2.362245
us_000551015,0.007432, 2.363314
us_000569774,0.007432, 2.364483
us_000521474,0.007432, 2.366931
us_000500238,0.007432, 2.368434
us_000497930,0.007432, 2.376218
us_000526634,0.007432, 2.382807
us_000507678,0.007432, 2.394095
us_000556800,0.007432, 2.396365
us_000578865,0.007432, 2.399130
us_000541488,0.007432, 2.401396
us_000557548,0.007432, 2.405914
us_000470733,0.007432, 2.409280
us_000483411,0.007432, 2.410012
us_000502847,0.007432, 2.415285
us_000536145,0.007432, 2.435809
us_000483446,0.007432, 2.436407
us_000501586,0.007432, 2.445358
us_000554913,0.007432, 2.466933
us_000493086,0.007432, 2.493109
us_000500051,0.007432, 2.523524
us_000491105,0.007432, 5.105178
