Product ID : 2095 # of JPs covered : 1 : 252 : Elder Law, 
OID,Confidence at Map Node,Error at Map Node
us_000541445,0.747507, 0.165884
us_000559240,0.747507, 0.165884
us_000512622,0.747507, 0.165884
us_000514427,0.747507, 0.165884
us_000527397,0.747507, 0.165884
us_000497956,0.747507, 0.165884
us_000495170,0.747507, 0.165884
us_000493297,0.747507, 0.165884
us_000495540,0.747507, 0.165884
us_000490632,0.747507, 0.165884
us_000488917,0.747507, 0.165884
us_000497036,0.747507, 0.165884
us_000580257,0.747507, 0.165884
us_000490712,0.747507, 0.165884
us_000557489,0.747507, 0.165884
us_000512036,0.747507, 0.165884
us_000497128,0.747507, 0.165884
us_000527578,0.747507, 0.165884
us_000549896,0.747507, 0.165884
us_000541527,0.747507, 0.165884
us_000599503,0.747507, 0.165884
us_000491631,0.747507, 0.165884
us_000522034,0.747507, 0.165884
us_000616601,0.747507, 0.165884
us_000543160,0.747507, 0.165884
us_000498548,0.747507, 0.165884
us_000499574,0.747507, 0.165884
us_000495595,0.747507, 0.165884
us_000526477,0.747507, 0.165884
us_000496080,0.747507, 0.165884
us_000493318,0.747507, 0.165884
us_000581148,0.747507, 0.165884
us_000572314,0.747507, 0.165884
us_000495535,0.747507, 0.165884
us_000490476,0.747507, 0.165884
us_000495906,0.747507, 0.165884
us_000616154,0.747507, 0.165884
us_000531807,0.747507, 0.165884
us_000522004,0.747507, 0.165884
us_000527657,0.747507, 0.165884
us_000529832,0.747507, 0.165884
us_000512898,0.747507, 0.165884
us_000502408,0.747507, 0.165884
us_000530211,0.747507, 0.165884
us_000498500,0.747507, 0.165884
us_000592546,0.747507, 0.165884
us_000559876,0.747507, 0.165884
us_000525796,0.747507, 0.165884
us_000588048,0.747507, 0.165884
us_000522014,0.747507, 0.165884
us_000498559,0.747507, 0.165884
us_000512632,0.747507, 0.165884
us_000501473,0.747507, 0.165884
us_000592559,0.747507, 0.165884
us_000601667,0.747507, 0.165884
us_000527395,0.747507, 0.165884
us_000497182,0.747507, 0.165884
us_000527398,0.747507, 0.165884
us_000536605,0.747507, 0.165884
us_000595956,0.747507, 0.165884
us_000514322,0.747507, 0.165884
us_000579952,0.747507, 0.165884
us_000544126,0.747507, 0.165884
us_000484553,0.747507, 0.165884
us_000496057,0.747507, 0.165884
us_000580382,0.747507, 0.165884
us_000522035,0.747507, 0.165884
us_000526702,0.747507, 0.165884
us_000490507,0.747507, 0.165884
us_000527403,0.747507, 0.165884
us_000490813,0.747507, 0.165884
us_000495594,0.747507, 0.165884
us_000498576,0.747507, 0.165884
us_000495388,0.747507, 0.165884
us_000601400,0.747507, 0.165884
us_000490314,0.747507, 0.165884
us_000587173,0.747507, 0.165884
us_000616454,0.747507, 0.165884
us_000614614,0.747507, 0.165884
us_000592505,0.747507, 0.165884
us_000541909,0.747507, 0.165884
us_000495201,0.747507, 0.165884
us_000536650,0.747507, 0.165884
us_000542150,0.747507, 0.165884
us_000489028,0.747507, 0.165884
us_000491017,0.747507, 0.165884
us_000615519,0.747507, 0.165884
us_000583430,0.747507, 0.165884
us_000496046,0.747507, 0.165884
us_000596958,0.747507, 0.165884
us_000588039,0.747507, 0.165884
us_000497123,0.747507, 0.165884
us_000484518,0.747507, 0.165884
us_000513120,0.747507, 0.165884
us_000527393,0.747507, 0.165884
us_000527396,0.747507, 0.165884
us_000583620,0.747507, 0.165884
us_000526479,0.747507, 0.165884
us_000588026,0.747507, 0.166134
us_000485744,0.747507, 0.166644
us_000522005,0.747507, 0.166644
us_000585164,0.747507, 0.166644
us_000537447,0.747507, 0.166829
us_000491717,0.747507, 0.167030
us_000495360,0.747507, 0.167137
us_000526472,0.747507, 0.167733
us_000566897,0.747507, 0.167865
us_000536951,0.747507, 0.168140
us_000470344,0.747507, 0.168885
us_000526444,0.747507, 0.171108
us_000549296,0.747507, 0.171108
us_000596523,0.747507, 0.171108
us_000495722,0.747507, 0.171108
us_000540953,0.747507, 0.171108
us_000599320,0.747507, 0.171108
us_000527120,0.747507, 0.171108
us_000489856,0.747507, 0.171108
us_000537769,0.747507, 0.171108
us_000584425,0.747507, 0.171108
us_000513570,0.747507, 0.171108
us_000551633,0.747507, 0.171108
us_000600591,0.747507, 0.171108
us_000488264,0.747507, 0.171108
us_000533254,0.747507, 0.171108
us_000535638,0.747507, 0.171108
us_000497127,0.747507, 0.171108
us_000496103,0.747507, 0.171108
us_000550747,0.747507, 0.171108
us_000600289,0.747507, 0.171108
us_000513573,0.747507, 0.171108
us_000616179,0.747507, 0.171108
us_000533524,0.747507, 0.171108
us_000541163,0.747507, 0.171108
us_000528741,0.747507, 0.171108
us_000491072,0.747507, 0.171108
us_000583933,0.747507, 0.171108
us_000491487,0.747507, 0.171108
us_000580203,0.747507, 0.171108
us_000598719,0.747507, 0.171108
us_000518148,0.747507, 0.171108
us_000495549,0.747507, 0.171108
us_000587287,0.747507, 0.171108
us_000551800,0.747507, 0.171108
us_000518098,0.747507, 0.171108
us_000583924,0.747507, 0.171108
us_000580206,0.747507, 0.171108
us_000518095,0.747507, 0.171108
us_000497012,0.747507, 0.171108
us_000497009,0.747507, 0.171108
us_000529142,0.747507, 0.171108
us_000489677,0.747507, 0.171108
us_000540735,0.747507, 0.171108
us_000551563,0.747507, 0.171108
us_000542547,0.747507, 0.171108
us_000579994,0.747507, 0.171108
us_000580316,0.747507, 0.171108
us_000527901,0.747507, 0.171108
us_000540776,0.747507, 0.171108
us_000593261,0.747507, 0.171108
us_000587105,0.747507, 0.171108
us_000543895,0.747507, 0.171108
us_000550509,0.747507, 0.171108
us_000526421,0.747507, 0.171108
us_000512712,0.747507, 0.171108
us_000531013,0.747507, 0.171108
us_000489467,0.747507, 0.171108
us_000488365,0.747507, 0.171108
us_000494988,0.747507, 0.171108
us_000595397,0.747507, 0.171108
us_000488378,0.747507, 0.171108
us_000580587,0.747507, 0.171108
us_000569326,0.747507, 0.171108
us_000535719,0.747507, 0.171108
us_000587314,0.747507, 0.171108
us_000606487,0.747507, 0.171108
us_000580246,0.747507, 0.171108
us_000604394,0.747507, 0.171108
us_000495785,0.747507, 0.171108
us_000599219,0.747507, 0.171108
us_000491486,0.747507, 0.171108
us_000608454,0.747507, 0.171108
us_000587320,0.747507, 0.171108
us_000608729,0.747507, 0.171108
us_000580137,0.747507, 0.171108
us_000589000,0.747507, 0.171108
us_000582834,0.747507, 0.171108
us_000493293,0.747507, 0.171108
us_000581027,0.747507, 0.171108
us_000582810,0.747507, 0.171108
us_000484420,0.747507, 0.171108
us_000511881,0.747507, 0.171108
us_000549851,0.747507, 0.171108
us_000606842,0.747507, 0.171108
us_000527912,0.747507, 0.171108
us_000525058,0.747507, 0.171108
us_000592609,0.747507, 0.171108
us_000515197,0.747507, 0.171108
us_000599154,0.747507, 0.171108
us_000490663,0.747507, 0.171108
us_000580922,0.747507, 0.171108
us_000497023,0.747507, 0.171108
us_000496416,0.747507, 0.171108
us_000484400,0.747507, 0.171108
us_000495774,0.747507, 0.171108
us_000497514,0.747507, 0.171108
us_000521783,0.747507, 0.171108
us_000495988,0.747507, 0.171108
us_000589002,0.747507, 0.171108
us_000496157,0.747507, 0.171108
us_000496154,0.747507, 0.171108
us_000535616,0.747507, 0.171108
us_000567230,0.747507, 0.171108
us_000543940,0.747507, 0.171108
us_000540952,0.747507, 0.171108
us_000527566,0.747507, 0.171108
us_000586064,0.747507, 0.171108
us_000526768,0.747507, 0.171108
us_000515112,0.747507, 0.171108
us_000617422,0.747507, 0.171108
us_000489511,0.747507, 0.171108
us_000490755,0.747507, 0.171108
us_000594381,0.747507, 0.171108
us_000489670,0.747507, 0.171108
us_000610237,0.747507, 0.171108
us_000589001,0.747507, 0.171108
us_000499696,0.747507, 0.171108
us_000544781,0.747507, 0.171108
us_000599875,0.747507, 0.171108
us_000496155,0.747507, 0.171108
us_000607463,0.747507, 0.171108
us_000496881,0.747507, 0.171108
us_000587176,0.747507, 0.171108
us_000595821,0.747507, 0.171108
us_000496878,0.747507, 0.171108
us_000617567,0.747507, 0.171108
us_000574544,0.747507, 0.171108
us_000488225,0.747507, 0.171108
us_000599344,0.747507, 0.171108
us_000566241,0.747507, 0.171108
us_000607282,0.747507, 0.171108
us_000490933,0.747507, 0.171108
us_000489794,0.747507, 0.171108
us_000580220,0.747507, 0.171108
us_000527028,0.747507, 0.171108
us_000596807,0.747507, 0.171108
us_000490631,0.747507, 0.171108
us_000529040,0.747507, 0.171108
us_000492619,0.747507, 0.171108
us_000501224,0.747507, 0.171108
us_000490791,0.747507, 0.171108
us_000526425,0.747507, 0.171108
us_000495331,0.747507, 0.171108
us_000488364,0.747507, 0.171108
us_000551980,0.747507, 0.171108
us_000495343,0.747507, 0.171108
us_000550152,0.747507, 0.171108
us_000495189,0.747507, 0.171108
us_000489011,0.747507, 0.171127
us_000490641,0.747507, 0.171147
us_000503394,0.747507, 0.171869
us_000522027,0.747507, 0.171869
us_000529133,0.747507, 0.171869
us_000489593,0.747507, 0.171869
us_000503081,0.747507, 0.171869
us_000546839,0.747507, 0.171869
us_000596750,0.747507, 0.171869
us_000550622,0.747507, 0.171913
us_000482557,0.747507, 0.171959
us_000604477,0.747507, 0.171959
us_000492595,0.747507, 0.171959
us_000560561,0.747507, 0.171959
us_000484422,0.747507, 0.172054
