Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 42 | Estate Planning (jpg:42,idx:27)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01342282,2.0,(11|16)
0.01333333,1.0,(0|45)
0.01333333,1.0,(12|40)
0.01315789,2.0,(34|27)
0.01308900,3.0,(7|41)
0.01307190,2.0,(18|0)
0.01298701,1.0,(47|42)
0.01282051,2.0,(18|19)
0.01282051,1.0,(23|49)
0.01282051,2.0,(24|21)
0.01282051,2.0,(37|17)
0.01273885,1.0,(24|37)
0.01271186,2.0,(37|21)
0.01265823,1.0,(37|2)
0.01242236,1.0,(13|44)
0.01242236,2.0,(20|31)
0.01242236,1.0,(45|28)
0.01234568,2.0,(29|33)
0.01234568,2.0,(41|14)
0.01234568,1.0,(44|11)
0.01234568,3.0,(47|16)
0.01226994,1.0,(24|35)
0.01226994,1.0,(42|36)
0.01226994,1.0,(43|35)
0.01224490,2.0,(1|13)
0.01223242,2.0,(46|18)
0.01190476,1.0,(9|2)
0.01190476,1.0,(25|6)
0.01183432,2.0,(6|41)
0.01179941,2.0,(44|30)
0.01162791,1.0,(37|42)
0.01162791,1.0,(45|0)
0.01156069,1.0,(33|31)
0.01145038,2.0,(46|14)
0.01142857,2.0,(41|43)
0.01136364,1.0,(2|1)
0.01129944,2.0,(22|23)
0.01123596,1.0,(48|31)
0.01111111,2.0,(35|10)
0.01105845,3.0,(5|35)
0.01102941,2.0,(24|1)
0.01098901,2.0,(22|3)
0.01092896,1.0,(18|40)
0.01092896,3.0,(19|26)
0.01090909,2.0,(42|34)
0.01084991,2.0,(19|23)
0.01075269,1.0,(42|0)
0.01073620,3.0,(24|25)
0.01063830,2.0,(21|48)
0.01063830,1.0,(39|22)
0.01061008,3.0,(49|44)
0.01059322,2.0,(31|48)
0.01033592,2.0,(31|14)
0.01025641,2.0,(27|24)
0.01020408,1.0,(30|21)
0.01015228,1.0,(47|12)
0.01013171,3.0,(23|27)
0.01010101,2.0,(39|20)
0.01005025,2.0,(20|23)
0.01000000,1.0,(39|17)
0.009933775,2.0,(31|11)
0.009900990,1.0,(3|44)
0.009900990,1.0,(33|7)
0.009852217,1.0,(27|34)
0.009708738,1.0,(16|3)
0.009708738,2.0,(39|45)
0.009677419,2.0,(24|22)
0.009615385,1.0,(21|25)
0.009615385,2.0,(22|4)
0.009615385,2.0,(22|22)
0.009615385,1.0,(29|27)
0.009615385,2.0,(35|26)
0.009569378,2.0,(18|21)
0.009569378,2.0,(26|7)
0.009433962,1.0,(24|26)
0.009433962,1.0,(33|41)
0.009395973,3.0,(28|2)
0.009389671,2.0,(11|0)
0.009345794,2.0,(25|2)
0.009345794,1.0,(47|28)
0.009259259,2.0,(4|36)
0.009259259,1.0,(25|39)
0.009259259,2.0,(29|28)
0.009259259,1.0,(49|23)
0.009132420,1.0,(14|38)
0.009090909,2.0,(5|22)
0.009009009,2.0,(4|27)
0.008948546,1.0,(30|5)
0.008928572,1.0,(20|47)
0.008928572,1.0,(23|30)
0.008849557,1.0,(15|44)
0.008797654,2.0,(21|5)
0.008733625,2.0,(6|39)
0.008733625,2.0,(40|1)
0.008695652,1.0,(35|34)
0.008620690,1.0,(3|42)
0.008620690,2.0,(6|48)
0.008620690,1.0,(38|0)
0.008620690,1.0,(38|34)
0.008620690,2.0,(46|26)
