Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 21 | Tax Law (jpg:21,idx:17)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.04954955,3.0,(0|16)
0.04938272,2.0,(36|36)
0.04878049,2.0,(7|49)
0.04878049,3.0,(11|31)
0.04878049,2.0,(41|16)
0.04848485,2.0,(4|8)
0.04827586,3.0,(10|2)
0.04819277,2.0,(27|35)
0.04804805,5.0,(29|24)
0.04800000,3.0,(7|48)
0.04787234,2.0,(2|14)
0.04761905,3.0,(21|6)
0.04761905,4.0,(48|20)
0.04761905,3.0,(49|15)
0.04651163,5.0,(35|43)
0.04651163,3.0,(48|26)
0.04639175,5.0,(28|20)
0.04624277,3.0,(27|19)
0.04615385,3.0,(26|38)
0.04580153,3.0,(10|39)
0.04562738,3.0,(42|21)
0.04545455,1.0,(17|35)
0.04545455,2.0,(23|39)
0.04545455,3.0,(46|22)
0.04545455,4.0,(49|20)
0.04516129,3.0,(21|18)
0.04513889,3.0,(47|19)
0.04494382,2.0,(49|42)
0.04477612,3.0,(7|44)
0.04477612,2.0,(11|38)
0.04477612,3.0,(42|12)
0.04469274,4.0,(45|23)
0.04458599,3.0,(24|37)
0.04444445,2.0,(32|33)
0.04382470,3.0,(2|13)
0.04368932,2.0,(8|35)
0.04347826,5.0,(2|42)
0.04347826,2.0,(36|37)
0.04285714,3.0,(0|29)
0.04285714,3.0,(49|29)
0.04255319,3.0,(0|11)
0.04255319,2.0,(30|43)
0.04225352,2.0,(14|22)
0.04216867,3.0,(41|17)
0.04210526,4.0,(5|45)
0.04210526,3.0,(44|21)
0.04166667,2.0,(0|42)
0.04150943,4.0,(1|15)
0.04137931,2.0,(42|11)
0.04135338,3.0,(38|20)
0.04109589,3.0,(39|18)
0.04107425,4.0,(5|35)
0.04098361,3.0,(39|34)
0.04081633,2.0,(10|31)
0.04081633,2.0,(33|30)
0.04065040,1.0,(0|43)
0.04017857,3.0,(10|45)
0.04000000,3.0,(9|32)
0.04000000,4.0,(29|38)
0.03977273,2.0,(49|7)
0.03977273,2.0,(49|9)
0.03947368,2.0,(22|36)
0.03921569,3.0,(13|35)
0.03906250,4.0,(12|49)
0.03902439,4.0,(12|46)
0.03883495,2.0,(46|11)
0.03846154,2.0,(0|37)
0.03846154,2.0,(21|36)
0.03846154,1.0,(31|34)
0.03846154,3.0,(49|31)
0.03835616,4.0,(9|42)
0.03825137,3.0,(48|9)
0.03797468,1.0,(8|24)
0.03793104,3.0,(0|20)
0.03780069,4.0,(21|32)
0.03750000,3.0,(43|27)
0.03731343,3.0,(26|19)
0.03728814,3.0,(48|21)
0.03726708,3.0,(13|44)
0.03714286,4.0,(42|14)
0.03703704,4.0,(43|20)
0.03680982,3.0,(5|37)
0.03664922,4.0,(7|41)
0.03658536,2.0,(10|40)
0.03649635,3.0,(33|37)
0.03636364,2.0,(11|47)
0.03636364,2.0,(41|28)
0.03623188,2.0,(1|25)
0.03608247,3.0,(1|44)
0.03603604,1.0,(31|37)
0.03597122,4.0,(42|30)
0.03581267,4.0,(42|29)
0.03571429,1.0,(14|34)
0.03550296,2.0,(1|23)
0.03546099,4.0,(8|40)
0.03546099,2.0,(23|33)
0.03529412,4.0,(7|40)
0.03522505,4.0,(8|48)
0.03515625,2.0,(32|25)
0.03508772,3.0,(9|46)
0.03508772,2.0,(27|20)
0.03478261,2.0,(9|44)
0.03478261,1.0,(31|24)
0.03468208,3.0,(6|42)
0.03448276,1.0,(26|30)
0.03448276,1.0,(36|44)
0.03424658,2.0,(10|47)
0.03418804,3.0,(41|31)
0.03389831,2.0,(5|39)
0.03389831,2.0,(10|24)
0.03389831,1.0,(12|25)
0.03389831,2.0,(33|19)
0.03381642,3.0,(14|45)
0.03378378,3.0,(3|9)
0.03370786,3.0,(9|33)
0.03370786,3.0,(38|16)
0.03333334,2.0,(7|34)
0.03333334,2.0,(9|10)
0.03333334,3.0,(28|18)
0.03305785,2.0,(1|45)
0.03278688,3.0,(23|43)
0.03278688,3.0,(34|33)
0.03278688,1.0,(38|23)
0.03252032,2.0,(43|22)
0.03243243,2.0,(3|14)
0.03238866,2.0,(36|48)
0.03238866,2.0,(43|25)
0.03225806,1.0,(35|16)
0.03225806,1.0,(36|17)
0.03208556,4.0,(6|10)
0.03191489,2.0,(22|18)
0.03151261,4.0,(46|24)
0.03137255,5.0,(23|32)
0.03125000,3.0,(3|27)
0.03125000,2.0,(14|3)
0.03125000,2.0,(40|15)
0.03116147,4.0,(21|3)
0.03100775,3.0,(46|23)
0.03092784,2.0,(4|24)
0.03076923,2.0,(40|26)
0.03061225,2.0,(4|17)
0.03030303,2.0,(39|20)
0.02985075,2.0,(20|43)
0.02985075,2.0,(31|2)
0.02985075,2.0,(32|42)
0.02970297,3.0,(3|44)
0.02941176,2.0,(22|33)
0.02941176,1.0,(31|20)
0.02919708,2.0,(13|37)
0.02919708,2.0,(37|40)
0.02903226,4.0,(2|15)
0.02898551,1.0,(11|32)
0.02898551,2.0,(13|4)
0.02898551,1.0,(13|23)
0.02898551,2.0,(29|42)
0.02884615,3.0,(31|22)
0.02884615,1.0,(33|22)
0.02884615,3.0,(47|29)
0.02877698,3.0,(47|9)
0.02875399,4.0,(34|38)
0.02870813,4.0,(11|48)
0.02867384,3.0,(44|34)
0.02857143,3.0,(8|41)
0.02857143,1.0,(27|37)
0.02836879,3.0,(4|18)
0.02830189,2.0,(46|35)
0.02816901,2.0,(3|36)
0.02816901,2.0,(16|18)
0.02816901,2.0,(19|45)
0.02816901,3.0,(49|11)
0.02803738,3.0,(11|35)
0.02777778,1.0,(22|5)
0.02777778,1.0,(23|0)
0.02777778,2.0,(26|33)
0.02764977,3.0,(32|22)
0.02758621,3.0,(10|48)
0.02758621,2.0,(43|23)
0.02758621,2.0,(45|30)
0.02747253,2.0,(44|10)
0.02739726,3.0,(10|16)
0.02739726,3.0,(12|36)
0.02739726,1.0,(20|10)
0.02739726,1.0,(33|23)
0.02732240,3.0,(23|35)
0.02728732,4.0,(34|39)
0.02714932,3.0,(0|24)
0.02714932,3.0,(33|26)
0.02702703,2.0,(38|17)
0.02684564,2.0,(2|16)
0.02678571,2.0,(3|21)
0.02666667,3.0,(24|39)
0.02654867,2.0,(13|42)
0.02651515,1.0,(30|24)
0.02649007,3.0,(33|27)
0.02644231,3.0,(0|14)
0.02643172,2.0,(41|19)
0.02639752,5.0,(8|45)
0.02608696,2.0,(7|12)
0.02608696,3.0,(7|47)
0.02608696,4.0,(42|26)
0.02597403,2.0,(1|42)
0.02577320,2.0,(39|14)
0.02553191,3.0,(30|25)
0.02547771,3.0,(48|8)
0.02531646,2.0,(9|26)
0.02527076,3.0,(43|12)
0.02525252,2.0,(40|19)
0.02521008,3.0,(18|39)
0.02500000,1.0,(20|6)
0.02484472,3.0,(6|27)
0.02484472,3.0,(8|2)
0.02479339,3.0,(13|29)
0.02479339,3.0,(28|34)
0.02475248,3.0,(22|38)
0.02469136,2.0,(10|27)
0.02469136,1.0,(43|24)
