Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:18)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01481481,1.0,(41|18)
0.01449275,1.0,(28|30)
0.01438849,1.0,(25|29)
0.01438849,1.0,(46|25)
0.01438849,2.0,(47|9)
0.01428571,1.0,(21|21)
0.01428571,2.0,(49|15)
0.01418440,1.0,(4|18)
0.01418440,1.0,(21|39)
0.01388889,1.0,(19|32)
0.01379310,1.0,(42|11)
0.01376147,2.0,(41|20)
0.01374570,2.0,(47|17)
0.01363636,2.0,(5|22)
0.01360544,1.0,(10|25)
0.01360544,1.0,(29|32)
0.01355932,1.0,(43|13)
0.01355932,2.0,(48|21)
0.01345291,2.0,(49|21)
0.01339286,2.0,(19|31)
0.01336898,2.0,(6|10)
0.01333333,1.0,(0|45)
0.01333333,1.0,(32|19)
0.01333333,1.0,(42|24)
0.01315789,1.0,(10|37)
0.01310861,3.0,(19|27)
0.01298701,1.0,(32|24)
0.01293103,2.0,(21|31)
0.01282051,1.0,(40|20)
0.01276596,1.0,(49|19)
0.01253133,1.0,(39|27)
0.01250000,1.0,(13|32)
0.01250000,1.0,(43|27)
0.01226994,2.0,(39|12)
0.01224490,1.0,(1|13)
0.01219512,1.0,(4|14)
0.01204819,1.0,(15|25)
0.01201923,1.0,(0|14)
0.01201201,2.0,(28|27)
0.01197605,1.0,(0|19)
0.01197605,1.0,(47|10)
0.01190476,1.0,(4|7)
0.01190476,1.0,(23|42)
0.01187648,2.0,(17|24)
0.01183432,1.0,(30|32)
0.01176471,1.0,(47|27)
0.01161103,3.0,(20|24)
0.01156069,1.0,(44|22)
0.01149425,1.0,(22|28)
0.01142857,1.0,(41|22)
0.01136364,2.0,(11|2)
0.01136364,1.0,(30|24)
0.01129944,1.0,(1|10)
0.01120448,1.0,(20|30)
0.01117318,1.0,(42|25)
0.01107011,1.0,(48|22)
0.01102941,2.0,(1|21)
0.01098901,1.0,(42|27)
0.01092896,2.0,(6|21)
0.01092896,2.0,(24|33)
0.01081081,1.0,(2|22)
0.01079137,2.0,(3|16)
0.01079137,2.0,(44|20)
0.01075269,1.0,(45|25)
0.01048951,2.0,(12|48)
0.01047120,1.0,(0|10)
0.01036269,1.0,(45|22)
0.01030928,1.0,(2|40)
0.01030928,1.0,(20|28)
0.01005025,2.0,(21|24)
0.01000000,1.0,(9|32)
0.009950249,1.0,(45|26)
0.009900990,1.0,(22|38)
0.009803922,1.0,(37|18)
0.009803922,2.0,(39|26)
0.009708738,1.0,(49|12)
0.009615385,1.0,(6|45)
0.009615385,1.0,(19|22)
0.009615385,1.0,(21|25)
0.009615385,1.0,(31|22)
0.009569378,1.0,(18|21)
0.009478673,1.0,(46|10)
0.009433962,1.0,(44|28)
0.009375000,2.0,(17|28)
0.009259259,1.0,(20|1)
0.009259259,1.0,(22|48)
0.009259259,1.0,(49|23)
0.009132420,1.0,(47|22)
0.009107468,2.0,(19|26)
0.009090909,1.0,(4|12)
0.009063444,2.0,(2|11)
0.009041592,3.0,(19|23)
0.008928572,1.0,(10|45)
0.008849557,1.0,(4|10)
0.008849557,1.0,(44|23)
0.008733625,1.0,(45|13)
0.008720931,3.0,(48|17)
0.008695652,1.0,(2|42)
0.008650519,2.0,(19|25)
0.008547009,1.0,(10|34)
0.008474576,1.0,(48|13)
0.008450705,1.0,(47|14)
0.008438818,1.0,(21|27)
0.008333334,1.0,(41|13)
0.008333334,1.0,(43|11)
0.008264462,2.0,(47|43)
0.008196721,1.0,(20|9)
0.008196721,1.0,(22|26)
0.008196721,1.0,(23|43)
0.008196721,1.0,(42|44)
0.008163265,1.0,(18|29)
0.008130081,1.0,(7|24)
0.008130081,1.0,(17|45)
0.008097166,1.0,(43|25)
0.008064516,1.0,(0|17)
0.007978723,1.0,(20|25)
0.007968128,1.0,(21|30)
0.007843138,1.0,(0|9)
0.007843138,1.0,(46|13)
0.007812500,1.0,(12|49)
0.007812500,1.0,(47|21)
0.007751938,1.0,(0|21)
0.007751938,1.0,(23|20)
0.007575758,1.0,(49|43)
0.007518797,1.0,(9|1)
0.007462686,1.0,(7|44)
0.007246377,1.0,(26|25)
0.007142857,1.0,(22|0)
0.007092198,1.0,(23|33)
0.006993007,1.0,(47|13)
0.006944444,1.0,(0|42)
0.006849315,2.0,(10|16)
0.006772009,2.0,(19|24)
0.006711409,1.0,(3|34)
0.006666667,1.0,(7|34)
0.006666667,1.0,(12|16)
0.006622517,2.0,(40|16)
0.006622517,1.0,(49|14)
0.006451613,1.0,(13|16)
0.006369427,1.0,(39|16)
0.006289308,1.0,(0|22)
0.006269592,2.0,(17|23)
0.006211180,1.0,(1|20)
