Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 35 | Mergers & Acquisitions (jpg:35,idx:22)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01086957,2.0,(33|13)
0.01075269,2.0,(18|27)
0.01067616,2.0,(23|8)
0.01063830,1.0,(21|48)
0.01063830,3.0,(35|8)
0.01063830,2.0,(45|48)
0.01058201,1.0,(46|4)
0.01052632,2.0,(24|2)
0.01041667,1.0,(17|22)
0.01041667,1.0,(26|10)
0.01033592,3.0,(15|26)
0.01033592,2.0,(23|20)
0.01027397,2.0,(12|36)
0.01027397,3.0,(29|49)
0.01020408,1.0,(13|12)
0.01015228,2.0,(9|35)
0.01010101,2.0,(33|1)
0.01000000,1.0,(19|42)
0.009950249,2.0,(20|4)
0.009900990,1.0,(20|32)
0.009900990,2.0,(35|24)
0.009803922,1.0,(40|48)
0.009779952,2.0,(34|28)
0.009756098,2.0,(9|7)
0.009708738,1.0,(14|30)
0.009708738,1.0,(16|49)
0.009708738,1.0,(20|17)
0.009708738,1.0,(32|1)
0.009615385,1.0,(23|11)
0.009615385,2.0,(31|21)
0.009523810,1.0,(19|33)
0.009501188,2.0,(17|24)
0.009433962,1.0,(46|35)
0.009411764,2.0,(18|23)
0.009375000,2.0,(37|28)
0.009302326,2.0,(39|42)
0.009259259,1.0,(23|0)
0.009259259,1.0,(28|33)
0.009237875,1.0,(40|45)
0.009216590,2.0,(10|1)
0.009174312,1.0,(11|36)
0.009090909,1.0,(36|33)
0.009049774,2.0,(9|31)
0.009009009,1.0,(31|37)
0.008888889,2.0,(45|29)
0.008810572,2.0,(41|19)
0.008695652,1.0,(2|42)
0.008695652,1.0,(35|34)
0.008658009,2.0,(5|29)
0.008620690,2.0,(21|31)
0.008583691,2.0,(2|33)
0.008503402,3.0,(26|48)
0.008474576,2.0,(17|21)
0.008474576,3.0,(31|48)
0.008403362,1.0,(39|38)
0.008403362,2.0,(44|40)
0.008368201,2.0,(48|2)
0.008333334,1.0,(26|3)
0.008264462,1.0,(2|41)
0.008264462,1.0,(13|29)
0.008264462,2.0,(19|4)
0.008196721,2.0,(20|9)
0.008130081,1.0,(0|43)
0.008064516,1.0,(8|26)
0.008000000,2.0,(2|6)
0.007874016,1.0,(30|27)
0.007843138,1.0,(30|0)
0.007812500,1.0,(14|0)
0.007812500,2.0,(47|40)
0.007782101,2.0,(23|48)
0.007751938,1.0,(21|46)
0.007751938,2.0,(32|26)
0.007575758,1.0,(2|12)
0.007575758,1.0,(16|13)
0.007575758,2.0,(25|27)
0.007518797,1.0,(17|20)
0.007490637,2.0,(8|30)
0.007434944,2.0,(22|21)
0.007407407,2.0,(7|3)
