Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 19 | Real Property Transactions (jpg:19,idx:15)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02453988,3.0,(42|36)
0.02453988,3.0,(43|35)
0.02439024,1.0,(31|41)
0.02439024,1.0,(35|42)
0.02429150,2.0,(36|48)
0.02427184,2.0,(23|26)
0.02415459,3.0,(14|45)
0.02409638,2.0,(15|25)
0.02409638,1.0,(48|39)
0.02395210,2.0,(10|17)
0.02392345,2.0,(7|43)
0.02380952,1.0,(3|0)
0.02380952,2.0,(12|39)
0.02380952,2.0,(43|46)
0.02356021,2.0,(7|41)
0.02347418,1.0,(49|11)
0.02343750,3.0,(49|39)
0.02339181,3.0,(7|32)
0.02325581,2.0,(3|1)
0.02325581,1.0,(45|16)
0.02298851,2.0,(34|1)
0.02283105,1.0,(34|41)
0.02281369,3.0,(42|38)
0.02272727,1.0,(8|42)
0.02262443,3.0,(43|44)
0.02259887,3.0,(12|35)
0.02222222,2.0,(17|17)
0.02222222,1.0,(32|31)
0.02222222,1.0,(38|5)
0.02197802,2.0,(29|1)
0.02197802,1.0,(34|0)
0.02187500,2.0,(17|28)
0.02173913,1.0,(0|39)
0.02162162,2.0,(37|1)
0.02145923,2.0,(2|33)
0.02142857,2.0,(5|0)
0.02140673,4.0,(25|20)
0.02127660,2.0,(9|25)
0.02127660,1.0,(21|48)
0.02127660,2.0,(22|18)
0.02127660,1.0,(47|23)
0.02116402,2.0,(41|41)
0.02116402,2.0,(44|1)
0.02112676,1.0,(24|6)
0.02107280,1.0,(46|16)
0.02105263,2.0,(1|29)
0.02105263,1.0,(2|38)
0.02097902,2.0,(10|15)
0.02083333,2.0,(26|3)
0.02083333,1.0,(26|10)
0.02061856,2.0,(1|44)
0.02061856,1.0,(2|40)
0.02040816,1.0,(2|5)
0.02040816,2.0,(12|3)
0.02040816,3.0,(15|0)
0.02030457,1.0,(47|12)
0.02020202,1.0,(9|29)
0.02000000,2.0,(7|34)
0.02000000,2.0,(12|40)
0.02000000,2.0,(17|1)
0.02000000,1.0,(19|18)
0.02000000,1.0,(34|40)
0.02000000,1.0,(45|42)
0.01986755,1.0,(16|1)
0.01980198,2.0,(20|32)
0.01977401,1.0,(22|23)
0.01973684,2.0,(2|37)
0.01970443,2.0,(0|2)
0.01960784,2.0,(11|41)
0.01960784,2.0,(19|30)
0.01960784,2.0,(20|30)
0.01941748,2.0,(11|12)
0.01941748,1.0,(31|31)
0.01932367,1.0,(11|30)
0.01932367,1.0,(17|27)
0.01923077,2.0,(11|27)
0.01923077,1.0,(19|22)
0.01904762,1.0,(13|19)
0.01893939,1.0,(49|20)
0.01892745,1.0,(43|17)
0.01886792,2.0,(4|2)
0.01886792,2.0,(21|20)
0.01886792,1.0,(24|26)
0.01886792,2.0,(35|38)
0.01869159,3.0,(9|30)
0.01869159,1.0,(11|35)
0.01865672,1.0,(25|23)
0.01861702,1.0,(17|25)
0.01851852,1.0,(8|46)
0.01851852,2.0,(27|2)
0.01851852,2.0,(29|33)
0.01843318,2.0,(2|39)
0.01834862,1.0,(11|36)
0.01834862,2.0,(34|45)
0.01831502,1.0,(48|20)
0.01826484,3.0,(24|28)
0.01807229,2.0,(36|32)
0.01801802,2.0,(10|46)
0.01769911,1.0,(0|23)
0.01764706,1.0,(22|25)
0.01759531,3.0,(36|45)
0.01754386,1.0,(4|44)
0.01754386,2.0,(9|46)
0.01739130,1.0,(9|44)
0.01739130,1.0,(48|36)
0.01724138,1.0,(21|31)
0.01716738,3.0,(2|32)
0.01712329,1.0,(12|36)
0.01694915,1.0,(5|39)
0.01694915,1.0,(43|13)
0.01680672,1.0,(2|31)
0.01680672,1.0,(43|21)
0.01680672,1.0,(46|24)
0.01654412,1.0,(25|22)
0.01639344,3.0,(5|3)
0.01639344,2.0,(6|2)
0.01639344,1.0,(11|3)
0.01639344,1.0,(39|34)
0.01639344,1.0,(43|43)
0.01626016,1.0,(20|11)
0.01621622,2.0,(12|44)
0.01618123,1.0,(45|15)
0.01612903,1.0,(32|43)
0.01612903,1.0,(47|48)
0.01604278,1.0,(48|15)
0.01593626,1.0,(21|30)
0.01587302,1.0,(15|15)
0.01562500,1.0,(14|3)
0.01562500,1.0,(37|31)
0.01550388,2.0,(12|28)
0.01550388,1.0,(14|47)
0.01546392,1.0,(39|48)
0.01522843,1.0,(47|35)
0.01515152,1.0,(40|19)
0.01503759,2.0,(43|48)
0.01500000,2.0,(13|24)
0.01500000,1.0,(39|17)
0.01492537,2.0,(7|44)
0.01483051,3.0,(31|48)
0.01477833,1.0,(19|29)
0.01463415,2.0,(4|31)
0.01463415,2.0,(9|7)
0.01442308,1.0,(49|31)
0.01438849,1.0,(46|25)
0.01435407,2.0,(11|48)
0.01428571,1.0,(4|6)
0.01428571,1.0,(26|22)
0.01428571,1.0,(47|34)
0.01428571,1.0,(49|15)
0.01424501,1.0,(8|31)
0.01418440,1.0,(18|11)
0.01418440,2.0,(18|14)
0.01408451,2.0,(15|41)
0.01403509,1.0,(44|16)
0.01401869,2.0,(18|12)
0.01398601,2.0,(12|48)
0.01398601,1.0,(38|49)
0.01398601,1.0,(48|32)
0.01388889,1.0,(42|46)
0.01385681,3.0,(31|44)
0.01382488,2.0,(4|40)
0.01379310,2.0,(4|0)
0.01379310,1.0,(40|30)
0.01372998,3.0,(30|12)
0.01369863,1.0,(11|49)
0.01369863,2.0,(38|43)
0.01365188,1.0,(44|14)
0.01357466,2.0,(44|46)
0.01351351,1.0,(1|36)
0.01351351,1.0,(14|43)
0.01351351,1.0,(42|15)
0.01342282,2.0,(43|0)
0.01333333,1.0,(25|21)
0.01333333,1.0,(42|24)
0.01328904,2.0,(6|13)
0.01298701,1.0,(42|40)
0.01291990,1.0,(23|20)
0.01290323,2.0,(18|18)
0.01271186,2.0,(0|33)
0.01265823,1.0,(15|5)
0.01265823,1.0,(21|27)
0.01265823,2.0,(31|9)
0.01260504,4.0,(9|14)
0.01250000,2.0,(3|27)
0.01250000,1.0,(12|33)
0.01250000,2.0,(31|3)
0.01250000,2.0,(43|38)
0.01242236,1.0,(13|44)
0.01242236,1.0,(45|28)
0.01234568,1.0,(7|29)
0.01229508,2.0,(20|9)
0.01224490,1.0,(18|29)
0.01223242,1.0,(46|18)
0.01219512,2.0,(12|46)
0.01219512,2.0,(33|6)
0.01219512,1.0,(41|30)
