Product ID : 2066 # of JPs covered : 1 : 126 : Products Liability, 
OID,Confidence at Map Node,Error at Map Node
us_000502685,0.419720, 0.053989
us_000528676,0.419720, 0.053989
us_000506515,0.419720, 0.053989
us_000494391,0.419720, 0.053989
us_000507472,0.419720, 0.053989
us_000499902,0.419720, 0.053989
us_000521880,0.419720, 0.053989
us_000494435,0.419720, 0.053989
us_000489040,0.419720, 0.053989
us_000517839,0.419720, 0.053989
us_000488212,0.419720, 0.053989
us_000489031,0.419720, 0.053989
us_000489492,0.419720, 0.053989
us_000486974,0.419720, 0.053989
us_000502668,0.419720, 0.053989
us_000490570,0.419720, 0.053989
us_000505508,0.419720, 0.053989
us_000495762,0.419720, 0.053989
us_000499911,0.419720, 0.053989
us_000498846,0.419720, 0.053989
us_000487498,0.419720, 0.053989
us_000488388,0.419720, 0.053989
us_000491234,0.419720, 0.053989
us_000495015,0.419720, 0.053989
us_000489565,0.419720, 0.053989
us_000497334,0.419720, 0.053989
us_000494810,0.419720, 0.053989
us_000487107,0.419720, 0.053989
us_000528588,0.419720, 0.053989
pr_001115463,0.419720, 0.053989
us_000461271,0.419720, 0.053989
us_000492671,0.419720, 0.053989
us_000505959,0.419720, 0.053989
us_000461126,0.419720, 0.053989
us_000504090,0.419720, 0.053989
us_000491393,0.419720, 0.053989
us_000496650,0.419720, 0.053989
us_000494257,0.419720, 0.053989
us_000479661,0.419720, 0.056546
us_000504615,0.419720, 0.057049
us_000489135,0.419720, 0.060297
us_000514858,0.419720, 0.070745
us_000486057,0.419720, 0.170196
pr_000582385,0.412271, 0.000001
pr_000604281,0.412271, 0.000001
us_000574627,0.412271, 0.000657
us_000551933,0.412271, 0.001878
us_000492691,0.412271, 0.001878
us_000580135,0.412271, 0.003510
us_000604290,0.412271, 0.011144
us_000605420,0.412271, 0.016617
us_000604603,0.412271, 0.031355
us_000496880,0.412271, 0.038639
us_000512764,0.412271, 0.050577
us_000523922,0.163615, 0.000071
us_000565652,0.163615, 0.000086
us_000488081,0.163615, 0.002866
us_000459868,0.163615, 0.004989
us_000500749,0.163615, 0.008788
us_000568206,0.163615, 0.009076
pr_000637417,0.163615, 0.025238
pr_000171549,0.163615, 0.025238
pr_001026064,0.163615, 0.025238
us_000527156,0.163615, 0.028947
us_000519017,0.163615, 0.086956
us_000478053,0.116311, 0.000004
us_000473597,0.116311, 0.000004
us_000489189,0.116311, 0.000006
us_000502680,0.116311, 0.000006
us_000580318,0.116311, 0.000006
