Product ID : 894 JPs covered : 186 : Acct-Tax, 
OID,Confidence at Map Node,Error at Map Node
us_000464641,0.781350, 0.431868
us_000469668,0.781350, 0.431868
us_000603874,0.781350, 0.432125
us_000487060,0.781350, 0.432125
us_000487579,0.781350, 0.432337
us_000492980,0.781350, 0.432512
us_000476678,0.781350, 0.432621
us_000487582,0.781350, 0.432621
us_000033435,0.781350, 0.432717
us_000461084,0.781350, 0.432738
us_000465817,0.781350, 0.433103
us_000489536,0.781350, 0.433103
us_000472163,0.781350, 0.433125
us_000471381,0.781350, 0.433125
us_000487589,0.781350, 0.433174
us_000476555,0.781350, 0.433174
us_000474637,0.781350, 0.433174
us_000478912,0.781350, 0.433174
us_000336991,0.781350, 0.433174
us_000462459,0.781350, 0.433174
us_000476693,0.781350, 0.433174
us_000465631,0.781350, 0.433174
us_000604761,0.781350, 0.433174
us_000483744,0.781350, 0.433174
us_000466750,0.781350, 0.433174
us_000464362,0.781350, 0.433174
us_000465140,0.781350, 0.433174
us_000440730,0.781350, 0.433174
us_000460971,0.781350, 0.433174
us_000474705,0.781350, 0.433174
us_000473157,0.781350, 0.433174
us_000471600,0.781350, 0.433174
us_000465174,0.781350, 0.433174
us_000479273,0.781350, 0.433174
us_000462469,0.781350, 0.433174
us_000463500,0.781350, 0.433174
us_000488019,0.781350, 0.433174
us_000490727,0.781350, 0.433174
us_000465093,0.781350, 0.433174
us_000492735,0.781350, 0.433174
us_000473395,0.781350, 0.433174
us_000462304,0.781350, 0.433174
us_000033612,0.781350, 0.433174
us_000458846,0.781350, 0.433174
us_000484264,0.781350, 0.433174
us_000464650,0.781350, 0.433174
us_000483462,0.781350, 0.433174
us_000475513,0.781350, 0.433174
us_000493646,0.781350, 0.433174
us_000478026,0.781350, 0.433174
us_000488100,0.781350, 0.433174
us_000486472,0.781350, 0.433174
us_000615175,0.781350, 0.433174
us_000476042,0.781350, 0.433174
us_000464273,0.781350, 0.433174
us_000467066,0.781350, 0.433174
us_000464375,0.781350, 0.433174
us_000164623,0.781350, 0.433174
us_000467414,0.781350, 0.433174
us_000361877,0.781350, 0.433174
us_000486248,0.781350, 0.433174
us_000476861,0.781350, 0.433174
us_000464504,0.781350, 0.433174
us_000484729,0.781350, 0.433174
us_000473948,0.781350, 0.433174
us_000606699,0.781350, 0.433174
us_000492564,0.781350, 0.433174
us_000489528,0.781350, 0.433174
us_000471576,0.781350, 0.433174
us_000476130,0.781350, 0.433174
us_000486827,0.781350, 0.433174
us_000466620,0.781350, 0.433174
us_000483451,0.781350, 0.433174
us_000472410,0.781350, 0.433174
us_000275016,0.781350, 0.433174
us_000484658,0.781350, 0.433174
us_000464542,0.781350, 0.433174
us_000492823,0.781350, 0.433174
us_000464592,0.781350, 0.433174
us_000492783,0.781350, 0.433174
us_000465179,0.781350, 0.433174
us_000475042,0.781350, 0.433174
us_000476696,0.781350, 0.433174
us_000464006,0.781350, 0.433174
us_000611851,0.781350, 0.433174
us_000464567,0.781350, 0.433174
us_000489541,0.781350, 0.433174
us_000290772,0.781350, 0.433174
us_000610825,0.781350, 0.433174
us_000470886,0.781350, 0.433174
us_000465813,0.781350, 0.433174
us_000492703,0.781350, 0.433174
us_000397660,0.781350, 0.433174
us_000483138,0.781350, 0.433174
us_000477311,0.781350, 0.433174
us_000469635,0.781350, 0.433174
us_000461606,0.781350, 0.433174
us_000482061,0.781350, 0.433174
us_000464631,0.781350, 0.433174
us_000483544,0.781350, 0.433174
us_000484358,0.781350, 0.433174
us_000476814,0.781350, 0.433174
us_000462479,0.781350, 0.433174
us_000225948,0.781350, 0.433174
us_000601303,0.781350, 0.433174
us_000484480,0.781350, 0.433174
us_000473403,0.781350, 0.433174
us_000493012,0.781350, 0.433174
us_000492978,0.781350, 0.433174
us_000477418,0.781350, 0.433174
us_000464591,0.781350, 0.433174
us_000489370,0.781350, 0.433174
us_000472304,0.781350, 0.433174
us_000462394,0.781350, 0.433174
us_000476939,0.781350, 0.433174
us_000471843,0.781350, 0.433174
us_000492858,0.781350, 0.433174
us_000466874,0.781350, 0.433174
us_000014025,0.781350, 0.433174
us_000483359,0.781350, 0.433174
us_000486594,0.781350, 0.433174
us_000484676,0.781350, 0.433174
us_000483547,0.781350, 0.433174
us_000272407,0.781350, 0.433174
us_000458674,0.781350, 0.433174
us_000484014,0.781350, 0.433174
us_000373877,0.781350, 0.433174
us_000473160,0.781350, 0.433174
us_000492554,0.781350, 0.433174
us_000465128,0.781350, 0.433174
us_000463501,0.781350, 0.433174
