Product ID : 211 # of JPs covered : 1 : 214 : Insurance Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000479794,0.914608, 0.456156
us_000312160,0.914608, 0.456156
us_000477340,0.914608, 0.456156
us_000480846,0.914608, 0.456156
us_000523735,0.914608, 0.456156
us_000392118,0.914608, 0.456156
us_000532086,0.914608, 0.456156
us_000486938,0.914608, 0.456156
us_000538066,0.914608, 0.456156
us_000478002,0.914608, 0.456156
us_000554350,0.914608, 0.456156
us_000532803,0.914608, 0.456156
us_000486950,0.914608, 0.456156
us_000518161,0.914608, 0.456156
us_000480894,0.914608, 0.456156
us_000535077,0.914608, 0.456156
us_000480864,0.914608, 0.456156
us_000462268,0.914608, 0.456156
us_000500273,0.914608, 0.456156
us_000478191,0.914608, 0.456156
us_000486941,0.914608, 0.456156
us_000571083,0.914608, 0.456156
us_000461479,0.914608, 0.456156
us_000534874,0.914608, 0.456156
us_000458170,0.914608, 0.456156
us_000489547,0.914608, 0.456156
us_000485348,0.914608, 0.456156
us_000481184,0.914608, 0.456156
us_000548866,0.914608, 0.456156
us_000597896,0.914608, 0.456156
us_000479825,0.914608, 0.456156
us_000494742,0.914608, 0.456156
us_000481024,0.914608, 0.456156
us_000479728,0.914608, 0.456156
us_000549012,0.914608, 0.456156
us_000479329,0.914608, 0.456156
us_000479577,0.914608, 0.456156
us_000550723,0.914608, 0.456156
us_000481025,0.914608, 0.456156
us_000488558,0.914608, 0.456156
us_000486813,0.914608, 0.456156
us_000462278,0.914608, 0.456156
us_000545270,0.914608, 0.456156
us_000488659,0.914608, 0.456156
us_000552703,0.914608, 0.456156
us_000535763,0.914608, 0.456156
us_000597799,0.914608, 0.456156
us_000551692,0.914608, 0.456156
us_000462973,0.914608, 0.456156
us_000486561,0.914608, 0.456156
us_000477447,0.914608, 0.456156
us_000462181,0.914608, 0.456156
us_000501483,0.914608, 0.456156
us_000476700,0.914608, 0.456156
us_000550500,0.914608, 0.456156
us_000535426,0.914608, 0.456156
us_000532801,0.914608, 0.456156
us_000480172,0.914608, 0.456156
us_000541115,0.914608, 0.456156
us_000535799,0.914608, 0.456156
us_000459567,0.914608, 0.456156
us_000465560,0.914608, 0.456156
us_000535394,0.914608, 0.456156
us_000493855,0.914608, 0.456156
us_000128486,0.914608, 0.456156
us_000563849,0.914608, 0.456156
us_000502689,0.914608, 0.456156
us_000480999,0.914608, 0.456156
us_000524870,0.914608, 0.456156
us_000569191,0.914608, 0.456419
us_000500286,0.914608, 0.456586
us_000495351,0.914608, 0.457158
us_000488686,0.914608, 0.457874
us_000534012,0.914608, 0.457883
us_000480735,0.914608, 0.459236
us_000535857,0.914608, 0.462267
us_000460162,0.914608, 0.462556
us_000496150,0.914608, 0.462763
us_000518277,0.914608, 0.464862
us_000419614,0.914608, 0.465187
us_000482218,0.914608, 0.465740
us_000536889,0.914608, 0.473533
us_000395991,0.914608, 0.473703
us_000505901,0.914608, 0.475049
us_000563439,0.914608, 0.475660
us_000492087,0.914608, 0.476565
us_000612372,0.914608, 0.478179
us_000485715,0.914608, 0.479406
us_000224039,0.914608, 0.479465
us_000599426,0.914608, 0.480248
us_000465071,0.914608, 0.481851
us_000608779,0.914608, 0.484892
us_000577837,0.914608, 0.484892
us_000583752,0.914608, 0.484892
us_000577836,0.914608, 0.484892
us_000577827,0.914608, 0.484892
us_000573896,0.914608, 0.484892
us_000477227,0.914608, 0.485319
