Product ID : 2121 JPs covered : 145 : White Collar Crime, 
OID,Confidence at Map Node,Error at Map Node
us_000560823,0.950767, 0.000000
us_000529210,0.950767, 0.000000
us_000477163,0.950767, 0.000000
pr_001963212,0.950767, 0.000000
pr_000912362,0.950767, 0.000000
pr_000984359,0.950767, 0.000002
us_000458884,0.950767, 0.000002
us_000474518,0.950767, 0.000002
us_000464526,0.950767, 0.000002
us_000482024,0.950767, 0.000002
us_000469640,0.950767, 0.000002
us_000465132,0.950767, 0.000002
us_000471211,0.950767, 0.000002
us_000462923,0.950767, 0.000002
us_000460066,0.950767, 0.000002
us_000469645,0.950767, 0.000002
us_000599338,0.950767, 0.000002
us_000472760,0.950767, 0.000002
us_000461284,0.950767, 0.000002
us_000460445,0.950767, 0.000002
us_000469678,0.950767, 0.000002
us_000469975,0.950767, 0.000002
us_000462026,0.950767, 0.000002
us_000468082,0.950767, 0.000002
us_000200482,0.950767, 0.000002
us_000472939,0.950767, 0.000002
us_000461891,0.950767, 0.000002
us_000467623,0.950767, 0.000002
us_000470669,0.950767, 0.000002
us_000461956,0.950767, 0.000002
pr_000400772,0.950767, 0.000004
us_000604430,0.950767, 0.000005
us_000578749,0.950767, 0.000005
us_000577654,0.950767, 0.000005
us_000609829,0.950767, 0.000005
us_000554329,0.950767, 0.000005
us_000470787,0.950767, 0.000005
us_000594932,0.950767, 0.000005
pr_001688668,0.950767, 0.000006
pr_000924795,0.950767, 0.000009
us_000583382,0.950767, 0.000029
us_000583403,0.950767, 0.000029
us_000595651,0.950767, 0.000029
us_000595646,0.950767, 0.000029
us_000584188,0.950767, 0.000029
us_000514773,0.950767, 0.000040
us_000538725,0.950767, 0.000046
us_000603496,0.950767, 0.000047
pr_001983421,0.950767, 0.000073
us_000470876,0.950767, 0.000073
us_000478710,0.950767, 0.000118
us_000594073,0.950767, 0.000118
us_000594072,0.950767, 0.000118
pr_001118441,0.950767, 0.000134
pr_000650156,0.950767, 0.000194
pr_001013624,0.950767, 0.000249
pr_000596353,0.950767, 0.000249
pr_000869511,0.950767, 0.000261
pr_000581826,0.950767, 0.000290
pr_000889739,0.950767, 0.000350
pr_000180807,0.950767, 0.000408
pr_000708609,0.950767, 0.000459
pr_001389842,0.950767, 0.000490
pr_000581236,0.950767, 0.000523
pr_000832611,0.950767, 0.000567
pr_000756342,0.950767, 0.000568
pr_000827524,0.950767, 0.000646
pr_000815662,0.950767, 0.000648
pr_000343464,0.950767, 0.000802
pr_000339123,0.950767, 0.000802
pr_000900360,0.950767, 0.000802
pr_000224878,0.950767, 0.001013
pr_000750228,0.950767, 0.001077
pr_000167745,0.950767, 0.001132
pr_000332456,0.950767, 0.001286
pr_000892928,0.950767, 0.001292
pr_001004831,0.950767, 0.001315
pr_000658449,0.950767, 0.001354
pr_000870856,0.950767, 0.001426
pr_000897872,0.950767, 0.001548
pr_001664499,0.950767, 0.001591
pr_002078587,0.950767, 0.001686
pr_001880744,0.950767, 0.001820
pr_001680847,0.950767, 0.001876
pr_001991441,0.950767, 0.001902
pr_001664576,0.950767, 0.001956
pr_001667042,0.950767, 0.001972
pr_001682813,0.950767, 0.002016
pr_002123410,0.950767, 0.002079
pr_000851893,0.950767, 0.002163
pr_000949585,0.950767, 0.002579
pr_000335153,0.950767, 0.002682
pr_001722975,0.950767, 0.002810
pr_000192319,0.950767, 0.002876
us_000614728,0.950767, 0.003244
pr_000654386,0.950767, 0.003321
pr_001816830,0.950767, 0.003503
pr_000333705,0.950767, 0.003792
pr_001035788,0.950767, 0.003863
us_000474474,0.950767, 0.003867
pr_000632013,0.950767, 0.004195
pr_002152260,0.950767, 0.008548
pr_000496011,0.950767, 0.010768
us_000588440,0.950767, 0.010917
pr_000847590,0.950767, 0.016424
pr_000721314,0.950767, 0.023086
pr_002053015,0.950767, 0.037705
us_000558183,0.950767, 0.040103
pr_002156548,0.950767, 0.103778
pr_002169189,0.950767, 0.108495
pr_002038762,0.950767, 0.117012
pr_000935514,0.950767, 0.190130
us_000467399,0.950767, 0.226030
us_000499667,0.950767, 0.236564
us_000486825,0.950767, 0.241586
us_000502232,0.950767, 0.244822
us_000505135,0.950767, 0.245037
us_000503790,0.950767, 0.245909
us_000499340,0.950767, 0.266040
us_000504724,0.950767, 0.272141
us_000467086,0.950767, 0.277000
us_000490915,0.950767, 0.284353
us_000497112,0.950767, 0.290874
us_000474118,0.950767, 0.325428
us_000470509,0.950767, 0.330032
us_000468671,0.950767, 0.333417
us_000487912,0.950767, 0.637302
us_000504009,0.950767, 1.122958
us_000466154,0.950767, 1.233407
us_000468602,0.950767, 1.312072
us_000460720,0.081597, 0.000000
