Product ID : 2099 # of JPs covered : 1 : 363 : LoanDoc-UCC, 
OID,Confidence at Map Node,Error at Map Node
pr_000992583,0.643110, 0.000006
pr_001062915,0.643110, 0.000006
pr_000654439,0.643110, 0.000006
pr_000204501,0.643110, 0.000008
pr_001666683,0.643110, 0.000008
pr_000353389,0.643110, 0.000010
us_000525838,0.643110, 0.000014
pr_000922829,0.643110, 0.000026
us_000459957,0.643110, 0.000029
us_000466917,0.643110, 0.000045
pr_001396113,0.643110, 0.000045
pr_001863770,0.643110, 0.000057
us_000512623,0.643110, 0.000058
pr_000214617,0.643110, 0.000068
us_000571760,0.643110, 0.000084
pr_000651867,0.643110, 0.000085
us_000495743,0.643110, 0.000098
pr_000979242,0.643110, 0.000120
us_000519733,0.643110, 0.000151
pr_000654741,0.643110, 0.000189
us_000602929,0.643110, 0.000215
pr_001043964,0.643110, 0.000322
us_000559749,0.643110, 0.000334
pr_000856808,0.643110, 0.000401
pr_000877373,0.643110, 0.000481
pr_001804945,0.643110, 0.000518
pr_000641864,0.643110, 0.000551
us_000468733,0.643110, 0.000576
us_000510902,0.643110, 0.000592
pr_001659572,0.643110, 0.000615
us_000533975,0.643110, 0.000908
pr_000993660,0.643110, 0.001023
pr_001620362,0.643110, 0.001388
pr_000825523,0.643110, 0.001451
us_000499533,0.643110, 0.001574
pr_000697292,0.643110, 0.001640
us_000523410,0.643110, 0.012144
us_000500138,0.643110, 0.013754
us_000500462,0.643110, 0.014014
us_000467070,0.643110, 0.022070
us_000570107,0.643110, 0.025947
us_000551929,0.643110, 0.028690
us_000554681,0.643110, 0.039017
us_000502916,0.643110, 0.043698
us_000129357,0.643110, 0.047213
us_000028057,0.643110, 0.050054
us_000458632,0.643110, 0.061789
us_000435759,0.643110, 0.075212
us_000586742,0.643110, 0.306978
us_000430456,0.643110, 1.038287
pr_000416917,0.623590, 0.000000
pr_000021577,0.623590, 0.000000
pr_001399190,0.623590, 0.000000
us_000496920,0.623590, 0.000000
pr_000925767,0.623590, 0.000000
us_000519151,0.623590, 0.000000
us_000587231,0.623590, 0.000001
us_000539657,0.623590, 0.000001
us_000518123,0.623590, 0.000003
us_000533157,0.623590, 0.000003
us_000464976,0.623590, 0.000003
us_000463092,0.623590, 0.000003
us_000518750,0.623590, 0.000003
us_000523737,0.623590, 0.000003
us_000459542,0.623590, 0.000003
pr_000584329,0.623590, 0.000004
us_000474048,0.623590, 0.000029
us_000462019,0.623590, 0.000029
us_000471448,0.623590, 0.000029
us_000466386,0.623590, 0.000029
us_000541963,0.623590, 0.000029
us_000467681,0.623590, 0.000029
us_000458466,0.623590, 0.000029
us_000589005,0.623590, 0.000029
us_000467675,0.623590, 0.000029
us_000459232,0.623590, 0.000029
us_000474850,0.623590, 0.000029
us_000468411,0.623590, 0.000029
us_000474939,0.623590, 0.000029
us_000458465,0.623590, 0.000029
us_000467863,0.623590, 0.000029
us_000466508,0.623590, 0.000029
us_000466873,0.623590, 0.000029
us_000471024,0.623590, 0.000029
us_000469164,0.623590, 0.000029
us_000461596,0.623590, 0.000029
us_000466300,0.623590, 0.000029
us_000592397,0.623590, 0.000029
