OID,Sq Dist to BMU, BMU Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,
1033,0.00000000,(32|23),0.00000046,(33|23),0.00000446,(31|23),0.00001002,(32|24),0.00001664,(32|22),0.00034446,(31|22),0.00064628,(33|22),0.00382127,(31|24),0.00429206,(33|24),
1034,0.00000000,(19|10),0.00000448,(20|10),0.00000473,(19|11),0.00001657,(19|9),0.00012872,(18|10),0.00076655,(20|9),0.00306473,(18|9),0.00348711,(20|11),0.00901981,(18|11),
1035,0.00000029,(26|42),0.00001125,(25|42),0.00012272,(26|41),0.00140434,(27|42),0.01501377,(26|43),0.02305065,(27|41),0.09722679,(27|43),0.71490318,(25|41),0.81795120,(25|43),
1036,0.00000000,(3|41),0.00000108,(4|41),0.00000222,(3|40),0.00000440,(3|42),0.00002476,(2|41),0.00025587,(4|40),0.00050524,(2|40),0.00171004,(2|42),0.04039694,(4|42),
1037,0.00000023,(21|44),0.00013004,(22|44),0.00044214,(21|43),0.00054202,(22|43),0.00073775,(20|44),0.00288378,(21|45),0.04365980,(20|43),0.07726564,(20|45),0.16942358,(22|45),
1038,0.00000000,(26|5),0.00000716,(25|5),0.00001681,(27|5),0.00026849,(26|4),0.00028379,(26|6),0.00111577,(27|6),0.00141473,(27|4),0.01074639,(25|6),0.95380050,(25|4),
1039,0.00000000,(20|40),0.00000001,(20|41),0.00000010,(21|40),0.00000174,(19|40),0.00000252,(20|39),0.00003593,(21|41),0.00014486,(21|39),0.00079656,(19|39),0.02168158,(19|41),
104,0.00000000,(19|10),0.00000448,(20|10),0.00000473,(19|11),0.00001657,(19|9),0.00012872,(18|10),0.00076655,(20|9),0.00306473,(18|9),0.00348711,(20|11),0.00901981,(18|11),
1040,0.00000001,(41|46),0.00001241,(42|46),0.00001474,(40|46),0.00003289,(41|45),0.00012609,(41|47),0.00029443,(40|45),0.00162319,(40|47),0.00487382,(42|47),0.01348659,(42|45),
1041,0.00000000,(40|34),0.00000003,(41|34),0.00000004,(39|34),0.00000011,(40|33),0.00000013,(40|35),0.00001673,(41|33),0.00226447,(39|33),0.01831894,(41|35),0.69077444,(39|35),
1042,0.00000002,(12|0),0.00002965,(13|0),0.00007990,(12|49),0.00011955,(12|1),0.00080777,(11|1),0.00127154,(11|0),0.00152676,(13|1),0.00159865,(13|49),0.00451832,(11|49),
1043,0.00002148,(40|43),0.00062649,(41|43),0.01173074,(40|42),0.01850697,(39|43),0.02712714,(41|42),0.10423512,(40|44),0.12446305,(39|42),0.25913295,(41|44),0.45597172,(39|44),
1044,0.00000000,(26|31),0.00000392,(26|30),0.00000401,(27|31),0.00005762,(26|32),0.00021972,(25|31),0.00097679,(27|30),0.00346459,(25|32),0.00763442,(27|32),0.00985263,(25|30),
1045,0.00000000,(32|23),0.00000046,(33|23),0.00000446,(31|23),0.00001002,(32|24),0.00001664,(32|22),0.00034446,(31|22),0.00064628,(33|22),0.00382127,(31|24),0.00429206,(33|24),
1046,0.00138974,(16|12),0.10465255,(15|12),0.17612229,(16|13),0.24696620,(17|12),0.40652153,(16|11),0.42841536,(15|13),0.58889967,(15|11),0.78084165,(17|13),0.96301299,(17|11),
1047,0.00006686,(25|3),0.00028123,(26|3),0.00545630,(25|4),0.00698126,(25|2),0.03259588,(26|2),0.04072092,(24|3),0.12599057,(24|4),0.59411424,(24|2),0.68723089,(26|4),
1048,0.00000000,(28|39),0.00000344,(28|38),0.00000816,(29|39),0.00001954,(27|39),0.00005370,(28|40),0.00103823,(29|38),0.00545133,(27|38),0.00844446,(27|40),0.04633069,(29|40),
1049,0.02190090,(30|4),0.05318125,(30|3),0.08865751,(31|4),0.12083420,(29|4),0.29286608,(30|5),0.37260732,(29|3),0.38588125,(29|5),0.71803606,(31|3),0.71878213,(31|5),
105,0.00000000,(26|5),0.00000716,(25|5),0.00001681,(27|5),0.00026849,(26|4),0.00028379,(26|6),0.00111577,(27|6),0.00141473,(27|4),0.01074639,(25|6),0.95380050,(25|4),
1050,0.00000000,(10|8),0.00000057,(10|7),0.00000306,(11|8),0.00000716,(10|9),0.00001557,(9|8),0.00012955,(9|7),0.00226748,(9|9),0.00972173,(11|7),0.01876474,(11|9),
1051,0.00000000,(48|42),0.00000773,(48|43),0.00002157,(47|42),0.00004238,(48|41),0.00018569,(49|42),0.00029509,(47|43),0.00354519,(47|41),0.00600985,(49|41),0.00845820,(49|43),
1052,0.00000000,(15|46),0.00000245,(15|47),0.00000326,(16|46),0.00000847,(14|46),0.00000868,(15|45),0.00107559,(14|45),0.00233184,(14|47),0.00284318,(16|47),0.03651397,(16|45),
1053,0.00000023,(21|44),0.00013004,(22|44),0.00044214,(21|43),0.00054202,(22|43),0.00073775,(20|44),0.00288378,(21|45),0.04365980,(20|43),0.07726564,(20|45),0.16942358,(22|45),
1054,0.00001156,(30|1),0.00006151,(29|1),0.00177951,(30|2),0.00527025,(31|1),0.00770860,(31|2),0.03353687,(30|0),0.07222667,(31|0),0.52703714,(29|2),0.60238755,(29|0),
1055,0.00000003,(0|6),0.00000335,(0|7),0.00002093,(49|6),0.00002932,(0|5),0.00009509,(1|6),0.00075426,(1|7),0.00568270,(49|5),0.01147958,(1|5),0.36823601,(49|7),
1056,0.00000000,(3|41),0.00000108,(4|41),0.00000222,(3|40),0.00000440,(3|42),0.00002476,(2|41),0.00025587,(4|40),0.00050524,(2|40),0.00171004,(2|42),0.04039694,(4|42),
1057,0.00000000,(8|12),0.00000018,(8|13),0.00000023,(9|12),0.00000101,(7|12),0.00001491,(8|11),0.00015358,(7|13),0.00054125,(9|13),0.00134882,(9|11),0.00311940,(7|11),
1058,0.00000000,(20|34),0.00000002,(19|34),0.00000952,(21|34),0.00001580,(20|35),0.00002288,(20|33),0.00022025,(19|33),0.00130750,(19|35),0.00200504,(21|35),0.00252917,(21|33),
1059,0.00000000,(19|10),0.00000448,(20|10),0.00000473,(19|11),0.00001657,(19|9),0.00012872,(18|10),0.00076655,(20|9),0.00306473,(18|9),0.00348711,(20|11),0.00901981,(18|11),
106,0.00000459,(28|2),0.00082945,(27|2),0.00090743,(28|3),0.00282436,(29|2),0.02086083,(28|1),0.07044478,(27|3),0.09872856,(29|3),0.22708489,(27|1),0.86957836,(29|1),
1060,0.00000001,(37|0),0.00001580,(37|1),0.00007289,(38|0),0.00007428,(37|49),0.00013491,(36|0),0.00160818,(38|1),0.00684134,(36|1),0.00922658,(38|49),0.02915551,(36|49),
1061,0.00000000,(29|35),0.00000030,(30|35),0.00000104,(28|35),0.00000249,(29|36),0.00000456,(29|34),0.00126820,(28|36),0.00167897,(28|34),0.00214013,(30|34),0.02115971,(30|36),
1062,0.60042691,(28|45),0.72382796,(29|45),0.74236995,(28|44),0.93576950,(28|46),0.95975775,(27|45),0.96182257,(27|44),0.99722004,(27|46),1.00000000,(29|44),1.00000000,(29|46),
1063,0.00000190,(32|36),0.00006986,(31|36),0.00152774,(31|35),0.00159258,(31|37),0.00189162,(33|36),0.00504836,(32|37),0.04557579,(32|35),0.05888364,(33|37),0.20088099,(33|35),
1064,0.00000023,(21|44),0.00013004,(22|44),0.00044214,(21|43),0.00054202,(22|43),0.00073775,(20|44),0.00288378,(21|45),0.04365980,(20|43),0.07726564,(20|45),0.16942358,(22|45),
1065,0.00000006,(23|27),0.00001243,(22|27),0.00002030,(23|26),0.00005355,(23|28),0.00009763,(24|27),0.00019933,(24|28),0.00126819,(24|26),0.00141892,(22|28),0.00225320,(22|26),
1066,0.00000000,(40|34),0.00000003,(41|34),0.00000004,(39|34),0.00000011,(40|33),0.00000013,(40|35),0.00001673,(41|33),0.00226447,(39|33),0.01831894,(41|35),0.69077444,(39|35),
1067,0.00000000,(20|40),0.00000001,(20|41),0.00000010,(21|40),0.00000174,(19|40),0.00000252,(20|39),0.00003593,(21|41),0.00014486,(21|39),0.00079656,(19|39),0.02168158,(19|41),
1068,0.00000000,(48|42),0.00000773,(48|43),0.00002157,(47|42),0.00004238,(48|41),0.00018569,(49|42),0.00029509,(47|43),0.00354519,(47|41),0.00600985,(49|41),0.00845820,(49|43),
1069,0.00000000,(40|37),0.00000515,(40|36),0.00001478,(40|38),0.00002006,(41|37),0.00016586,(39|37),0.00089347,(39|38),0.00121088,(41|36),0.00805774,(39|36),0.04540359,(41|38),
107,0.00000000,(45|3),0.00000454,(45|2),0.00001880,(45|4),0.00002195,(44|3),0.00003399,(46|3),0.00017565,(44|2),0.00383273,(46|2),0.01001885,(46|4),0.02406104,(44|4),
1070,0.00000002,(12|0),0.00002965,(13|0),0.00007990,(12|49),0.00011955,(12|1),0.00080777,(11|1),0.00127154,(11|0),0.00152676,(13|1),0.00159865,(13|49),0.00451832,(11|49),
1071,0.00000000,(24|9),0.00000467,(24|8),0.00001545,(23|9),0.00002001,(25|9),0.00009049,(24|10),0.00082514,(23|8),0.00423318,(25|8),0.00427531,(25|10),0.03896698,(23|10),
