Product ID : 2103 # of JPs covered : 1 : 279 : Professional Liability, 
OID,Confidence at Map Node,Error at Map Node
pr_001655043,0.248589, 0.044098
pr_000943571,0.248589, 0.044098
pr_000913312,0.248589, 0.044098
pr_000999120,0.248589, 0.044098
pr_000979999,0.248589, 0.044098
pr_000173343,0.248589, 0.044098
pr_000707253,0.248589, 0.044098
pr_000888002,0.248589, 0.044098
pr_000915534,0.248589, 0.044098
pr_001828241,0.248589, 0.044098
pr_000174499,0.248589, 0.044098
pr_000596893,0.248589, 0.044098
pr_001696267,0.248589, 0.044098
pr_000644026,0.248589, 0.044098
pr_001081003,0.248589, 0.044098
pr_001874420,0.248589, 0.044098
pr_000733251,0.248589, 0.044098
pr_000707364,0.248589, 0.044098
pr_000941912,0.248589, 0.044098
pr_001007450,0.248589, 0.044144
pr_000644687,0.248589, 0.044230
pr_000727239,0.248589, 0.045809
pr_001008001,0.248589, 0.045985
pr_001944632,0.248589, 0.049148
us_000479899,0.248589, 0.051584
pr_001944035,0.248589, 0.053056
pr_001068815,0.248589, 0.056936
pr_001077746,0.248589, 0.059464
pr_000994718,0.248589, 0.076029
pr_000905054,0.248589, 0.077663
pr_001717177,0.248589, 0.087952
us_000568338,0.181646, 0.017494
us_000583356,0.181646, 0.023070
us_000487229,0.181646, 0.032084
us_000540457,0.181646, 0.047203
us_000567804,0.110012, 0.008988
us_000533053,0.110012, 0.017233
pr_000271476,0.110012, 0.021620
pr_001915800,0.110012, 0.041453
pr_001819340,0.110012, 0.087396
pr_001826963,0.110012, 0.087396
us_000575115,0.086346, 0.000000
us_000615427,0.086346, 0.000000
us_000488594,0.086346, 0.000000
us_000615401,0.086346, 0.000000
us_000490350,0.086346, 0.000000
us_000613640,0.086346, 0.000000
us_000493706,0.086346, 0.000000
us_000493683,0.086346, 0.000000
us_000616577,0.086346, 0.000000
us_000616553,0.086346, 0.000000
us_000610625,0.086346, 0.000000
pr_000382465,0.086346, 0.000000
pr_000106628,0.086346, 0.000000
pr_000604278,0.086346, 0.000839
pr_000429141,0.086346, 0.001014
pr_000427071,0.086346, 0.001047
pr_000896225,0.086346, 0.001377
pr_000604197,0.086346, 0.001377
pr_000442349,0.086346, 0.001377
pr_001821159,0.086346, 0.001500
us_000570518,0.086346, 0.005111
us_000519284,0.086346, 0.005630
us_000586199,0.086346, 0.006530
us_000583261,0.086346, 0.007120
us_000573588,0.086346, 0.007687
us_000583159,0.086346, 0.010060
us_000598791,0.086346, 0.014847
pr_001615611,0.086346, 0.023040
us_000574429,0.086346, 0.026285
us_000578708,0.086346, 0.032589
us_000578246,0.086346, 0.045988
us_000578829,0.086346, 0.048449
pr_001074369,0.086346, 0.051233
pr_001730768,0.086346, 0.051627
pr_000853802,0.086346, 0.051627
pr_001115232,0.086346, 0.051627
pr_001024311,0.086346, 0.060356
pr_000854879,0.086346, 0.068390
us_000561910,0.085549, 0.000000
us_000114711,0.085549, 0.000000
us_000540936,0.085549, 0.000000
us_000578336,0.085549, 0.010681
us_000559750,0.085549, 0.027032
us_000574805,0.085549, 0.035771
pr_001637873,0.017372, 0.000000
pr_001856557,0.017372, 0.000000
pr_001834760,0.017372, 0.000000
pr_001389488,0.017372, 0.000000
pr_001056395,0.017372, 0.000000
pr_002081624,0.017372, 0.000000
pr_000852862,0.017372, 0.000000
pr_000386626,0.017372, 0.000000
pr_001034759,0.017372, 0.000000
pr_001035318,0.017372, 0.000000
pr_000508093,0.017372, 0.000000
pr_000374821,0.017372, 0.000000
us_000485407,0.017372, 0.000000
us_000368073,0.017372, 0.000000
us_000595328,0.017372, 0.000000
us_000600708,0.017372, 0.000000
us_000545215,0.017372, 0.000000
