Product ID : 2067 # of JPs covered : 1 : 143 : Trademarks, 
OID,Confidence at Map Node,Error at Map Node
pr_001112966,0.638682, 0.000014
pr_002068584,0.638682, 0.000014
pr_000940759,0.638682, 0.000014
pr_002099916,0.638682, 0.000014
pr_001928306,0.638682, 0.000014
pr_000710674,0.638682, 0.000014
pr_000299317,0.638682, 0.000014
pr_001818464,0.638682, 0.000014
pr_001633628,0.638682, 0.000014
pr_001674353,0.638682, 0.000014
pr_000190190,0.638682, 0.000014
pr_000740940,0.638682, 0.000014
pr_000986122,0.638682, 0.000014
pr_000595764,0.638682, 0.000014
pr_002186959,0.638682, 0.000014
pr_000628975,0.638682, 0.000014
pr_000024716,0.638682, 0.000014
pr_001864447,0.638682, 0.000014
pr_000324411,0.638682, 0.000014
pr_000755485,0.638682, 0.000014
pr_001722111,0.638682, 0.000014
pr_000738146,0.638682, 0.000014
pr_000220750,0.638682, 0.000014
pr_000026382,0.638682, 0.000014
pr_001619764,0.638682, 0.000014
pr_001131992,0.638682, 0.000014
pr_001082003,0.638682, 0.000014
pr_001038146,0.638682, 0.000014
pr_000695275,0.638682, 0.000014
pr_000738204,0.638682, 0.000014
pr_000165481,0.638682, 0.000014
pr_000663806,0.638682, 0.000014
pr_000909782,0.638682, 0.000014
pr_001143021,0.638682, 0.000014
pr_000945616,0.638682, 0.000014
pr_000917054,0.638682, 0.000014
pr_000996580,0.638682, 0.000014
pr_001118469,0.638682, 0.000014
pr_001979180,0.638682, 0.000014
pr_000751277,0.638682, 0.000014
pr_000567568,0.638682, 0.000014
pr_001094855,0.638682, 0.000014
pr_000916236,0.638682, 0.000014
pr_001932265,0.638682, 0.000014
pr_000736424,0.638682, 0.000014
pr_001074906,0.638682, 0.000014
pr_001602850,0.638682, 0.000014
pr_000836666,0.638682, 0.000014
pr_000707390,0.638682, 0.000014
pr_001619740,0.638682, 0.000014
pr_000746701,0.638682, 0.000014
pr_000907778,0.638682, 0.000014
pr_001718290,0.638682, 0.000014
pr_001090477,0.638682, 0.000014
pr_000938499,0.638682, 0.000014
pr_002059017,0.638682, 0.000014
pr_001988028,0.638682, 0.000014
pr_001813490,0.638682, 0.000014
pr_000629902,0.638682, 0.000014
pr_000637886,0.638682, 0.000014
pr_001401840,0.638682, 0.000014
pr_002185649,0.638682, 0.000014
pr_000934907,0.638682, 0.000014
pr_000021653,0.638682, 0.000014
pr_000949833,0.638682, 0.000014
pr_000998870,0.638682, 0.000014
pr_001760372,0.638682, 0.000014
pr_000560906,0.638682, 0.000014
pr_001156186,0.638682, 0.000014
pr_001622667,0.638682, 0.000014
pr_001709723,0.638682, 0.000014
pr_000699926,0.638682, 0.000014
pr_000012495,0.638682, 0.000014
pr_001982781,0.638682, 0.000014
pr_001637293,0.638682, 0.000014
pr_000233609,0.638682, 0.000014
pr_001815964,0.638682, 0.000014
pr_001039062,0.638682, 0.000014
pr_001598530,0.638682, 0.000014
pr_001719992,0.638682, 0.000014
pr_001960013,0.638682, 0.000014
pr_000562870,0.638682, 0.000014
pr_000708192,0.638682, 0.000014
pr_001821554,0.638682, 0.000014
pr_000218752,0.638682, 0.000014
pr_001970937,0.638682, 0.000014
pr_000964162,0.638682, 0.000014
pr_000541549,0.638682, 0.000014
pr_000583352,0.638682, 0.000014
pr_000329003,0.638682, 0.000014
pr_001827000,0.638682, 0.000014
pr_001614971,0.638682, 0.000014
pr_001945211,0.638682, 0.000014
pr_002069846,0.638682, 0.000014
pr_002228114,0.638682, 0.000014
pr_000168575,0.638682, 0.000014
pr_000770956,0.638682, 0.000014
pr_000712252,0.638682, 0.000014
pr_000694646,0.638682, 0.000014
pr_001814219,0.638682, 0.000014
pr_001017945,0.638682, 0.000014
pr_001827713,0.638682, 0.000014
pr_000984426,0.638682, 0.000014
pr_000289233,0.638682, 0.000014
pr_000701193,0.638682, 0.000014
pr_000906089,0.638682, 0.000014
pr_000758944,0.638682, 0.000014
pr_000592324,0.638682, 0.000015
pr_000738982,0.638682, 0.000015
pr_000563992,0.638682, 0.000015
pr_001132276,0.638682, 0.000015
pr_001408392,0.638682, 0.000015
pr_000835022,0.638682, 0.000020
pr_000587022,0.638682, 0.000023
pr_001107461,0.638682, 0.000023
pr_000178029,0.638682, 0.000025
pr_001614098,0.638682, 0.000025
pr_000699906,0.638682, 0.000025
pr_001701944,0.638682, 0.000027
pr_001694084,0.638682, 0.000030
pr_000698256,0.638682, 0.000030
pr_000020953,0.638682, 0.000034
pr_000298880,0.638682, 0.000035
pr_000326732,0.638682, 0.000043
pr_001640196,0.638682, 0.000044
pr_000595760,0.638682, 0.000052
pr_000014135,0.638682, 0.000053
pr_000752991,0.638682, 0.000058
pr_000950097,0.638682, 0.000065
pr_001004464,0.638682, 0.000070
pr_000013488,0.638682, 0.000091
pr_000595485,0.638682, 0.000095
pr_000180050,0.638682, 0.000095
pr_000330091,0.638682, 0.000095
us_000525334,0.638682, 0.000127
pr_000918001,0.638682, 0.000149
pr_000019568,0.638682, 0.000258
pr_000486897,0.638682, 0.000289
