Product ID : 2071 # of JPs covered : 1 : 403 : Tax Law-Foreign, 
OID,Confidence at Map Node,Error at Map Node
pr_001281061,0.271411, 0.000510
pr_001345015,0.271411, 0.000511
pr_001267196,0.271411, 0.000511
pr_001332365,0.271411, 0.000517
pr_000852100,0.271411, 0.000540
pr_001203550,0.271411, 0.000560
pr_001351754,0.271411, 0.000560
pr_000650120,0.271411, 0.000569
pr_001341545,0.271411, 0.000579
pr_002153291,0.271411, 0.000583
pr_000658658,0.271411, 0.000583
pr_001318974,0.271411, 0.000589
pr_001358077,0.271411, 0.000597
pr_001533740,0.271411, 0.000601
pr_001256351,0.271411, 0.000608
pr_001317309,0.271411, 0.000633
pr_001113942,0.271411, 0.000659
pr_000783898,0.271411, 0.000664
pr_001351205,0.271411, 0.000669
pr_000815213,0.271411, 0.000719
pr_001364295,0.271411, 0.000755
pr_001446815,0.271411, 0.000775
pr_001276429,0.271411, 0.000872
pr_001356716,0.271411, 0.000882
pr_001302797,0.271411, 0.000969
pr_000619519,0.271411, 0.001144
pr_001268580,0.271411, 0.001175
pr_001418567,0.271411, 0.001190
pr_001354669,0.271411, 0.001193
pr_000782123,0.271411, 0.001213
pr_001205911,0.271411, 0.001440
pr_001354490,0.271411, 0.001459
pr_001311564,0.271411, 0.001496
pr_001265480,0.271411, 0.001501
pr_001218631,0.271411, 0.001501
pr_001199426,0.271411, 0.001516
pr_001314801,0.271411, 0.001546
pr_001341671,0.271411, 0.001570
pr_001152752,0.271411, 0.001575
pr_001375502,0.271411, 0.001611
pr_001217798,0.271411, 0.001658
pr_001440015,0.271411, 0.001682
pr_001269520,0.271411, 0.001745
pr_001350041,0.271411, 0.001787
pr_001323306,0.271411, 0.001789
pr_001314365,0.271411, 0.001791
pr_001280913,0.271411, 0.001870
pr_001238726,0.271411, 0.002038
pr_001204820,0.271411, 0.002058
pr_001497664,0.271411, 0.002061
pr_001363994,0.271411, 0.002088
us_000613727,0.271411, 0.002166
pr_001110996,0.271411, 0.002181
pr_001336396,0.271411, 0.002223
pr_001297960,0.271411, 0.002243
pr_001250317,0.271411, 0.002270
pr_001424423,0.271411, 0.002631
pr_001540114,0.271411, 0.002647
us_000614229,0.271411, 0.002991
pr_001300778,0.271411, 0.003012
pr_001348258,0.271411, 0.003208
pr_001206916,0.271411, 0.003667
pr_001205669,0.271411, 0.004289
pr_001340912,0.271411, 0.004721
pr_001209928,0.271411, 0.004727
pr_001202323,0.271411, 0.007326
us_000524997,0.271411, 0.007452
us_000569920,0.271411, 0.007506
pr_001365586,0.271411, 0.013388
