Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 362 | LoanDoc-TermsTrends (jp:362,idx:127)
Class Probability,Ex Count at BMU,BMU Map Loc
0.003521127,1.0,(20|33)
0.003508772,1.0,(29|47)
0.003424658,1.0,(18|10)
0.003401360,1.0,(16|15)
0.003401360,1.0,(24|2)
0.003389830,1.0,(41|45)
0.003367003,1.0,(20|31)
0.003344482,1.0,(3|40)
0.003289474,3.0,(22|25)
0.003284072,2.0,(44|17)
0.003246753,1.0,(23|39)
0.003246753,1.0,(29|20)
0.003246753,2.0,(30|26)
0.003236246,1.0,(18|15)
0.003225806,1.0,(25|48)
0.003208556,3.0,(25|14)
0.003115265,1.0,(12|6)
0.003067485,1.0,(26|31)
0.003067485,1.0,(45|12)
0.002994012,1.0,(6|12)
0.002941177,1.0,(19|34)
0.002873563,1.0,(32|3)
0.002865330,1.0,(0|38)
0.002816901,1.0,(35|26)
0.002785515,1.0,(5|12)
0.002785515,1.0,(6|13)
0.002717391,1.0,(21|0)
0.002717391,2.0,(25|15)
0.002586207,3.0,(21|20)
0.002531646,1.0,(31|44)
0.002493766,1.0,(3|42)
0.002457002,1.0,(27|46)
0.002247191,1.0,(49|33)
0.002207506,1.0,(26|33)
0.002183406,1.0,(23|31)
0.002028398,1.0,(22|18)
0.002028398,1.0,(42|27)
0.002000000,1.0,(13|10)
0.002000000,1.0,(16|16)
0.001876173,1.0,(10|6)
0.001848429,1.0,(16|20)
0.001834862,1.0,(25|27)
0.001821494,1.0,(30|5)
0.001773050,1.0,(34|6)
0.001748252,1.0,(32|8)
0.001745201,1.0,(30|14)
0.001721170,1.0,(1|31)
0.001700680,2.0,(21|21)
0.001623377,2.0,(28|30)
0.001562500,1.0,(27|32)
0.001545595,1.0,(17|21)
0.001529052,1.0,(31|21)
0.001512859,1.0,(45|13)
0.001510574,1.0,(27|13)
0.001477105,1.0,(41|29)
0.001476015,2.0,(39|20)
0.001443001,1.0,(29|22)
0.001226994,1.0,(26|29)
0.001041667,1.0,(18|33)
0.0009560229,1.0,(40|25)
0.0009442871,1.0,(46|20)
0.0009425071,1.0,(25|12)
0.0008417508,1.0,(29|24)
0.0007727975,1.0,(32|23)
