Product ID : 2090 # of JPs covered : 1 : 380 : M&A-Structuring Deals, 
OID,Confidence at Map Node,Error at Map Node
us_000578235,0.051035, 0.201761
us_000560323,0.051035, 0.202275
us_000498200,0.051035, 0.202313
us_000522133,0.051035, 0.202493
us_000548536,0.051035, 0.202679
us_000607236,0.051035, 0.203273
us_000607363,0.051035, 0.203273
us_000599931,0.051035, 0.203273
us_000572000,0.051035, 0.203273
us_000611477,0.051035, 0.203273
us_000596163,0.051035, 0.203609
us_000614696,0.051035, 0.203609
us_000576123,0.051035, 0.203609
us_000564110,0.051035, 0.203609
us_000549488,0.051035, 0.204436
us_000493517,0.051035, 0.205491
us_000532072,0.051035, 0.206318
us_000483666,0.051035, 0.206611
us_000506054,0.051035, 0.206665
us_000506803,0.051035, 0.208074
us_000597595,0.051035, 0.208235
us_000597594,0.051035, 0.208235
us_000597597,0.051035, 0.208235
us_000597596,0.051035, 0.208235
us_000593758,0.051035, 0.208520
us_000597494,0.051035, 0.208801
us_000592895,0.051035, 0.209070
us_000466444,0.051035, 0.209748
us_000550007,0.051035, 0.209758
us_000560296,0.051035, 0.210241
us_000590871,0.051035, 0.211744
us_000597819,0.051035, 0.211956
us_000597356,0.051035, 0.211956
us_000597790,0.051035, 0.211956
us_000487199,0.051035, 0.212293
us_000569598,0.051035, 0.213443
us_000597013,0.051035, 0.213715
us_000590987,0.051035, 0.214045
us_000594304,0.051035, 0.214520
us_000594302,0.051035, 0.214520
us_000594308,0.051035, 0.214520
us_000594306,0.051035, 0.214520
us_000594305,0.051035, 0.214520
us_000571975,0.051035, 0.214850
us_000578234,0.051035, 0.214850
us_000597996,0.051035, 0.215013
us_000597997,0.051035, 0.215182
us_000597980,0.051035, 0.215182
us_000597995,0.051035, 0.215182
us_000597979,0.051035, 0.215182
us_000578102,0.051035, 0.215182
us_000578275,0.051035, 0.215182
us_000597998,0.051035, 0.215182
us_000578238,0.051035, 0.215518
us_000571978,0.051035, 0.215518
us_000578242,0.051035, 0.215518
us_000545087,0.051035, 0.215762
us_000204443,0.051035, 0.216603
us_000511618,0.051035, 0.218853
us_000536849,0.051035, 0.219015
us_000596820,0.051035, 0.219102
us_000533903,0.051035, 0.219384
us_000614492,0.051035, 0.222352
us_000535569,0.051035, 0.236075
us_000543392,0.051035, 0.243006
us_000597838,0.051035, 0.248232
us_000551760,0.051035, 0.257223
us_000501508,0.051035, 0.265520
us_000547001,0.051035, 0.268299
us_000560932,0.051035, 0.275472
us_000513744,0.051035, 0.283895
us_000498776,0.051035, 0.322762
us_000539287,0.051035, 0.513657
pr_000416917,0.047670, 0.000000
pr_000021577,0.047670, 0.000000
pr_001399190,0.047670, 0.000000
us_000496920,0.047670, 0.000000
pr_000925767,0.047670, 0.000000
us_000519151,0.047670, 0.000000
us_000587231,0.047670, 0.000001
us_000539657,0.047670, 0.000001
us_000518123,0.047670, 0.000003
us_000518750,0.047670, 0.000003
us_000533157,0.047670, 0.000003
us_000523737,0.047670, 0.000003
us_000464976,0.047670, 0.000003
us_000463092,0.047670, 0.000003
us_000459542,0.047670, 0.000003
pr_000584329,0.047670, 0.000004
us_000461596,0.047670, 0.000029
us_000474939,0.047670, 0.000029
us_000541963,0.047670, 0.000029
us_000589005,0.047670, 0.000029
us_000462019,0.047670, 0.000029
us_000458465,0.047670, 0.000029
us_000474850,0.047670, 0.000029
us_000466873,0.047670, 0.000029
us_000459232,0.047670, 0.000029
us_000474048,0.047670, 0.000029
us_000458466,0.047670, 0.000029
us_000468411,0.047670, 0.000029
us_000466300,0.047670, 0.000029
us_000471024,0.047670, 0.000029
us_000467863,0.047670, 0.000029
us_000466508,0.047670, 0.000029
us_000471448,0.047670, 0.000029
us_000467675,0.047670, 0.000029
us_000466386,0.047670, 0.000029
us_000469164,0.047670, 0.000029
us_000467681,0.047670, 0.000029
us_000584604,0.047670, 0.000029
us_000592544,0.047670, 0.000029
us_000592397,0.047670, 0.000029
us_000616636,0.047670, 0.000029
us_000592257,0.047670, 0.000029
pr_001138256,0.047670, 0.000031
pr_001777089,0.047670, 0.000047
pr_001802922,0.047670, 0.000047
