Product ID : 912 JPs covered : 91 : ERISA, 
OID,Confidence at Map Node,Error at Map Node
us_000598942,0.591584, 0.736297
us_000571574,0.591584, 0.736297
us_000594085,0.591584, 0.736297
us_000594084,0.591584, 0.736297
us_000594090,0.591584, 0.736297
us_000594086,0.591584, 0.736805
us_000612989,0.591584, 0.737410
us_000552149,0.591584, 0.737668
us_000467174,0.591584, 0.738197
us_000600125,0.591584, 0.738512
us_000605244,0.591584, 0.738512
us_000514375,0.591584, 0.738896
us_000608668,0.591584, 0.740727
us_000421245,0.591584, 0.741338
us_000550296,0.591584, 0.742664
us_000616758,0.591584, 0.743246
us_000571955,0.591584, 0.743246
us_000579691,0.591584, 0.743305
us_000577543,0.591584, 0.745398
us_000577512,0.591584, 0.745398
us_000552369,0.591584, 0.746071
us_000498622,0.591584, 0.746504
us_000506772,0.591584, 0.747576
us_000600124,0.591584, 0.747907
us_000578797,0.591584, 0.747907
us_000514040,0.591584, 0.748654
us_000507337,0.591584, 0.750402
us_000594122,0.591584, 0.750426
us_000577077,0.591584, 0.750426
us_000593580,0.591584, 0.750426
us_000594094,0.591584, 0.750426
us_000599767,0.591584, 0.750426
us_000594092,0.591584, 0.750426
us_000594273,0.591584, 0.750426
us_000594281,0.591584, 0.750426
us_000603529,0.591584, 0.750426
us_000594093,0.591584, 0.750426
us_000600262,0.591584, 0.750426
us_000594091,0.591584, 0.750426
us_000594175,0.591584, 0.750426
us_000616697,0.591584, 0.752393
us_000599872,0.591584, 0.753903
us_000577223,0.591584, 0.754409
us_000614237,0.591584, 0.754724
us_000546701,0.591584, 0.755645
us_000607205,0.591584, 0.756124
us_000546684,0.591584, 0.756235
us_000507210,0.591584, 0.757245
us_000527924,0.591584, 0.759839
us_000513566,0.591584, 0.760603
us_000518700,0.591584, 0.763696
us_000106303,0.591584, 0.763765
us_000528040,0.591584, 0.764138
us_000531373,0.591584, 0.766885
us_000537887,0.591584, 0.766885
us_000499720,0.591584, 0.766885
us_000536193,0.591584, 0.766885
us_000537889,0.591584, 0.766885
us_000507689,0.591584, 0.766966
us_000527087,0.591584, 0.770840
us_000520423,0.591584, 0.771753
us_000615250,0.591584, 0.771753
us_000503399,0.591584, 0.771753
us_000536405,0.591584, 0.771753
us_000536451,0.591584, 0.771753
us_000520372,0.591584, 0.771753
us_000530752,0.591584, 0.771753
us_000530805,0.591584, 0.771753
us_000537896,0.591584, 0.771753
us_000531367,0.591584, 0.771753
us_000530455,0.591584, 0.771753
us_000531302,0.591584, 0.771753
us_000498624,0.591584, 0.771753
us_000513568,0.591584, 0.771753
us_000535304,0.591584, 0.772838
us_000471789,0.591584, 0.772872
us_000575895,0.591584, 0.773239
us_000520803,0.591584, 0.773876
us_000537894,0.591584, 0.775762
us_000537891,0.591584, 0.775762
