Product ID : 2114 # of JPs covered : 1 : 377 : Energy-Renewable-Contracts, 
OID,Confidence at Map Node,Error at Map Node
us_000491311,0.485596, 0.193968
us_000251994,0.485596, 0.250694
us_000464790,0.485596, 0.518994
us_000467107,0.485596, 0.618944
us_000475466,0.485596, 0.642354
us_000482720,0.485596, 0.651419
us_000482883,0.485596, 0.716848
us_000482875,0.485596, 0.716848
us_000481879,0.485596, 0.724560
us_000483604,0.485596, 0.735158
us_000483616,0.485596, 0.759085
pr_000668307,0.426435, 0.000000
pr_001049573,0.426435, 0.000000
pr_000462146,0.426435, 0.000000
pr_000937068,0.426435, 0.000000
pr_000287027,0.426435, 0.000000
pr_000770734,0.426435, 0.000000
pr_001026809,0.426435, 0.000000
pr_000941628,0.426435, 0.000000
pr_001039889,0.426435, 0.000000
pr_001063501,0.426435, 0.000000
us_000589425,0.426435, 0.000001
us_000589410,0.426435, 0.000001
us_000577590,0.426435, 0.000001
us_000572250,0.426435, 0.000001
us_000617184,0.426435, 0.000001
us_000580642,0.426435, 0.000001
us_000600893,0.426435, 0.000001
us_000612154,0.426435, 0.000001
us_000600836,0.426435, 0.000001
us_000613087,0.426435, 0.000001
us_000524217,0.426435, 0.000001
us_000609175,0.426435, 0.000001
us_000617010,0.426435, 0.000001
us_000611911,0.426435, 0.000001
us_000596082,0.426435, 0.000001
us_000516757,0.426435, 0.000003
us_000029141,0.426435, 0.000003
us_000570098,0.426435, 0.000003
us_000480801,0.426435, 0.000003
us_000551687,0.426435, 0.000003
us_000554877,0.426435, 0.000003
us_000495761,0.426435, 0.000003
us_000596769,0.426435, 0.000004
us_000524882,0.426435, 0.000004
us_000569185,0.426435, 0.000004
us_000561320,0.426435, 0.000004
us_000613156,0.426435, 0.000004
us_000596079,0.426435, 0.000007
us_000466640,0.426435, 0.000008
us_000488176,0.426435, 0.000008
us_000570818,0.426435, 0.000012
pr_001052182,0.426435, 0.000014
us_000581630,0.426435, 0.000064
us_000548040,0.426435, 0.000071
pr_000763013,0.426435, 0.000111
us_000550490,0.426435, 0.000189
pr_001135802,0.426435, 0.000493
us_000548477,0.426435, 0.000530
us_000603958,0.426435, 0.000668
us_000485244,0.426435, 0.000676
pr_000982386,0.426435, 0.000797
pr_001198500,0.426435, 0.001713
us_000562304,0.426435, 0.002214
us_000471310,0.426435, 0.004644
us_000558767,0.426435, 0.009299
us_000478428,0.426435, 0.009365
us_000476034,0.426435, 0.038673
us_000478723,0.426435, 0.769134
us_000271859,0.426435, 1.383832
pr_000183200,0.365092, 0.000000
us_000534935,0.365092, 0.000001
pr_000869542,0.365092, 0.000006
us_000538794,0.365092, 0.000007
us_000539730,0.365092, 0.000007
us_000467317,0.365092, 0.000007
pr_000974992,0.365092, 0.000018
us_000598937,0.365092, 0.000018
us_000574328,0.365092, 0.000041
us_000473937,0.365092, 0.000046
us_000461294,0.365092, 0.000046
us_000459887,0.365092, 0.000046
us_000463978,0.365092, 0.000046
us_000465630,0.365092, 0.000046
us_000465085,0.365092, 0.000046
us_000466418,0.365092, 0.000046
us_000465620,0.365092, 0.000046
us_000498340,0.365092, 0.000258
us_000480822,0.365092, 0.013166
us_000526109,0.365092, 0.034102
us_000509202,0.365092, 0.116603
us_000520611,0.365092, 0.869587
us_000562335,0.365092, 0.895487
us_000369086,0.365092, 0.923932
us_000498899,0.365092, 0.925308
us_000377048,0.365092, 0.975386
us_000486814,0.365092, 0.993582
us_000503097,0.365092, 0.994226
us_000602217,0.365092, 1.001628
us_000616202,0.365092, 1.012740
us_000520159,0.365092, 1.022259
us_000486795,0.365092, 1.024922
us_000503896,0.365092, 1.032528
us_000494223,0.365092, 1.037045
us_000597286,0.365092, 1.038160
us_000562171,0.365092, 1.040124
us_000492464,0.365092, 1.044406
us_000486717,0.365092, 1.050142
us_000584148,0.365092, 1.052393
us_000507824,0.365092, 1.053299
us_000492463,0.365092, 1.064253
us_000522993,0.365092, 1.091084
us_000481158,0.365092, 1.091757
us_000594439,0.365092, 1.092199
us_000463944,0.365092, 1.096649
us_000419974,0.365092, 1.096649
us_000469853,0.365092, 1.102910
us_000551187,0.365092, 1.110655
us_000472571,0.365092, 1.122892
us_000502185,0.365092, 1.124655
us_000465190,0.365092, 1.141383
us_000485534,0.365092, 1.149941
us_000568522,0.365092, 1.156421
us_000606089,0.365092, 1.157519
us_000461224,0.365092, 1.161246
us_000520911,0.365092, 1.162594
us_000592616,0.365092, 1.163409
us_000519976,0.365092, 1.163440
us_000485012,0.365092, 1.166646
us_000521810,0.365092, 1.177638
us_000502646,0.365092, 1.177638
us_000505372,0.365092, 1.177638
us_000522531,0.365092, 1.177638
us_000522858,0.365092, 1.177638
us_000522226,0.365092, 1.177638
us_000502841,0.365092, 1.177638
us_000498194,0.365092, 1.177638
us_000521200,0.365092, 1.177638
us_000521943,0.365092, 1.177638
us_000503642,0.365092, 1.177638
us_000548776,0.365092, 1.177890
us_000480323,0.365092, 1.178122
us_000470554,0.365092, 1.184468
us_000599186,0.365092, 1.185847
us_000551666,0.365092, 1.186359
us_000506920,0.365092, 1.187054
us_000592125,0.365092, 1.193075
us_000342764,0.365092, 1.211688
us_000606218,0.365092, 1.213560
us_000565292,0.365092, 1.229543
us_000569215,0.365092, 1.267665
us_000489696,0.365092, 1.289272
us_000503777,0.365092, 1.507174
us_000509415,0.360604, 0.000000
us_000594741,0.360604, 0.000000
us_000594046,0.360604, 0.000000
us_000553035,0.360604, 0.000000
us_000521094,0.360604, 0.000000
us_000460332,0.360604, 0.000000
us_000472648,0.360604, 0.000000
us_000502050,0.360604, 0.000000
pr_001063722,0.360604, 0.000000
us_000523182,0.360604, 0.000000
us_000511047,0.360604, 0.000000
us_000525321,0.360604, 0.000000
us_000494375,0.360604, 0.000000
us_000558905,0.360604, 0.000000
us_000485729,0.360604, 0.000000
us_000534734,0.360604, 0.000000
us_000525785,0.360604, 0.000000
us_000117377,0.360604, 0.000000
us_000494996,0.360604, 0.000000
us_000595192,0.360604, 0.000000
pr_001051791,0.360604, 0.000001
pr_001041910,0.360604, 0.000001
pr_001093895,0.360604, 0.000001
us_000502723,0.360604, 0.000002
us_000502194,0.360604, 0.000002
pr_000725016,0.360604, 0.000006
pr_001085488,0.360604, 0.000006
pr_001039818,0.360604, 0.000006
pr_001045293,0.360604, 0.000008
pr_000945558,0.360604, 0.000008
pr_000870781,0.360604, 0.000016
pr_001658733,0.360604, 0.000018
pr_001410899,0.360604, 0.000020
pr_001728765,0.360604, 0.000020
pr_002155699,0.360604, 0.000020
pr_002115192,0.360604, 0.000020
pr_001708352,0.360604, 0.000020
pr_001905520,0.360604, 0.000020
pr_001904929,0.360604, 0.000020
pr_001836189,0.360604, 0.000020
pr_001966318,0.360604, 0.000020
pr_002194526,0.360604, 0.000020
pr_002149275,0.360604, 0.000020
pr_001956982,0.360604, 0.000020
pr_001732422,0.360604, 0.000020
pr_001881303,0.360604, 0.000020
pr_001963266,0.360604, 0.000020
pr_002185346,0.360604, 0.000020
pr_001622675,0.360604, 0.000020
pr_001049619,0.360604, 0.000020
pr_000851935,0.360604, 0.000020
pr_001397828,0.360604, 0.000020
pr_001024313,0.360604, 0.000020
