Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 339 | Tax Prep-Trusts-Estates (jp:339,idx:120)
Class Probability,Ex Count at BMU,BMU Map Loc
0.002551020,3.0,(21|21)
0.002544529,2.0,(6|46)
0.002528445,2.0,(4|28)
0.002457002,1.0,(27|46)
0.002280502,2.0,(34|21)
0.002183406,2.0,(17|25)
0.002008032,1.0,(27|22)
0.001893939,1.0,(31|17)
0.001893939,1.0,(33|17)
0.001858736,1.0,(28|46)
0.001845018,2.0,(14|27)
0.001829826,2.0,(36|8)
0.001792115,2.0,(27|25)
0.001757469,2.0,(37|19)
0.001686341,1.0,(11|20)
0.001477105,1.0,(41|29)
0.001152074,1.0,(1|23)
