Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 255 | Estate Planning (jp:255,idx:71)
Class Probability,Ex Count at BMU,BMU Map Loc
0.001477105,1.0,(29|38)
0.001410437,1.0,(19|31)
0.001406470,1.0,(30|24)
0.001406470,1.0,(41|31)
0.001400560,1.0,(36|17)
0.001358696,1.0,(25|15)
0.001222494,1.0,(29|28)
0.001154734,1.0,(33|38)
0.001127396,1.0,(34|27)
0.001121076,1.0,(28|48)
0.001055966,1.0,(27|29)
0.001048218,1.0,(34|18)
0.001034661,2.0,(35|28)
0.0008525149,1.0,(18|31)
0.0008503401,1.0,(21|21)
0.0004923683,1.0,(35|38)
