Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 391 | Patent-Prosecution (jp:391,idx:152)
Class Probability,Ex Count at BMU,BMU Map Loc
0.006451613,3.0,(5|20)
0.006451613,3.0,(6|19)
0.006410256,2.0,(14|34)
0.006389776,2.0,(22|28)
0.006369427,1.0,(4|33)
0.006314128,8.0,(30|25)
0.006289308,1.0,(18|38)
0.006191950,4.0,(35|5)
0.006172840,2.0,(46|17)
0.006116208,4.0,(27|17)
0.006060606,2.0,(28|11)
0.005988024,1.0,(47|19)
0.005952381,1.0,(15|15)
0.005934718,4.0,(25|31)
0.005899705,2.0,(28|13)
0.005813953,1.0,(14|49)
0.005649718,2.0,(38|18)
0.005649718,2.0,(38|19)
0.005464481,1.0,(32|1)
0.005434783,1.0,(37|6)
0.005376344,1.0,(42|24)
0.005319149,1.0,(8|47)
0.005319149,1.0,(24|28)
0.005309734,3.0,(29|10)
0.005277045,2.0,(25|11)
0.004914005,2.0,(27|46)
0.004901961,1.0,(47|20)
0.004866180,2.0,(22|34)
0.004744959,4.0,(14|3)
0.004608295,1.0,(19|18)
0.004566210,1.0,(21|39)
0.004566210,1.0,(23|1)
0.004531722,3.0,(27|13)
0.004524887,2.0,(25|26)
0.004514673,2.0,(8|14)
0.004329004,4.0,(33|15)
0.004310345,1.0,(25|13)
0.004076087,3.0,(43|20)
0.004059540,3.0,(28|14)
0.004016064,2.0,(30|23)
0.003952569,1.0,(2|32)
0.003952569,1.0,(48|20)
0.003913894,2.0,(27|5)
0.003802281,1.0,(7|46)
0.003623188,1.0,(15|1)
0.003616637,2.0,(11|22)
0.003610108,1.0,(29|15)
0.003584229,1.0,(44|16)
0.003508772,2.0,(15|34)
0.003401360,1.0,(13|3)
0.003372681,2.0,(11|20)
0.003367003,1.0,(20|31)
0.003363229,3.0,(28|48)
0.003289474,3.0,(22|25)
0.003289474,1.0,(27|11)
0.003174603,1.0,(19|21)
0.003125000,3.0,(18|33)
0.003030303,1.0,(37|13)
0.002980626,2.0,(38|23)
0.002941177,1.0,(19|34)
0.002873563,2.0,(28|32)
0.002849003,1.0,(29|48)
0.002820875,2.0,(19|31)
0.002631579,1.0,(25|47)
0.002600780,2.0,(17|32)
0.002577320,1.0,(11|49)
0.002564103,1.0,(19|0)
0.002444988,2.0,(29|28)
0.002369668,1.0,(23|9)
0.002280502,2.0,(34|21)
0.002202643,1.0,(24|49)
0.002192982,1.0,(13|37)
0.002105263,1.0,(36|21)
0.002066116,1.0,(16|21)
0.002053388,1.0,(27|19)
0.002032520,1.0,(40|18)
0.002028398,1.0,(22|18)
0.002020202,1.0,(12|35)
0.001976285,1.0,(3|24)
0.001773050,1.0,(16|11)
0.001769911,1.0,(15|32)
0.001712329,1.0,(8|20)
0.001644737,1.0,(31|19)
0.001536098,2.0,(25|20)
0.001459854,1.0,(16|34)
0.001404494,1.0,(18|34)
0.001272265,1.0,(6|46)
0.001149425,1.0,(48|12)
0.001055966,1.0,(27|29)
0.001037344,1.0,(27|21)
0.0009708738,1.0,(28|29)
0.0009000900,1.0,(25|25)
0.0008525149,1.0,(18|31)
0.0003757986,1.0,(35|17)
