Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 121 | Mergers Acquisitions & Divestitures (jp:121,idx:23)
Class Probability,Ex Count at BMU,BMU Map Loc
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002941177,1.0,(26|21)
0.002906977,1.0,(48|15)
0.002902758,2.0,(34|7)
0.002857143,1.0,(38|12)
0.002827521,3.0,(25|12)
0.002747253,1.0,(42|47)
0.002717391,2.0,(43|20)
0.002713704,2.0,(1|29)
0.002631579,1.0,(1|12)
0.002586207,3.0,(21|20)
0.002583979,1.0,(17|8)
0.002577320,1.0,(11|49)
0.002551020,3.0,(21|21)
0.002528445,2.0,(4|28)
0.002415459,1.0,(32|35)
0.002392344,2.0,(13|6)
0.002331002,1.0,(38|24)
0.002280502,2.0,(34|21)
0.002260739,3.0,(34|23)
0.002207506,1.0,(26|33)
0.002202643,1.0,(47|16)
0.002164502,1.0,(27|14)
0.002159827,1.0,(37|12)
0.002096436,2.0,(33|25)
0.002083333,1.0,(32|6)
0.002049180,1.0,(18|20)
0.002028398,1.0,(42|27)
0.002020202,1.0,(12|35)
0.002008032,1.0,(30|23)
0.002000000,1.0,(13|10)
0.002000000,1.0,(16|16)
0.001988071,1.0,(24|19)
0.001988071,1.0,(25|19)
0.001978239,2.0,(20|24)
0.001945525,1.0,(25|39)
0.001901141,1.0,(19|28)
0.001872659,1.0,(23|3)
0.001872659,1.0,(23|4)
0.001858736,1.0,(28|46)
0.001848429,1.0,(16|20)
0.001834862,1.0,(29|5)
0.001721170,1.0,(1|31)
0.001655629,1.0,(29|33)
0.001623377,1.0,(30|26)
0.001605136,1.0,(48|13)
0.001594896,1.0,(18|22)
0.001584786,1.0,(19|42)
0.001519757,1.0,(44|19)
0.001457726,1.0,(41|24)
0.001443001,1.0,(29|22)
0.001397624,2.0,(32|17)
0.001397624,2.0,(32|18)
0.001344086,1.0,(23|18)
0.001135074,1.0,(30|34)
0.0009708738,1.0,(28|29)
0.0008880995,1.0,(24|16)
0.0008305648,1.0,(26|23)
0.0007315289,1.0,(31|34)
0.0007315289,1.0,(32|36)
