Product ID : 1032 # of JPs covered : 1 : 205 : Real Estate Finance, 
OID,Confidence at Map Node,Error at Map Node
us_000570218,0.276805, 0.003637
us_000474631,0.276805, 0.005417
us_000488246,0.276805, 0.006335
us_000478609,0.276805, 0.008827
us_000518504,0.276805, 0.010181
us_000585626,0.276805, 0.042574
us_000481008,0.276805, 0.059249
us_000503723,0.276805, 3.209715
us_000503569,0.276805, 3.334985
us_000513935,0.276805, 3.351085
us_000475720,0.276805, 3.354909
us_000514647,0.276805, 3.386618
us_000510238,0.276805, 3.396344
us_000483894,0.276805, 3.413551
us_000478547,0.276805, 3.419238
us_000503612,0.276805, 3.420614
us_000503722,0.276805, 3.463832
us_000460216,0.276805, 3.485619
us_000169563,0.276805, 3.486275
us_000491930,0.276805, 3.486275
us_000510776,0.276805, 3.486549
us_000492372,0.276805, 3.486549
us_000483945,0.276805, 3.490046
us_000491939,0.276805, 3.494789
us_000496605,0.276805, 3.497142
us_000497014,0.276805, 3.497142
us_000511716,0.276805, 3.497142
us_000503743,0.276805, 3.504153
us_000510172,0.276805, 3.515334
us_000141268,0.276805, 4.588162
us_000460208,0.276805, 5.905212
pr_000091335,0.225280, 0.000000
pr_000172255,0.225280, 0.000000
pr_000172701,0.225280, 0.000000
pr_000181349,0.225280, 0.000000
pr_000106847,0.225280, 0.000000
pr_000187056,0.225280, 0.000000
pr_000187147,0.225280, 0.000000
pr_000187423,0.225280, 0.000000
pr_000981686,0.225280, 0.000000
pr_001405255,0.225280, 0.000000
us_000483929,0.225280, 0.000000
pr_000622317,0.225280, 0.000001
pr_001139688,0.225280, 0.000001
pr_001034193,0.225280, 0.000001
pr_001621824,0.225280, 0.000001
pr_001671979,0.225280, 0.000001
pr_000653136,0.225280, 0.000001
pr_001872686,0.225280, 0.000008
pr_001614152,0.225280, 0.000010
pr_001165736,0.225280, 0.000010
pr_001147835,0.225280, 0.000010
pr_000691527,0.225280, 0.000016
pr_000783823,0.225280, 0.000016
us_000035173,0.225280, 0.000024
us_000487683,0.225280, 0.000111
pr_000634782,0.225280, 0.000167
pr_000830038,0.225280, 0.000211
pr_000859311,0.225280, 0.000214
pr_000927804,0.225280, 0.000214
pr_001734011,0.225280, 0.000214
pr_000901096,0.225280, 0.000220
pr_000853500,0.225280, 0.000232
pr_001062537,0.225280, 0.000234
pr_001932440,0.225280, 0.000234
pr_000785154,0.225280, 0.000331
pr_000986717,0.225280, 0.000490
pr_000721458,0.225280, 0.000857
pr_001605667,0.225280, 0.001215
us_000479834,0.225280, 0.001356
us_000592592,0.225280, 0.004274
us_000499813,0.225280, 0.007693
us_000497010,0.225280, 0.890752
us_000496869,0.225280, 1.043329
us_000556391,0.225280, 1.076110
us_000518125,0.225280, 1.148308
us_000509415,0.165800, 0.000000
us_000594741,0.165800, 0.000000
us_000594046,0.165800, 0.000000
us_000553035,0.165800, 0.000000
us_000521094,0.165800, 0.000000
us_000460332,0.165800, 0.000000
us_000472648,0.165800, 0.000000
us_000502050,0.165800, 0.000000
pr_001063722,0.165800, 0.000000
us_000523182,0.165800, 0.000000
us_000511047,0.165800, 0.000000
us_000525321,0.165800, 0.000000
us_000494375,0.165800, 0.000000
us_000558905,0.165800, 0.000000
us_000485729,0.165800, 0.000000
us_000534734,0.165800, 0.000000
us_000525785,0.165800, 0.000000
us_000117377,0.165800, 0.000000
us_000494996,0.165800, 0.000000
us_000595192,0.165800, 0.000000
pr_001051791,0.165800, 0.000001
pr_001041910,0.165800, 0.000001
pr_001093895,0.165800, 0.000001
us_000502723,0.165800, 0.000002
us_000502194,0.165800, 0.000002
pr_000725016,0.165800, 0.000006
pr_001085488,0.165800, 0.000006
pr_001039818,0.165800, 0.000006
pr_001045293,0.165800, 0.000008
pr_000945558,0.165800, 0.000008
pr_000870781,0.165800, 0.000016
pr_001658733,0.165800, 0.000018
pr_001410899,0.165800, 0.000020
pr_001728765,0.165800, 0.000020
pr_002155699,0.165800, 0.000020
pr_002115192,0.165800, 0.000020
pr_001708352,0.165800, 0.000020
pr_001905520,0.165800, 0.000020
pr_001904929,0.165800, 0.000020
pr_001836189,0.165800, 0.000020
pr_001966318,0.165800, 0.000020
pr_002194526,0.165800, 0.000020
pr_002149275,0.165800, 0.000020
pr_001956982,0.165800, 0.000020
pr_001732422,0.165800, 0.000020
pr_001881303,0.165800, 0.000020
pr_001963266,0.165800, 0.000020
pr_002185346,0.165800, 0.000020
pr_001622675,0.165800, 0.000020
pr_001049619,0.165800, 0.000020
pr_000851935,0.165800, 0.000020
pr_001397828,0.165800, 0.000020
pr_001024313,0.165800, 0.000020
us_000497679,0.165800, 0.000021
pr_000581799,0.165800, 0.000028
pr_000656326,0.165800, 0.000031
pr_001143647,0.165800, 0.000032
pr_001076156,0.165800, 0.000041
pr_001903707,0.165800, 0.000042
pr_001411457,0.165800, 0.000043
us_000516304,0.165800, 0.000048
pr_000188293,0.165800, 0.000048
us_000524387,0.165800, 0.000049
pr_001722513,0.165800, 0.000052
pr_001959955,0.165800, 0.000067
us_000512532,0.165800, 0.000075
pr_001403687,0.165800, 0.000076
us_000511857,0.165800, 0.000095
pr_001403560,0.165800, 0.000103
us_000590222,0.165800, 0.000118
pr_001085899,0.165800, 0.000133
us_000581499,0.165800, 0.000175
pr_001098621,0.165800, 0.000235
pr_000410075,0.165800, 0.000258
us_000588325,0.165800, 0.000515
us_000555876,0.165800, 0.000619
us_000606431,0.165800, 0.000705
us_000598747,0.165800, 0.000735
us_000558078,0.165800, 0.000908
us_000588931,0.165800, 0.001353
us_000591421,0.165800, 0.001739
us_000591062,0.165800, 0.002105
us_000595152,0.165800, 0.002994
us_000557251,0.165800, 0.004607
us_000582132,0.165800, 0.009002
us_000144573,0.165800, 0.010435
us_000542698,0.165800, 0.010629
us_000496250,0.165800, 6.419337
us_000532795,0.165800, 7.006156
us_000589358,0.165800, 8.812871
us_000536695,0.165800, 9.275600
us_000536478,0.165800, 9.304485
us_000514227,0.165800, 9.450528
us_000496340,0.165800, 9.840022
us_000536638,0.165800, 9.885546
us_000536392,0.165800, 10.219716
us_000540679,0.144979, 0.000000
pr_001686071,0.144979, 0.000000
pr_001405288,0.144979, 0.000000
us_000581952,0.144979, 0.000001
pr_001755145,0.144979, 0.000046
us_000488452,0.144979, 0.000052
us_000550346,0.144979, 0.000052
us_000589718,0.144979, 0.000087
pr_000120476,0.144979, 0.000100
us_000533096,0.144979, 0.000140
us_000161835,0.144979, 0.000594
us_000580158,0.144979, 0.000852
us_000572555,0.144979, 0.007319
us_000464535,0.144979, 0.018873
us_000485189,0.144979, 0.021477
us_000580267,0.144979, 0.032782
us_000494367,0.144979, 0.058280
us_000414507,0.144979, 0.083527
us_000496816,0.144979, 0.362016
us_000595294,0.144979, 1.408123
us_000574101,0.122639, 0.000060
us_000474645,0.122639, 0.000116
us_000498348,0.122639, 0.000425
us_000521740,0.122639, 0.000827
us_000507323,0.122639, 0.002453
us_000608906,0.122639, 0.002529
us_000486922,0.122639, 0.003713
us_000588595,0.122639, 0.006704
us_000491404,0.122639, 0.020944
us_000472392,0.122639, 0.024937
us_000462734,0.122639, 0.029707
us_000480093,0.122639, 0.056357
us_000554650,0.122639, 0.132341
us_000569959,0.122639, 0.149977
us_000499208,0.122639, 0.153566
us_000578613,0.122639, 0.162556
us_000554651,0.122639, 0.164942
us_000494610,0.122639, 0.166460
us_000493035,0.122639, 0.167805
us_000555214,0.122639, 0.180568
us_000513116,0.122639, 0.186385
us_000595231,0.122639, 0.186489
us_000100176,0.122639, 0.191854
us_000486005,0.122639, 0.196728
us_000593373,0.122639, 0.198160
us_000599699,0.122639, 0.198240
us_000496865,0.122639, 0.199334
us_000578259,0.122639, 0.202057
us_000486726,0.122639, 0.203012
us_000493244,0.122639, 0.204352
us_000572867,0.122639, 0.205059
us_000483105,0.122639, 0.206166
us_000491368,0.122639, 0.210470
us_000467389,0.122639, 0.210641
us_000565405,0.122639, 0.212188
us_000478411,0.122639, 0.212391
us_000565875,0.122639, 0.212877
us_000497118,0.122639, 0.212877
us_000472758,0.122639, 0.215440
us_000551721,0.122639, 0.215842
us_000524350,0.122639, 0.218186
