Product ID : 993 JPs covered : 210 : Accounting-Employee Benefit Plan, 
OID,Confidence at Map Node,Error at Map Node
pr_002083970,0.297453, 0.000000
pr_000810490,0.297453, 0.000000
pr_001731159,0.297453, 0.000000
pr_000926632,0.297453, 0.000000
pr_000285241,0.297453, 0.000000
pr_001981743,0.297453, 0.000000
pr_000916847,0.297453, 0.000000
pr_000447100,0.297453, 0.000000
pr_000382562,0.297453, 0.000000
pr_001058214,0.297453, 0.000000
pr_001879973,0.297453, 0.000000
pr_000765313,0.297453, 0.000000
pr_000277752,0.297453, 0.000000
pr_002225284,0.297453, 0.000000
pr_000210585,0.297453, 0.000000
pr_001858534,0.297453, 0.000000
us_000459442,0.297453, 0.000000
us_000525893,0.297453, 0.000000
us_000466702,0.297453, 0.000000
us_000580676,0.297453, 0.000000
pr_001083587,0.297453, 0.000013
pr_001034682,0.297453, 0.000145
pr_001159038,0.297453, 0.000178
pr_001044237,0.297453, 0.000230
pr_001033428,0.297453, 0.000528
us_000305341,0.297453, 0.003015
us_000533518,0.297453, 0.009758
pr_001879494,0.094559, 0.000000
pr_000730510,0.094559, 0.000000
pr_002126831,0.094559, 0.000000
pr_001691300,0.094559, 0.000001
pr_001087552,0.094559, 0.000001
pr_000628707,0.094559, 0.000001
pr_001394633,0.094559, 0.000001
pr_001124861,0.094559, 0.000001
pr_001905437,0.094559, 0.000001
pr_001680478,0.094559, 0.000001
pr_001394728,0.094559, 0.000001
pr_001590706,0.094559, 0.000001
pr_001093786,0.094559, 0.000001
pr_001616113,0.094559, 0.000001
pr_001678496,0.094559, 0.000001
pr_001161539,0.094559, 0.000001
pr_001096769,0.094559, 0.000001
pr_000558091,0.094559, 0.000001
pr_001394600,0.094559, 0.000001
pr_001159346,0.094559, 0.000001
pr_001163295,0.094559, 0.000001
pr_001904299,0.094559, 0.000001
pr_001949966,0.094559, 0.000001
pr_000654758,0.094559, 0.000001
pr_000561116,0.094559, 0.000001
pr_001676774,0.094559, 0.000001
pr_000560735,0.094559, 0.000001
pr_001855211,0.094559, 0.000001
pr_001126287,0.094559, 0.000001
pr_001115731,0.094559, 0.000001
pr_000569837,0.094559, 0.000342
pr_001155677,0.094559, 0.000471
us_000460654,0.094559, 0.191647
us_000460056,0.094559, 0.195860
us_000479569,0.094559, 0.218684
us_000463633,0.094559, 0.220912
us_000473890,0.094559, 0.226895
us_000503453,0.094559, 0.250948
us_000492041,0.094559, 0.263725
us_000551745,0.094559, 0.264529
us_000500384,0.094559, 0.271636
us_000386038,0.094559, 0.278972
us_000569865,0.094559, 0.280770
us_000566910,0.094559, 0.286714
us_000253881,0.094559, 0.304540
us_000570503,0.094559, 0.308389
us_000463411,0.094559, 0.309866
us_000465414,0.094559, 0.310923
us_000460723,0.094559, 0.311959
us_000490516,0.094559, 0.313342
us_000557395,0.094559, 0.314224
us_000501344,0.094559, 0.316504
us_000593532,0.094559, 0.318400
us_000576704,0.094559, 0.320465
us_000490378,0.094559, 0.321058
us_000464921,0.094559, 0.321909
us_000298120,0.094559, 0.327141
us_000522580,0.094559, 0.330647
us_000460245,0.094559, 0.332179
us_000541127,0.094559, 0.335247
us_000506326,0.094559, 0.335434
us_000538486,0.094559, 0.336274
us_000458642,0.094559, 0.336556
us_000541125,0.094559, 0.337074
us_000549587,0.094559, 0.337746
us_000501840,0.094559, 0.338721
us_000319428,0.094559, 0.339792
us_000502048,0.094559, 0.339796
us_000458813,0.094559, 0.340279
us_000350034,0.094559, 0.340279
us_000511566,0.094559, 0.340279
us_000536556,0.094559, 0.340382
us_000472442,0.094559, 0.340524
us_000472584,0.094559, 0.341297
us_000552106,0.094559, 0.343084
us_000549240,0.094559, 0.343918
us_000485064,0.094559, 0.344211
us_000563145,0.094559, 0.344879
us_000397051,0.094559, 0.346321
us_000344862,0.094559, 0.353674
us_000464750,0.094559, 0.355384
us_000472736,0.094559, 0.357077
us_000539648,0.094559, 0.357101
us_000491723,0.094559, 0.357101
us_000463368,0.094559, 0.357101
us_000458451,0.094559, 0.358237
us_000517406,0.094559, 0.358826
us_000530134,0.094559, 0.358826
us_000524832,0.094559, 0.359095
us_000534108,0.094559, 0.359444
us_000478389,0.094559, 0.362179
us_000574387,0.094559, 0.362979
us_000529784,0.094559, 0.363440
us_000468504,0.094559, 0.363440
us_000463358,0.094559, 0.363818
us_000493245,0.094559, 0.364759
us_000538410,0.094559, 0.364759
us_000496121,0.094559, 0.365804
us_000538310,0.094559, 0.366135
us_000552069,0.094559, 0.366546
us_000434636,0.094559, 0.366705
us_000496004,0.094559, 0.367568
us_000582626,0.094559, 0.367914
us_000550442,0.094559, 0.368341
us_000587339,0.094559, 0.368658
us_000269507,0.094559, 0.371340
us_000516969,0.094559, 0.371497
us_000460505,0.094559, 0.371497
us_000492959,0.094559, 0.371497
us_000529723,0.094559, 0.371863
us_000245391,0.094559, 0.373352
us_000472686,0.094559, 0.373658
us_000529724,0.094559, 0.373658
us_000472622,0.094559, 0.413731
us_000442757,0.094559, 0.434797
