Product ID : 2120 # of JPs covered : 1 : 297 : Emp-Lit-Wage Hour, 
OID,Confidence at Map Node,Error at Map Node
us_000599450,0.608433, 0.000398
us_000599452,0.608433, 0.000398
us_000479655,0.608433, 0.001041
us_000587118,0.608433, 0.006306
us_000514686,0.608433, 0.006530
us_000471055,0.608433, 0.011897
us_000504083,0.608433, 0.860951
us_000132257,0.608433, 0.953468
us_000487474,0.608433, 0.990409
us_000480700,0.608433, 1.001750
us_000453244,0.608433, 1.366230
us_000547884,0.603909, 0.000000
us_000510348,0.603909, 0.000000
pr_000915826,0.603909, 0.000001
pr_000909723,0.603909, 0.000001
pr_000707006,0.603909, 0.000001
pr_000786271,0.603909, 0.000002
pr_001079016,0.603909, 0.000002
pr_001413167,0.603909, 0.000002
pr_001647711,0.603909, 0.000004
pr_001748304,0.603909, 0.000004
pr_001011588,0.603909, 0.000004
pr_000923956,0.603909, 0.000004
pr_000942654,0.603909, 0.000006
pr_001922355,0.603909, 0.000007
pr_000929640,0.603909, 0.000007
pr_000810507,0.603909, 0.000013
pr_001928680,0.603909, 0.000035
pr_000879253,0.603909, 0.000042
pr_001947034,0.603909, 0.000062
pr_000709869,0.603909, 0.000069
pr_000842837,0.603909, 0.000077
pr_000735153,0.603909, 0.000109
pr_000948458,0.603909, 0.000261
pr_000228660,0.603909, 0.001048
pr_000168994,0.603909, 0.001978
pr_000335899,0.603909, 0.002053
pr_000752172,0.603909, 0.004416
us_000537976,0.603909, 0.012576
pr_000838195,0.603909, 0.021874
pr_000641879,0.603909, 0.022757
us_000504093,0.603909, 0.827569
us_000486446,0.603909, 1.052866
us_000459255,0.603909, 1.100320
us_000459014,0.603909, 1.127559
us_000459217,0.603909, 1.129640
us_000466235,0.603909, 1.161066
us_000378787,0.603909, 1.166800
us_000473310,0.603909, 1.181775
us_000466216,0.603909, 1.213829
us_000468266,0.603909, 1.233720
us_000474126,0.603909, 1.240872
us_000459035,0.603909, 1.246929
us_000257180,0.603909, 1.261801
us_000292885,0.603909, 1.278708
us_000473578,0.603909, 1.280168
us_000466147,0.603909, 1.285454
us_000460359,0.603909, 3.163280
pr_001103126,0.522957, 0.000000
pr_000171463,0.522957, 0.000000
pr_001022224,0.522957, 0.000000
pr_000919319,0.522957, 0.000000
pr_000489831,0.522957, 0.000000
pr_000908151,0.522957, 0.000000
pr_000014757,0.522957, 0.000000
pr_000490129,0.522957, 0.000000
pr_000597697,0.522957, 0.000000
pr_000875722,0.522957, 0.000000
pr_001051592,0.522957, 0.000000
pr_000880953,0.522957, 0.000000
pr_001012383,0.522957, 0.000000
pr_000506815,0.522957, 0.000000
pr_000701272,0.522957, 0.000000
pr_000656743,0.522957, 0.000000
pr_000643600,0.522957, 0.000000
pr_001079005,0.522957, 0.000000
pr_000837348,0.522957, 0.000000
pr_001685149,0.522957, 0.000000
pr_000230238,0.522957, 0.000000
pr_000977667,0.522957, 0.000000
pr_000922684,0.522957, 0.000000
pr_000769245,0.522957, 0.000000
pr_000181011,0.522957, 0.000000
pr_001075719,0.522957, 0.000000
pr_000952846,0.522957, 0.000000
pr_000701907,0.522957, 0.000000
pr_001012084,0.522957, 0.000000
pr_001139129,0.522957, 0.000000
pr_001103504,0.522957, 0.000000
pr_000856898,0.522957, 0.000000
pr_000446403,0.522957, 0.000002
pr_001030144,0.522957, 0.000004
pr_000579179,0.522957, 0.000004
pr_000925418,0.522957, 0.000005
pr_000760604,0.522957, 0.000005
pr_000760720,0.522957, 0.000005
pr_000285229,0.522957, 0.000005
pr_000951540,0.522957, 0.000005
pr_000564084,0.522957, 0.000007
pr_001603376,0.522957, 0.000007
pr_000012880,0.522957, 0.000008
pr_000116106,0.522957, 0.000015
pr_000733421,0.522957, 0.000016
pr_001078754,0.522957, 0.000016
pr_000710579,0.522957, 0.000016
pr_000175988,0.522957, 0.000020
pr_000589571,0.522957, 0.000020
pr_001901245,0.522957, 0.000020
pr_000504358,0.522957, 0.000020
pr_001077321,0.522957, 0.000023
pr_000885286,0.522957, 0.000023
pr_000855910,0.522957, 0.000023
pr_000702437,0.522957, 0.000026
pr_000712274,0.522957, 0.000026
pr_000970633,0.522957, 0.000026
pr_000838306,0.522957, 0.000034
pr_001076718,0.522957, 0.000035
pr_000317211,0.522957, 0.000035
pr_001132056,0.522957, 0.000036
pr_000889901,0.522957, 0.000045
pr_000022094,0.522957, 0.000051
pr_000734037,0.522957, 0.000051
