Product ID : 958 # of JPs covered : 1 : 69 : Class Action, 
OID,Confidence at Map Node,Error at Map Node
pr_001734535,0.729587, 0.000047
pr_001993877,0.729587, 0.000047
pr_001083453,0.729587, 0.000047
pr_001603614,0.729587, 0.000047
pr_001080341,0.729587, 0.000047
pr_001118668,0.729587, 0.000047
pr_000328190,0.729587, 0.000061
pr_001086090,0.729587, 0.000083
pr_000760324,0.729587, 0.000109
pr_001748299,0.729587, 0.000434
us_000469073,0.729587, 0.000562
pr_000638942,0.729587, 0.001034
us_000575211,0.729587, 0.002317
us_000575192,0.729587, 0.002426
us_000536033,0.729587, 0.003532
us_000488583,0.729587, 0.003544
us_000499007,0.729587, 0.042980
us_000504527,0.729587, 0.141472
us_000567173,0.729587, 0.856330
us_000475158,0.729587, 0.861790
us_000491636,0.729587, 1.080795
us_000493545,0.729587, 1.120836
us_000544026,0.729587, 1.186916
us_000491894,0.729587, 1.283607
us_000508341,0.721622, 0.901311
us_000551247,0.721622, 3.820928
us_000547867,0.681485, 0.000000
pr_001114326,0.681485, 0.000000
pr_000966403,0.681485, 0.000000
us_000529622,0.681485, 0.000007
us_000482340,0.681485, 0.000023
us_000491001,0.681485, 0.000024
pr_000592787,0.681485, 0.000122
pr_000163608,0.681485, 0.003154
us_000576463,0.681485, 0.010706
us_000579126,0.681485, 0.499692
pr_000810191,0.653105, 0.000000
pr_001689745,0.653105, 0.000000
pr_001074778,0.653105, 0.000000
pr_001004091,0.653105, 0.000000
pr_000469452,0.653105, 0.000000
pr_001584498,0.653105, 0.000000
pr_000575633,0.653105, 0.000002
us_000511742,0.653105, 0.000010
us_000510736,0.653105, 0.000010
us_000559148,0.653105, 0.000010
us_000516606,0.653105, 0.000010
us_000529416,0.653105, 0.000010
us_000517778,0.653105, 0.000010
us_000529305,0.653105, 0.000238
us_000535492,0.653105, 0.000500
us_000510935,0.653105, 0.004718
us_000517697,0.653105, 0.024080
us_000575512,0.653105, 0.579826
us_000577354,0.653105, 0.623851
us_000578063,0.653105, 0.660020
us_000572945,0.653105, 0.683264
us_000601709,0.653105, 0.692320
us_000594371,0.653105, 0.720367
us_000581781,0.653105, 0.726800
us_000547459,0.653105, 0.728436
us_000566320,0.653105, 0.730211
us_000535272,0.653105, 0.743176
us_000573156,0.653105, 0.752728
us_000531636,0.653105, 0.753905
us_000572171,0.653105, 0.754103
us_000563996,0.653105, 0.755459
us_000549707,0.653105, 0.766752
us_000508065,0.653105, 0.766778
us_000513702,0.653105, 0.773584
us_000511738,0.653105, 0.774166
us_000607006,0.653105, 0.790569
us_000570345,0.653105, 0.792162
us_000600359,0.653105, 0.793337
us_000465103,0.653105, 0.802304
us_000588788,0.653105, 0.807433
us_000529926,0.653105, 0.813334
us_000486729,0.653105, 0.818271
us_000507532,0.653105, 0.818956
us_000546355,0.653105, 0.821376
us_000572076,0.653105, 0.822641
us_000529882,0.653105, 0.827424
us_000611378,0.653105, 0.846007
us_000547541,0.653105, 0.857860
us_000514125,0.653105, 0.858423
us_000561772,0.653105, 0.859477
us_000532239,0.653105, 0.862782
us_000612285,0.653105, 0.966104
pr_001842126,0.635040, 0.000000
pr_001893939,0.635040, 0.000000
pr_001894285,0.635040, 0.000000
pr_000582935,0.635040, 0.000000
us_000534800,0.635040, 0.000001
us_000502429,0.635040, 0.000001
us_000506344,0.635040, 0.000001
us_000557669,0.635040, 0.000001
us_000541877,0.635040, 0.000001
us_000517346,0.635040, 0.000001
us_000557667,0.635040, 0.000001
pr_000307069,0.635040, 0.000003
pr_001410759,0.635040, 0.000014
pr_000900939,0.635040, 0.000029
pr_001913574,0.635040, 0.000041
pr_001010282,0.635040, 0.000092
pr_000668563,0.635040, 0.001184
us_000531767,0.635040, 0.005215
us_000583121,0.635040, 0.228022
us_000595644,0.635040, 0.323278
us_000493707,0.635040, 0.402805
us_000587931,0.635040, 0.436444
us_000461323,0.635040, 0.451678
us_000584772,0.635040, 0.453024
us_000547857,0.635040, 0.455117
us_000530532,0.635040, 0.456912
us_000576674,0.635040, 0.471728
us_000542169,0.635040, 0.471975
us_000549086,0.635040, 0.480179
us_000535411,0.635040, 0.480751
us_000513803,0.635040, 0.480898
us_000572178,0.635040, 0.485040
us_000617222,0.635040, 0.487536
us_000533744,0.635040, 0.493396
us_000600674,0.635040, 0.493697
us_000478153,0.635040, 0.494075
us_000582833,0.635040, 0.494162
us_000515717,0.635040, 0.499386
us_000469255,0.635040, 0.500251
us_000562264,0.635040, 0.500361
us_000093533,0.635040, 0.502167
us_000484625,0.635040, 0.502423
us_000578100,0.635040, 0.503191
us_000573134,0.635040, 0.504640
us_000589244,0.635040, 0.506572
us_000566906,0.635040, 0.506943
us_000581309,0.635040, 0.507963
us_000550819,0.635040, 0.508993
us_000515134,0.635040, 0.509057
us_000600551,0.635040, 0.510810
us_000543801,0.635040, 0.513234
us_000245477,0.635040, 0.515786
us_000601143,0.635040, 0.517135
us_000559293,0.635040, 0.520878
us_000493742,0.635040, 0.521511
us_000541658,0.635040, 0.522005
us_000466346,0.635040, 0.523082
us_000540801,0.635040, 0.523707
us_000586210,0.635040, 0.523799
us_000600673,0.635040, 0.523799
us_000542216,0.635040, 0.524389
us_000579748,0.635040, 0.524467
us_000587162,0.635040, 0.525197
us_000584214,0.635040, 0.525249
us_000599018,0.635040, 0.526059
us_000610527,0.635040, 0.526887
us_000517807,0.635040, 0.527547
us_000583534,0.635040, 0.528427
us_000608475,0.635040, 0.528645
us_000570434,0.635040, 0.529471
us_000580443,0.635040, 0.531086
us_000549858,0.635040, 0.532453
us_000542984,0.635040, 0.533009
us_000617138,0.635040, 0.536293
us_000530200,0.635040, 0.537712
us_000501108,0.635040, 0.540157
us_000583743,0.635040, 0.541394
us_000501453,0.635040, 0.541756
us_000466032,0.635040, 0.541760
us_000556502,0.635040, 0.543583
us_000547076,0.635040, 0.543583
us_000600693,0.635040, 0.544555
us_000078088,0.635040, 0.544764
us_000462129,0.635040, 0.544839
us_000582932,0.635040, 0.546125
us_000614897,0.635040, 0.547340
us_000583391,0.635040, 0.547340
us_000583488,0.635040, 0.547340
us_000583395,0.635040, 0.547340
us_000575773,0.635040, 0.548313
us_000599448,0.635040, 0.548313
us_000616045,0.635040, 0.548738
us_000616046,0.635040, 0.548738
us_000615781,0.635040, 0.548738
us_000583270,0.635040, 0.549701
us_000578690,0.635040, 0.550140
us_000580764,0.635040, 0.550140
us_000582823,0.635040, 0.550140
us_000557857,0.635040, 0.550140
us_000605728,0.635040, 0.550140
us_000602454,0.635040, 0.550140
us_000610305,0.635040, 0.550140
us_000517802,0.635040, 0.550724
us_000494295,0.635040, 0.551124
us_000573650,0.635040, 0.551831
us_000513316,0.635040, 0.552217
us_000555855,0.635040, 0.553048
us_000517762,0.635040, 0.553963
us_000600308,0.635040, 0.556045
us_000543079,0.635040, 0.558661
us_000566321,0.635040, 0.558776
us_000533344,0.635040, 0.559596
us_000546323,0.635040, 0.561436
us_000612607,0.635040, 0.561795
us_000531144,0.635040, 0.565407
us_000512878,0.635040, 0.565789
us_000502173,0.635040, 0.566389
us_000578796,0.635040, 0.567053
us_000558537,0.635040, 0.568012
us_000602002,0.635040, 0.568341
us_000487317,0.635040, 0.570331
us_000488368,0.635040, 0.571744
us_000513847,0.635040, 0.571744
us_000477614,0.635040, 0.572601
us_000604946,0.635040, 0.573951
us_000616106,0.635040, 0.574427
us_000547413,0.635040, 0.574930
us_000546008,0.635040, 0.578005
us_000531426,0.635040, 0.578450
us_000515766,0.635040, 0.578663
us_000529275,0.635040, 0.578663
us_000517447,0.635040, 0.578663
us_000529365,0.635040, 0.578663
us_000515774,0.635040, 0.578663
us_000558557,0.635040, 0.578663
us_000547340,0.635040, 0.578663
us_000534529,0.635040, 0.578663
us_000547274,0.635040, 0.578663
us_000531502,0.635040, 0.578663
us_000463818,0.635040, 0.578678
us_000596960,0.635040, 0.579244
us_000584829,0.635040, 0.580339
us_000610886,0.635040, 0.580490
us_000547104,0.635040, 0.580490
us_000512942,0.635040, 0.580490
us_000513968,0.635040, 0.580490
us_000512870,0.635040, 0.580490
us_000527724,0.635040, 0.580490
us_000513066,0.635040, 0.580490
us_000516650,0.635040, 0.580490
us_000581221,0.635040, 0.580490
us_000527178,0.635040, 0.580490
us_000529456,0.635040, 0.580490
