Product ID : 911 # of JPs covered : 1 : 198 : Corporate Finance, 
OID,Confidence at Map Node,Error at Map Node
pr_002213544,0.914082, 0.000006
pr_000729868,0.914082, 0.000006
pr_000653725,0.914082, 0.000007
pr_000726267,0.914082, 0.000007
pr_001659033,0.914082, 0.000008
pr_000653944,0.914082, 0.000009
us_000471038,0.914082, 0.000011
pr_000995077,0.914082, 0.000013
pr_000443375,0.914082, 0.000013
us_000531754,0.914082, 0.000013
pr_000416065,0.914082, 0.000015
pr_000323234,0.914082, 0.000015
us_000470134,0.914082, 0.000020
us_000573556,0.914082, 0.000022
us_000591200,0.914082, 0.000022
us_000588310,0.914082, 0.000022
us_000614082,0.914082, 0.000022
us_000616746,0.914082, 0.000022
us_000578427,0.914082, 0.000022
us_000613807,0.914082, 0.000022
us_000616757,0.914082, 0.000022
pr_001913795,0.914082, 0.000022
pr_000004851,0.914082, 0.000027
pr_000440160,0.914082, 0.000032
pr_000159256,0.914082, 0.000032
pr_000440433,0.914082, 0.000032
pr_000308158,0.914082, 0.000032
pr_000907820,0.914082, 0.000035
pr_001659278,0.914082, 0.000037
pr_001940965,0.914082, 0.000038
pr_001807462,0.914082, 0.000038
us_000613205,0.914082, 0.000042
us_000613444,0.914082, 0.000042
us_000293188,0.914082, 0.000049
us_000527014,0.914082, 0.000063
pr_000668099,0.914082, 0.000063
pr_000664342,0.914082, 0.000076
pr_002145620,0.914082, 0.000076
pr_001007869,0.914082, 0.000076
pr_000829832,0.914082, 0.000076
pr_001926527,0.914082, 0.000076
pr_001014782,0.914082, 0.000078
pr_000735769,0.914082, 0.000078
pr_001020107,0.914082, 0.000081
us_000604513,0.914082, 0.000085
pr_001982513,0.914082, 0.000092
us_000576467,0.914082, 0.000095
us_000576466,0.914082, 0.000095
us_000527704,0.914082, 0.000131
us_000566659,0.914082, 0.000131
us_000478607,0.914082, 0.000138
pr_000260145,0.914082, 0.000146
us_000477088,0.914082, 0.000168
pr_000709150,0.914082, 0.000201
pr_000953170,0.914082, 0.000253
pr_000990719,0.914082, 0.000276
pr_002164897,0.914082, 0.000291
pr_001905643,0.914082, 0.000291
pr_001910062,0.914082, 0.000291
pr_001819578,0.914082, 0.000291
us_000524768,0.914082, 0.000310
pr_000567740,0.914082, 0.000331
pr_000428022,0.914082, 0.000434
pr_000983438,0.914082, 0.000450
us_000496163,0.914082, 0.000505
us_000565522,0.914082, 2.197837
us_000498034,0.914082, 2.230567
us_000498032,0.914082, 2.344376
us_000561709,0.910045, 0.000000
pr_000891354,0.910045, 0.000000
pr_000288851,0.910045, 0.000000
pr_000790923,0.910045, 0.000000
pr_000894498,0.910045, 0.000001
us_000531889,0.910045, 0.000001
us_000492346,0.910045, 0.000001
us_000502071,0.910045, 0.000001
us_000562431,0.910045, 0.000001
pr_001728901,0.910045, 0.000002
us_000538334,0.910045, 0.000006
pr_000890222,0.910045, 0.000006
pr_000904459,0.910045, 0.000006
us_000588932,0.910045, 0.000008
us_000460766,0.910045, 0.000008
us_000365962,0.910045, 0.000008
us_000471845,0.910045, 0.000008
us_000470712,0.910045, 0.000008
us_000474089,0.910045, 0.000008
us_000469939,0.910045, 0.000008
us_000465330,0.910045, 0.000008
us_000486045,0.910045, 0.000008
us_000584165,0.910045, 0.000008
us_000460458,0.910045, 0.000008
us_000490448,0.910045, 0.000008
us_000549627,0.910045, 0.000022
pr_000606227,0.910045, 0.000025
us_000471814,0.910045, 0.000060
pr_000279563,0.910045, 0.000100
us_000462353,0.910045, 0.000105
pr_002077593,0.910045, 0.000174
pr_000951097,0.910045, 0.000174
pr_000806306,0.910045, 0.000301
us_000493702,0.910045, 0.003710
us_000602365,0.910045, 0.053765
us_000322805,0.910045, 0.223181
pr_002026641,0.888372, 0.000000
pr_001092420,0.888372, 0.000000
pr_001057683,0.888372, 0.000000
pr_001051924,0.888372, 0.000000
pr_001075671,0.888372, 0.000000
pr_000895769,0.888372, 0.000000
pr_001086799,0.888372, 0.000000
pr_000817484,0.888372, 0.000000
pr_000941832,0.888372, 0.000000
pr_000758201,0.888372, 0.000000
pr_001040644,0.888372, 0.000000
pr_001103615,0.888372, 0.000000
pr_000434271,0.888372, 0.000000
pr_000893048,0.888372, 0.000000
pr_001047873,0.888372, 0.000000
pr_001040545,0.888372, 0.000000
pr_000706736,0.888372, 0.000000
pr_001061720,0.888372, 0.000000
pr_000976557,0.888372, 0.000000
pr_000851860,0.888372, 0.000000
pr_001046568,0.888372, 0.000000
pr_001028187,0.888372, 0.000000
pr_000732117,0.888372, 0.000000
pr_000932806,0.888372, 0.000000
pr_000813058,0.888372, 0.000000
pr_000893666,0.888372, 0.000000
pr_001027493,0.888372, 0.000000
pr_000936575,0.888372, 0.000000
pr_000904904,0.888372, 0.000000
pr_001062250,0.888372, 0.000000
pr_000925242,0.888372, 0.000000
pr_001050424,0.888372, 0.000000
pr_000986052,0.888372, 0.000000
pr_000845536,0.888372, 0.000000
pr_000545366,0.888372, 0.000000
pr_001061773,0.888372, 0.000000
pr_000927280,0.888372, 0.000000
pr_001040556,0.888372, 0.000000
pr_000284324,0.888372, 0.000000
pr_001058312,0.888372, 0.000000
pr_000579047,0.888372, 0.000000
pr_000875283,0.888372, 0.000000
pr_000693414,0.888372, 0.000000
pr_001051539,0.888372, 0.000000
pr_001051126,0.888372, 0.000000
pr_000941781,0.888372, 0.000000
pr_001049237,0.888372, 0.000000
pr_001051387,0.888372, 0.000000
pr_001052454,0.888372, 0.000000
pr_000288004,0.888372, 0.000000
pr_000927041,0.888372, 0.000000
pr_000895190,0.888372, 0.000000
pr_001027840,0.888372, 0.000000
pr_000610218,0.888372, 0.000000
pr_000949088,0.888372, 0.000000
pr_001062361,0.888372, 0.000000
pr_000724271,0.888372, 0.000000
pr_001098365,0.888372, 0.000000
pr_001061518,0.888372, 0.000000
pr_000934798,0.888372, 0.000000
pr_000826543,0.888372, 0.000000
pr_001051000,0.888372, 0.000000
