Product ID : 1018 # of JPs covered : 1 : 91 : ERISA, 
OID,Confidence at Map Node,Error at Map Node
us_000483725,0.908725, 0.363019
pr_001404292,0.888893, 0.000000
pr_001723990,0.888893, 0.000000
pr_001405903,0.888893, 0.000000
pr_001065915,0.888893, 0.000000
pr_001405317,0.888893, 0.000000
pr_001076172,0.888893, 0.000000
pr_000844120,0.888893, 0.000000
pr_000634893,0.888893, 0.000000
pr_001042092,0.888893, 0.000000
pr_001127343,0.888893, 0.000000
pr_000825358,0.888893, 0.000000
pr_002005339,0.888893, 0.000000
pr_000971182,0.888893, 0.000002
pr_000315002,0.888893, 0.000002
pr_000865324,0.888893, 0.000002
pr_000402146,0.888893, 0.000002
pr_000250454,0.888893, 0.000002
pr_000765134,0.888893, 0.000012
pr_000216231,0.888893, 0.000030
us_000494081,0.888893, 0.059571
us_000515603,0.888893, 0.084795
us_000353478,0.888893, 1.336868
us_000503928,0.888893, 1.351191
us_000483757,0.888893, 1.446836
us_000509251,0.888893, 1.512804
us_000510849,0.888893, 1.533768
us_000538858,0.888893, 1.543384
us_000565501,0.888893, 1.553399
us_000112726,0.888893, 1.605613
us_000495838,0.888893, 1.640468
us_000540038,0.888893, 1.651617
us_000491059,0.888893, 1.656839
us_000575032,0.888893, 1.700596
us_000495792,0.888893, 1.711866
us_000362427,0.888893, 1.731457
us_000482556,0.888893, 1.750938
us_000547997,0.888893, 1.768659
us_000537242,0.888893, 1.776857
us_000013463,0.888893, 1.803453
us_000568768,0.888893, 1.812753
us_000496184,0.888893, 1.821691
us_000484447,0.888893, 1.824845
us_000540740,0.888893, 1.837602
us_000599311,0.888893, 1.845327
us_000582812,0.888893, 1.850263
us_000500677,0.888893, 1.850694
us_000484225,0.888893, 1.857281
us_000495024,0.888893, 1.888701
us_000578699,0.888893, 1.904241
us_000493404,0.888893, 1.905428
us_000501512,0.888893, 1.912101
us_000521781,0.888893, 1.917990
us_000531991,0.888893, 1.918406
us_000535267,0.888893, 1.921031
us_000563907,0.888893, 1.921412
us_000582320,0.888893, 1.927354
us_000575000,0.888893, 1.936139
us_000585723,0.888893, 1.942371
us_000398169,0.888893, 1.946033
us_000497993,0.888893, 1.950287
us_000557070,0.888893, 1.955020
us_000585650,0.888893, 1.956645
us_000585030,0.888893, 1.961671
us_000583865,0.888893, 1.964705
us_000533953,0.888893, 1.964866
us_000554996,0.888893, 1.970895
us_000581977,0.888893, 1.974517
us_000566923,0.888893, 1.974647
us_000580586,0.888893, 1.975040
us_000505245,0.888893, 1.979496
us_000509500,0.888893, 1.985584
us_000584190,0.888893, 1.986423
us_000579272,0.888893, 1.988571
us_000518754,0.888893, 1.991088
us_000578205,0.888893, 1.993352
us_000431304,0.888893, 2.001098
us_000540027,0.888893, 2.001915
us_000530125,0.888893, 2.014127
