Product ID : 7753 # of JPs covered : 2 : 97 : Healthcare, 303 : Health Business M&A, 
OID,Confidence at Map Node,Error at Map Node
us_000464855,0.767137,0.022071
us_000479285,0.767137,0.022084
us_000526819,0.767137,0.022136
us_000474086,0.767137,0.022142
us_000495893,0.767137,0.022150
us_000472245,0.767137,0.022166
us_000559080,0.767137,0.022172
us_000412490,0.767137,0.022194
us_000589597,0.767137,0.022202
us_000474128,0.767137,0.022221
us_000344607,0.767137,0.022240
us_000149380,0.767137,0.022241
us_000559824,0.767137,0.022296
us_000576106,0.767137,0.022312
us_000547388,0.767137,0.022345
us_000557040,0.767137,0.022346
us_000510643,0.767137,0.022395
us_000576598,0.767137,0.022408
us_000576547,0.767137,0.022412
us_000566435,0.767137,0.022418
us_000520409,0.767137,0.022442
us_000567682,0.767137,0.022443
us_000533411,0.767137,0.022459
us_000591251,0.767137,0.022467
us_000581479,0.767137,0.022498
us_000588232,0.767137,0.022535
us_000587608,0.767137,0.022540
us_000590927,0.767137,0.022548
us_000465209,0.767137,0.022558
us_000576575,0.767137,0.022582
us_000469527,0.767137,0.022586
us_000587794,0.767137,0.022662
us_000585981,0.767137,0.022681
us_000589985,0.767137,0.022692
us_000554652,0.767137,0.022696
us_000472421,0.767137,0.022714
us_000591535,0.767137,0.022742
us_000557972,0.767137,0.022754
us_000556341,0.767137,0.022765
us_000573973,0.767137,0.022776
us_000573982,0.767137,0.022782
us_000573980,0.767137,0.022782
us_000484745,0.767137,0.022817
us_000589606,0.767137,0.022823
us_000470461,0.767137,0.022882
us_000546733,0.767137,0.022892
us_000581850,0.767137,0.022915
us_000589759,0.767137,0.022916
us_000564479,0.767137,0.022918
us_000581837,0.767137,0.022920
us_000461745,0.767137,0.022925
us_000582285,0.767137,0.022939
us_000516306,0.767137,0.022939
us_000577186,0.767137,0.022952
us_000546737,0.767137,0.022959
us_000483135,0.767137,0.022961
us_000481793,0.767137,0.022968
us_000496584,0.767137,0.022972
us_000503869,0.767137,0.023003
us_000559234,0.767137,0.023015
us_000582212,0.767137,0.023045
us_000557896,0.767137,0.023049
us_000461666,0.767137,0.023061
us_000466117,0.767137,0.023065
us_000586120,0.767137,0.023077
us_000582443,0.767137,0.023080
us_000553897,0.767137,0.023094
us_000559362,0.767137,0.023102
us_000501809,0.767137,0.023106
us_000461683,0.767137,0.023111
us_000589224,0.767137,0.023121
us_000482960,0.767137,0.023122
us_000477790,0.767137,0.023176
us_000513615,0.767137,0.023177
us_000474057,0.767137,0.023208
us_000587831,0.767137,0.023248
us_000587829,0.767137,0.023248
us_000587828,0.767137,0.023248
us_000588240,0.767137,0.023254
us_000587809,0.767137,0.023255
us_000582528,0.767137,0.023274
us_000549202,0.767137,0.023276
us_000586291,0.767137,0.023309
us_000580489,0.767137,0.023355
us_000587529,0.767137,0.023364
us_000484809,0.767137,0.023369
us_000558000,0.767137,0.023408
us_000585210,0.767137,0.023411
us_000494342,0.767137,0.023413
us_000484771,0.767137,0.023414
us_000471321,0.767137,0.023448
us_000497814,0.767137,0.023500
us_000471356,0.767137,0.023500
us_000558087,0.767137,0.023505
us_000568588,0.767137,0.023538
us_000568533,0.767137,0.023539
us_000474074,0.767137,0.023545
us_000540619,0.767137,0.023549
us_000585426,0.767137,0.023558
us_000538604,0.767137,0.023568
us_000579828,0.767137,0.023590
us_000588234,0.767137,0.023591
us_000546717,0.767137,0.023604
us_000553831,0.767137,0.023613
us_000519677,0.767137,0.023613
us_000541900,0.767137,0.023620
us_000546859,0.767137,0.023623
us_000522124,0.767137,0.023624
us_000284139,0.767137,0.023626
us_000584243,0.767137,0.023630
us_000526306,0.767137,0.023646
us_000567104,0.767137,0.023656
us_000535313,0.767137,0.023658
us_000586119,0.767137,0.023659
us_000586118,0.767137,0.023659
us_000586412,0.767137,0.023668
us_000497817,0.767137,0.023685
us_000579767,0.767137,0.023688
us_000559678,0.767137,0.023699
us_000559677,0.767137,0.023699
us_000559676,0.767137,0.023699
us_000586336,0.767137,0.023701
us_000551035,0.767137,0.023713
us_000532393,0.767137,0.023740
us_000473181,0.767137,0.023753
us_000576889,0.767137,0.023795
us_000546740,0.767137,0.023816
us_000581476,0.767137,0.023819
us_000509103,0.767137,0.023831
us_000484667,0.767137,0.023843
us_000514369,0.767137,0.023857
us_000546738,0.767137,0.023868
us_000557321,0.767137,0.023869
us_000557320,0.767137,0.023869
us_000511066,0.767137,0.023870
us_000558114,0.767137,0.023872
us_000486280,0.767137,0.023891
us_000497655,0.767137,0.023912
us_000576101,0.767137,0.023914
us_000522709,0.767137,0.023932
us_000558077,0.767137,0.023935
us_000470337,0.767137,0.023959
us_000522141,0.767137,0.023970
us_000572649,0.767137,0.023979
us_000533067,0.767137,0.023984
us_000542584,0.767137,0.023986
us_000471454,0.767137,0.023994
us_000583024,0.767137,0.023998
us_000584906,0.767137,0.024009
us_000584905,0.767137,0.024009
us_000542051,0.767137,0.024015
us_000568523,0.767137,0.024031
us_000511962,0.767137,0.024052
us_000589974,0.767137,0.024068
us_000579136,0.767137,0.024075
us_000576198,0.767137,0.024089
us_000487177,0.767137,0.024095
us_000556365,0.767137,0.024133
us_000582333,0.767137,0.024137
us_000582321,0.767137,0.024141
us_000585816,0.767137,0.024146
us_000585773,0.767137,0.024148
us_000580621,0.767137,0.024149
us_000532399,0.767137,0.024166
us_000482658,0.767137,0.024181
us_000582223,0.767137,0.024196
us_000580509,0.767137,0.024197
us_000470594,0.767137,0.024202
us_000471431,0.767137,0.024204
us_000518054,0.767137,0.024214
us_000533337,0.767137,0.024228
us_000474070,0.767137,0.024238
us_000112467,0.767137,0.024261
us_000514570,0.767137,0.024268
us_000489589,0.767137,0.024269
us_000575565,0.767137,0.024276
us_000552690,0.767137,0.024307
us_000557776,0.767137,0.024311
us_000530925,0.767137,0.024343
us_000501060,0.767137,0.024348
us_000473888,0.767137,0.024349
us_000517698,0.767137,0.024369
us_000551036,0.767137,0.024371
us_000517067,0.767137,0.024393
us_000551321,0.767137,0.024405
us_000568529,0.767137,0.024407
us_000568528,0.767137,0.024407
us_000568521,0.767137,0.024407
us_000523422,0.767137,0.024408
us_000582733,0.767137,0.024411
us_000581478,0.767137,0.024429
us_000581481,0.767137,0.024448
us_000503172,0.767137,0.024477
us_000470603,0.767137,0.024479
us_000516307,0.767137,0.024481
us_000476669,0.767137,0.024510
us_000484833,0.767137,0.024519
us_000504871,0.767137,0.024531
us_000568665,0.767137,0.024586
us_000550312,0.767137,0.024602
us_000516128,0.767137,0.024603
us_000525046,0.767137,0.024621
us_000581686,0.767137,0.024641
us_000517968,0.767137,0.024690
us_000546744,0.767137,0.024696
us_000524796,0.767137,0.024705
us_000511574,0.767137,0.024723
us_000580859,0.767137,0.024724
us_000293280,0.767137,0.024757
us_000518193,0.767137,0.024764
us_000546700,0.767137,0.024765
us_000546699,0.767137,0.024765
us_000546698,0.767137,0.024765
us_000528447,0.767137,0.024777
us_000529698,0.767137,0.024780
us_000517955,0.767137,0.024786
us_000542341,0.767137,0.024788
us_000467958,0.767137,0.024801
us_000529199,0.767137,0.024857
us_000548339,0.767137,0.024866
us_000569725,0.767137,0.024879
us_000470558,0.767137,0.024879
us_000481999,0.767137,0.024881
us_000476098,0.767137,0.024884
us_000566070,0.767137,0.024886
us_000579531,0.767137,0.024891
us_000579463,0.767137,0.024896
us_000482901,0.767137,0.024908
us_000583968,0.767137,0.024920
us_000583967,0.767137,0.024920
us_000481077,0.767137,0.024923
us_000568885,0.767137,0.024924
us_000503786,0.767137,0.024926
us_000561701,0.767137,0.024934
us_000558415,0.767137,0.024940
us_000524332,0.767137,0.024964
us_000561852,0.767137,0.024970
us_000517536,0.767137,0.024976
us_000539874,0.767137,0.024976
us_000487119,0.767137,0.024984
us_000574530,0.767137,0.024991
us_000480791,0.767137,0.025008
us_000471058,0.767137,0.025010
us_000470507,0.767137,0.025019
us_000542738,0.767137,0.025022
us_000568753,0.767137,0.025027
us_000522673,0.767137,0.025030
us_000582095,0.767137,0.025030
us_000528329,0.767137,0.025033
us_000552924,0.767137,0.025046
us_000520875,0.767137,0.025049
