Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 437 | Tax Prep-Pass-Through-S-Corp (jp:437,idx:188)
Class Probability,Ex Count at BMU,BMU Map Loc
0.007843138,2.0,(4|13)
0.007731959,3.0,(39|14)
0.007692308,1.0,(40|26)
0.007633588,2.0,(15|27)
0.007633588,4.0,(46|14)
0.007518797,1.0,(3|22)
0.007518797,1.0,(9|1)
0.007462686,1.0,(42|12)
0.007194245,1.0,(17|26)
0.006802721,1.0,(10|25)
0.006802721,1.0,(29|32)
0.006756757,1.0,(3|15)
0.006711409,2.0,(47|11)
0.006622517,2.0,(49|14)
0.006369427,1.0,(24|37)
0.006329114,1.0,(49|17)
0.006250000,1.0,(0|28)
0.006172840,1.0,(44|11)
0.006134969,2.0,(39|12)
0.006134969,1.0,(41|24)
0.006060606,1.0,(18|26)
0.006042296,2.0,(2|11)
0.005899705,2.0,(41|12)
0.005319149,1.0,(27|26)
0.005291005,1.0,(39|13)
0.005167959,2.0,(15|26)
0.005167959,4.0,(27|45)
0.005102041,1.0,(10|31)
0.005076142,1.0,(9|35)
0.004950495,1.0,(20|32)
0.004901961,1.0,(39|26)
0.004830918,2.0,(17|27)
0.004830918,1.0,(29|42)
0.004651163,1.0,(41|33)
0.004347826,1.0,(11|25)
0.004347826,1.0,(42|26)
0.004210526,2.0,(21|26)
0.004166667,1.0,(43|11)
0.004016064,1.0,(7|45)
0.004000000,1.0,(3|18)
0.003913894,2.0,(20|26)
0.003389830,1.0,(48|21)
0.003367003,1.0,(45|14)
0.003184713,1.0,(39|16)
0.003076923,1.0,(40|31)
0.002739726,1.0,(9|4)
0.002673797,1.0,(6|10)
0.002450980,1.0,(19|28)
0.002392344,1.0,(24|23)
0.002352941,1.0,(16|25)
0.002207506,1.0,(40|16)
0.002188184,1.0,(23|23)
0.002178649,1.0,(16|24)
0.001552795,1.0,(8|45)
0.001424501,1.0,(25|46)
0.001013171,1.0,(23|27)
0.0009363296,1.0,(21|22)
