Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 436 | Tax Prep-Pass-Through-Forms (jp:436,idx:187)
Class Probability,Ex Count at BMU,BMU Map Loc
0.007633588,1.0,(15|30)
0.007633588,1.0,(36|18)
0.007518797,3.0,(39|27)
0.007490637,2.0,(38|16)
0.007462686,1.0,(42|12)
0.007326007,2.0,(5|11)
0.007194245,1.0,(25|29)
0.007194245,1.0,(47|9)
0.007092198,1.0,(23|33)
0.006993007,1.0,(3|8)
0.006993007,1.0,(19|38)
0.006993007,2.0,(47|13)
0.006944444,1.0,(27|40)
0.006896552,1.0,(45|30)
0.006451613,2.0,(2|15)
0.006451613,1.0,(39|28)
0.006289308,1.0,(23|40)
0.006250000,2.0,(17|28)
0.006134969,1.0,(23|1)
0.006134969,1.0,(41|24)
0.006097561,1.0,(41|16)
0.005865103,2.0,(21|5)
0.005847953,1.0,(5|20)
0.005847953,2.0,(21|23)
0.005847953,2.0,(47|7)
0.005780347,1.0,(4|11)
0.005649718,1.0,(28|24)
0.005633803,2.0,(47|14)
0.005571031,2.0,(48|14)
0.005464481,1.0,(14|31)
0.005464481,1.0,(24|33)
0.005464481,1.0,(29|41)
0.005347594,2.0,(6|10)
0.005319149,1.0,(41|32)
0.005154639,1.0,(8|39)
0.005154639,1.0,(20|28)
0.005154639,2.0,(39|14)
0.005128205,1.0,(33|40)
0.005102041,1.0,(4|17)
0.004950495,1.0,(22|38)
0.004901961,2.0,(19|28)
0.004878049,1.0,(20|38)
0.004830918,1.0,(14|45)
0.004815409,3.0,(34|39)
0.004807692,1.0,(21|25)
0.004608295,1.0,(4|40)
0.004566210,1.0,(42|33)
0.004504505,1.0,(42|15)
0.004484305,1.0,(41|15)
0.004464286,1.0,(22|34)
0.004415011,2.0,(40|16)
0.004405286,1.0,(28|26)
0.004376368,2.0,(23|23)
0.004347826,1.0,(11|25)
0.004273504,1.0,(11|44)
0.004166667,1.0,(6|49)
0.004166667,1.0,(43|11)
0.004081632,1.0,(18|29)
0.003992016,2.0,(26|44)
0.003921569,1.0,(0|9)
0.003921569,2.0,(22|25)
0.003898636,2.0,(24|46)
0.003875969,3.0,(27|45)
0.003816794,1.0,(2|19)
0.003731343,1.0,(25|23)
0.003717472,1.0,(22|21)
0.003267974,1.0,(37|18)
0.003194888,1.0,(22|30)
0.003194888,1.0,(34|38)
0.003184713,1.0,(39|16)
0.003184713,1.0,(48|8)
0.002832861,1.0,(24|27)
0.002808989,1.0,(27|28)
0.002747253,1.0,(44|10)
0.002624672,2.0,(23|2)
0.002590674,1.0,(25|26)
0.002512563,1.0,(21|24)
0.002433090,1.0,(20|22)
0.002304147,1.0,(43|16)
0.001838235,1.0,(25|22)
0.001587302,1.0,(16|26)
0.001552795,1.0,(8|45)
0.001533742,1.0,(24|25)
0.001424501,1.0,(25|46)
0.001326260,1.0,(24|0)
0.001013171,1.0,(23|27)
