Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 336 | Tax Prep-Indiv-Tax (jp:336,idx:119)
Class Probability,Ex Count at BMU,BMU Map Loc
0.007352941,4.0,(25|22)
0.007299270,3.0,(20|22)
0.007272727,2.0,(42|34)
0.007246377,1.0,(1|25)
0.007211538,3.0,(27|25)
0.007194245,1.0,(46|25)
0.007194245,1.0,(47|9)
0.007142857,1.0,(25|37)
0.006993007,2.0,(47|13)
0.006849315,1.0,(10|47)
0.006849315,2.0,(39|18)
0.006802721,1.0,(38|18)
0.006756757,1.0,(3|9)
0.006711409,1.0,(43|34)
0.006711409,2.0,(47|11)
0.006493506,1.0,(11|40)
0.006451613,2.0,(24|22)
0.006451613,1.0,(40|25)
0.006410256,1.0,(24|21)
0.006410256,1.0,(43|26)
0.006369427,2.0,(48|8)
0.006329114,1.0,(10|35)
0.006309148,2.0,(43|17)
0.006153846,2.0,(40|31)
0.006134969,1.0,(23|1)
0.006060606,1.0,(4|8)
0.006060606,1.0,(16|28)
0.005988024,3.0,(26|44)
0.005714286,1.0,(41|45)
0.005649718,1.0,(28|36)
0.005617978,2.0,(27|28)
0.005464481,1.0,(23|35)
0.005464481,1.0,(24|33)
0.005347594,2.0,(6|10)
0.005347594,1.0,(13|33)
0.005319149,1.0,(27|26)
0.005167959,4.0,(27|45)
0.005154639,1.0,(1|44)
0.005154639,1.0,(8|39)
0.004926108,1.0,(19|29)
0.004878049,1.0,(20|38)
0.004878049,1.0,(27|42)
0.004854369,1.0,(8|35)
0.004784689,1.0,(7|43)
0.004784689,2.0,(24|23)
0.004739337,1.0,(40|23)
0.004672897,1.0,(11|35)
0.004651163,1.0,(49|8)
0.004587156,1.0,(27|36)
0.004566210,1.0,(27|33)
0.004524887,1.0,(9|31)
0.004347826,1.0,(11|25)
0.004347826,1.0,(42|26)
0.004184100,1.0,(2|43)
0.004032258,1.0,(47|24)
0.003921569,2.0,(22|25)
0.003906250,1.0,(33|38)
0.003861004,1.0,(8|8)
0.003861004,1.0,(45|24)
0.003663004,1.0,(7|30)
0.003144654,1.0,(48|16)
0.003058104,1.0,(25|20)
0.003039514,1.0,(15|10)
0.003003003,1.0,(4|27)
0.002832861,1.0,(24|27)
0.002816901,1.0,(47|14)
0.002801121,1.0,(7|39)
0.002624672,2.0,(23|2)
0.001834862,1.0,(28|23)
0.001808318,1.0,(19|23)
0.001584786,1.0,(19|20)
0.001533742,1.0,(24|25)
0.001326260,1.0,(24|0)
0.0009478673,1.0,(41|46)
0.0006920415,1.0,(20|34)
