Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 379 | M&A-Front End Contracts (jp:379,idx:143)
Class Probability,Ex Count at BMU,BMU Map Loc
0.003571429,1.0,(30|18)
0.003558719,1.0,(23|8)
0.003546099,1.0,(35|8)
0.003496503,1.0,(12|48)
0.003460208,1.0,(32|11)
0.003424658,1.0,(29|49)
0.003289474,1.0,(34|27)
0.003246753,1.0,(4|37)
0.003241491,2.0,(32|8)
0.003236246,1.0,(38|40)
0.003194888,1.0,(34|38)
0.003169572,2.0,(19|20)
0.003125000,1.0,(37|28)
0.003105590,2.0,(8|45)
0.003003003,1.0,(28|27)
0.002967359,1.0,(12|1)
0.002849003,1.0,(8|31)
0.002824859,1.0,(11|1)
0.002824859,1.0,(17|21)
0.002824859,1.0,(22|23)
0.002801121,1.0,(7|39)
0.002583979,1.0,(15|26)
0.002557545,1.0,(16|27)
0.002551020,1.0,(31|13)
0.002525253,1.0,(9|29)
0.002525253,1.0,(34|42)
0.002512563,1.0,(21|24)
0.002509410,2.0,(34|10)
0.002433090,1.0,(29|44)
0.002403846,1.0,(27|25)
0.002398082,1.0,(44|43)
0.002352941,1.0,(16|25)
0.002252252,1.0,(34|8)
0.002252252,1.0,(42|39)
0.002083333,1.0,(25|3)
0.002040816,1.0,(38|45)
0.002004008,1.0,(5|1)
0.001996008,1.0,(26|44)
0.001988071,1.0,(4|47)
0.001960784,1.0,(22|25)
0.001474926,1.0,(8|0)
0.001426534,1.0,(27|18)
0.001322751,1.0,(4|43)
0.001312336,1.0,(23|2)
0.001175088,1.0,(24|9)
0.001083424,1.0,(48|42)
0.001013171,1.0,(23|27)
0.0009082652,1.0,(12|0)
0.0007949126,1.0,(7|28)
