Product ID : 100 # of JPs covered : 1 : 54 : Property / Excise, 
OID,Confidence at Map Node,Error at Map Node
us_000484341,0.128841, 0.013831
us_000514850,0.128841, 0.013831
us_000141373,0.128841, 0.013831
us_000479548,0.128841, 0.013831
us_000481967,0.128841, 0.013831
us_000517107,0.128841, 0.013831
us_000482683,0.128841, 0.013831
us_000466529,0.128841, 0.013831
us_000482649,0.128841, 0.013831
us_000517054,0.128841, 0.013831
us_000481744,0.128841, 0.013831
us_000484309,0.128841, 0.013831
us_000458623,0.128841, 0.013831
pr_000387078,0.128841, 0.013831
us_000485404,0.128841, 0.013831
us_000527904,0.128841, 0.013831
us_000484191,0.128841, 0.013831
us_000312790,0.128841, 0.013831
us_000500353,0.128841, 0.013831
us_000459722,0.128841, 0.013831
us_000503742,0.128841, 0.013831
us_000479564,0.128841, 0.013831
us_000501211,0.128841, 0.013831
us_000573732,0.128841, 0.013831
us_000484243,0.128841, 0.013831
us_000495562,0.128841, 0.013831
us_000383536,0.128841, 0.013831
us_000481376,0.128841, 0.013831
us_000495666,0.128841, 0.013831
us_000573727,0.128841, 0.013831
us_000477962,0.128841, 0.013831
us_000465307,0.128841, 0.015450
pr_000507722,0.128841, 0.015554
us_000524068,0.128841, 0.015554
us_000478751,0.128841, 0.015554
us_000478786,0.128841, 0.015554
us_000500291,0.128841, 0.015554
us_000478749,0.128841, 0.015554
us_000516206,0.128841, 0.015554
us_000529522,0.128841, 0.015554
us_000494584,0.128841, 0.015554
us_000486427,0.128841, 0.015554
us_000472861,0.128841, 0.015554
us_000472619,0.128841, 0.015554
us_000478827,0.128841, 0.015554
us_000337235,0.128841, 0.015554
us_000494629,0.128841, 0.015554
us_000487519,0.128841, 0.015554
us_000472827,0.128841, 0.015554
us_000565977,0.128841, 0.015554
us_000534838,0.128841, 0.015554
us_000500613,0.128841, 0.015554
us_000499053,0.128841, 0.015554
us_000461957,0.128841, 0.015554
us_000484747,0.128841, 0.015554
us_000565654,0.128841, 0.015554
us_000529515,0.128841, 0.015554
us_000517026,0.128841, 0.015554
us_000527334,0.128841, 0.015554
us_000467145,0.128841, 0.015554
us_000565412,0.128841, 0.015554
us_000558625,0.128841, 0.015554
us_000505812,0.128841, 0.015554
