Product ID : 2104 # of JPs covered : 1 : 397 : RP Transactions-Proj-Dev, 
OID,Confidence at Map Node,Error at Map Node
us_000616317,0.784474, 0.417573
us_000497547,0.784474, 0.417998
us_000571693,0.784474, 0.418518
us_000599441,0.784474, 0.418575
us_000598540,0.784474, 0.418575
us_000515711,0.784474, 0.418694
us_000600951,0.784474, 0.418694
us_000600070,0.784474, 0.418694
us_000491613,0.784474, 0.418694
us_000613780,0.784474, 0.418694
us_000611408,0.784474, 0.418969
us_000566886,0.784474, 0.419206
us_000517176,0.784474, 0.419283
us_000570684,0.784474, 0.419881
us_000558214,0.784474, 0.420843
us_000579595,0.784474, 0.422295
us_000600154,0.784474, 0.422561
us_000544599,0.784474, 0.422561
us_000579194,0.784474, 0.422626
us_000617110,0.784474, 0.422709
us_000610066,0.784474, 0.423021
us_000518021,0.784474, 0.423258
us_000589575,0.784474, 0.423553
us_000616200,0.784474, 0.423553
us_000578165,0.784474, 0.423553
us_000583981,0.784474, 0.423553
us_000583428,0.784474, 0.423673
us_000509236,0.784474, 0.423673
us_000584203,0.784474, 0.423673
us_000478864,0.784474, 0.424004
us_000589470,0.784474, 0.424677
us_000617316,0.784474, 0.424677
us_000589481,0.784474, 0.424677
us_000572340,0.784474, 0.425002
us_000571619,0.784474, 0.425114
us_000583240,0.784474, 0.425114
us_000584296,0.784474, 0.425114
us_000587319,0.784474, 0.425114
us_000474712,0.784474, 0.427469
us_000516056,0.784474, 0.428063
us_000585598,0.784474, 0.428083
us_000585257,0.784474, 0.428311
us_000588600,0.784474, 0.428481
us_000606117,0.784474, 0.428656
us_000568390,0.784474, 0.429974
us_000596219,0.784474, 0.434664
us_000579883,0.784474, 0.556456
us_000504252,0.692410, 0.000000
us_000546317,0.692410, 0.000036
us_000530221,0.692410, 0.000048
us_000563318,0.692410, 0.000070
us_000531391,0.692410, 0.000082
us_000467639,0.692410, 0.000138
us_000560818,0.692410, 0.000273
us_000593569,0.692410, 0.000718
us_000617455,0.692410, 0.000718
us_000606092,0.692410, 0.004819
us_000598061,0.692410, 0.007729
us_000597887,0.692410, 0.007973
us_000605899,0.692410, 0.008339
us_000559872,0.692410, 0.009290
us_000592604,0.692410, 0.012532
us_000531431,0.692410, 0.026568
us_000521701,0.692410, 0.040240
us_000465823,0.692410, 0.080492
us_000481279,0.692410, 0.210765
us_000516712,0.692410, 0.325233
us_000569176,0.408401, 0.000000
us_000540248,0.408401, 0.000000
us_000514144,0.408401, 0.000000
us_000566392,0.408401, 0.000000
us_000520191,0.408401, 0.000000
us_000565803,0.408401, 0.000000
us_000513150,0.408401, 0.000000
us_000547211,0.408401, 0.000000
us_000548735,0.408401, 0.000000
us_000520571,0.408401, 0.000000
us_000513104,0.408401, 0.000000
us_000512893,0.408401, 0.000000
us_000563527,0.408401, 0.000000
us_000554548,0.408401, 0.000000
us_000508752,0.408401, 0.000000
us_000541197,0.408401, 0.000000
us_000556752,0.408401, 0.000000
us_000472443,0.408401, 0.000000
us_000594032,0.408401, 0.000000
us_000584807,0.408401, 0.000000
us_000468096,0.408401, 0.000000
us_000538281,0.408401, 0.000000
us_000541285,0.408401, 0.000000
us_000512765,0.408401, 0.000000
us_000531826,0.408401, 0.000000
us_000597981,0.408401, 0.000000
us_000521149,0.408401, 0.000000
us_000575964,0.408401, 0.000000
us_000513749,0.408401, 0.000000
us_000531792,0.408401, 0.000000
us_000586165,0.408401, 0.000000
us_000588165,0.408401, 0.000000
pr_000910415,0.408401, 0.000000
pr_001146805,0.408401, 0.000000
pr_001155516,0.408401, 0.000000
us_000510892,0.408401, 0.000000
us_000542756,0.408401, 0.000000
us_000581299,0.408401, 0.000009
pr_001050845,0.408401, 0.000009
us_000583522,0.408401, 0.000011
us_000595472,0.408401, 0.000011
us_000509150,0.408401, 0.000014
us_000565590,0.408401, 0.000014
us_000569882,0.408401, 0.000014
us_000569805,0.408401, 0.000014
pr_001673484,0.408401, 0.000015
us_000547831,0.408401, 0.000031
us_000597560,0.408401, 0.000038
us_000598293,0.408401, 0.000041
pr_000941310,0.408401, 0.000043
pr_000958077,0.408401, 0.000076
pr_001800144,0.408401, 0.000093
us_000040060,0.408401, 0.000109
pr_000882501,0.408401, 0.000156
pr_000820095,0.408401, 0.000156
pr_000816738,0.408401, 0.000160
pr_001150673,0.408401, 0.000204
us_000608611,0.408401, 0.000241
us_000478689,0.408401, 0.000292
us_000587766,0.408401, 0.000296
us_000484245,0.408401, 0.000478
pr_002095206,0.408401, 0.000568
us_000538248,0.408401, 0.000646
us_000509763,0.408401, 0.000936
us_000574346,0.408401, 0.001978
us_000544973,0.408401, 0.002947
us_000616713,0.408401, 0.003863
us_000518302,0.408401, 0.003906
us_000501962,0.408401, 0.003943
us_000542153,0.408401, 0.004854
us_000488166,0.408401, 0.010519
us_000510710,0.408401, 0.015015
us_000514395,0.408401, 0.016266
us_000585792,0.408401, 0.027209
us_000568275,0.408401, 0.032085
us_000480771,0.408401, 0.037798
us_000579485,0.408401, 0.050068
us_000097887,0.408401, 0.055109
us_000545568,0.408401, 0.179087
us_000475597,0.408401, 3.276980
us_000474913,0.408401, 3.679645
us_000485572,0.408401, 3.749323
us_000474853,0.408401, 3.953918
pr_001814224,0.283942, 0.000000
pr_001897446,0.283942, 0.000000
pr_000126181,0.283942, 0.000000
us_000492258,0.283942, 0.000000
us_000517469,0.283942, 0.000000
us_000540698,0.283942, 0.000000
us_000534258,0.283942, 0.000000
pr_001015782,0.283942, 0.000007
pr_000586966,0.283942, 0.000008
us_000502683,0.283942, 0.000009
us_000535800,0.283942, 0.000009
pr_000092802,0.283942, 0.000015
pr_000940761,0.283942, 0.000019
