Product ID : 1009 # of JPs covered : 1 : 67 : Banking, 
OID,Confidence at Map Node,Error at Map Node
us_000210234,1.000000, 1.024396
us_000458679,1.000000, 1.025527
us_000466340,1.000000, 1.026684
us_000467420,1.000000, 1.026922
us_000575055,1.000000, 1.027424
us_000482548,1.000000, 1.027667
us_000434135,1.000000, 1.030018
us_000482334,1.000000, 1.032017
us_000482607,1.000000, 1.032017
us_000489776,1.000000, 1.032113
us_000525870,1.000000, 1.039370
us_000273232,1.000000, 1.043896
us_000466162,1.000000, 1.048143
us_000488317,1.000000, 1.055845
us_000582187,1.000000, 1.056187
us_000487275,1.000000, 1.059659
us_000509747,1.000000, 1.062370
us_000146234,1.000000, 1.079135
us_000490686,1.000000, 1.081565
us_000495502,1.000000, 1.091354
us_000413964,1.000000, 1.107537
us_000476269,1.000000, 1.108715
us_000578581,1.000000, 1.118201
us_000538523,1.000000, 1.120704
us_000531617,1.000000, 1.150169
us_000524088,1.000000, 1.158710
us_000613587,1.000000, 1.168451
us_000490744,1.000000, 1.169545
us_000525786,1.000000, 1.177376
us_000551833,1.000000, 1.189984
us_000524010,1.000000, 1.201188
us_000460017,1.000000, 1.229799
us_000077390,1.000000, 1.257574
us_000416930,1.000000, 1.264592
us_000272482,1.000000, 1.267697
us_000468258,1.000000, 1.387419
us_000458639,1.000000, 1.545852
us_000253390,1.000000, 1.855693
pr_000831936,0.999918, 0.000000
us_000582638,0.999918, 0.000000
us_000608113,0.999918, 0.000000
us_000577362,0.999918, 0.000000
us_000114229,0.999918, 0.000001
us_000497849,0.999918, 0.000002
us_000517413,0.999918, 0.000002
us_000511134,0.999918, 0.000002
us_000514987,0.999918, 0.000153
us_000507749,0.999918, 0.000153
us_000495520,0.999918, 0.000153
us_000523523,0.999918, 0.000608
us_000496806,0.999918, 0.000608
us_000543103,0.999918, 0.000608
us_000530584,0.999918, 0.000608
us_000543104,0.999918, 0.000608
us_000523349,0.999918, 0.000608
us_000513310,0.999918, 0.001284
us_000489833,0.999918, 0.008482
us_000499963,0.999918, 0.842095
us_000530107,0.999918, 0.860357
us_000057912,0.999918, 0.892412
us_000153694,0.999918, 0.922335
us_000572949,0.999918, 0.944804
us_000189675,0.999918, 0.951829
us_000458829,0.999918, 0.986026
us_000593992,0.999918, 0.988107
us_000495923,0.999918, 1.022484
us_000420496,0.999918, 1.061535
us_000511670,0.999918, 1.063216
us_000474643,0.999918, 1.075765
us_000584343,0.999918, 1.086657
us_000474610,0.999918, 1.089004
us_000507194,0.999918, 1.099447
us_000562423,0.999918, 1.155281
us_000578225,0.999918, 1.160753
us_000082226,0.999918, 1.272050
us_000411142,0.999918, 1.593261
pr_000877558,0.992949, 0.000000
us_000610980,0.992949, 0.000000
us_000611067,0.992949, 0.000001
pr_001009945,0.992949, 0.000011
pr_000906217,0.992949, 0.000019
pr_000908846,0.992949, 0.000028
pr_000980738,0.992949, 0.000028
pr_000836585,0.992949, 0.000033
pr_000828266,0.992949, 0.000044
pr_001814343,0.992949, 0.000100
pr_000858526,0.992949, 0.000104
pr_000725191,0.992949, 0.000138
pr_000634265,0.992949, 0.000138
pr_000831038,0.992949, 0.000138
pr_000976194,0.992949, 0.000138
pr_000986259,0.992949, 0.000138
pr_000825609,0.992949, 0.000266
pr_000860355,0.992949, 0.000346
pr_001659347,0.992949, 0.000383
pr_000735852,0.992949, 0.000705
us_000577650,0.992949, 0.000745
pr_000666091,0.992949, 0.001074
pr_000728455,0.992949, 0.001092
us_000484296,0.992949, 0.001136
us_000484475,0.992949, 0.002975
us_000498858,0.992949, 0.003763
us_000478882,0.992949, 0.003872
pr_001071739,0.992949, 0.004605
us_000472568,0.992949, 0.005838
us_000477966,0.992949, 0.006354
us_000511684,0.992949, 0.006369
us_000486834,0.992949, 0.006891
us_000581179,0.992949, 0.007871
us_000600740,0.992949, 0.012268
us_000480390,0.992949, 0.016745
us_000600824,0.992949, 0.017217
us_000501437,0.992949, 0.030872
us_000484473,0.992949, 0.031305
us_000501144,0.992949, 0.044123
us_000501510,0.992949, 0.070574
us_000476524,0.992949, 0.081951
us_000475273,0.992949, 0.294665
us_000473794,0.992949, 0.737050
us_000469769,0.992949, 0.798565
us_000612585,0.992949, 0.827677
us_000490724,0.992949, 0.840008
us_000586429,0.992949, 0.842786
us_000470367,0.992949, 0.842786
us_000594715,0.992949, 0.851844
us_000483974,0.992949, 0.876392
us_000366010,0.992949, 0.881711
us_000478259,0.992949, 0.884309
us_000491210,0.992949, 0.888576
us_000116376,0.992949, 0.889285
us_000482863,0.992949, 0.890958
us_000172561,0.992949, 0.892590
us_000508022,0.992949, 0.910303
us_000476645,0.992949, 0.912159
us_000470424,0.992949, 0.912718
us_000476259,0.992949, 0.916452
us_000543530,0.992949, 0.918787
us_000595712,0.992949, 0.928510
us_000488158,0.992949, 0.934301
us_000092516,0.992949, 0.939263
us_000474368,0.992949, 0.949822
us_000600716,0.992949, 0.953344
us_000595690,0.992949, 0.960063
us_000471228,0.992949, 0.961494
pr_001417172,0.923964, 0.000000
pr_000014569,0.923964, 0.000000
us_000474023,0.923964, 0.000000
us_000458561,0.923964, 0.000000
us_000525222,0.923964, 0.000000
us_000467851,0.923964, 0.000000
us_000458633,0.923964, 0.000000
us_000468527,0.923964, 0.000000
us_000531047,0.923964, 0.000065
us_000522614,0.923964, 0.000291
us_000531717,0.923964, 0.000291
us_000476467,0.923964, 0.372213
us_000467035,0.923964, 0.372885
us_000531403,0.923964, 0.437954
us_000466202,0.923964, 0.438325
us_000580007,0.923964, 0.443835
us_000474807,0.923964, 0.443835
us_000595276,0.923964, 0.443835
us_000482436,0.923964, 0.448212
us_000525828,0.923964, 0.462028
us_000476215,0.923964, 0.470530
us_000590168,0.923964, 0.477180
us_000476235,0.923964, 0.481531
us_000468995,0.923964, 0.482394
us_000450147,0.923964, 0.482394
us_000469063,0.923964, 0.483736
us_000568128,0.923964, 0.484541
us_000469193,0.923964, 0.487490
us_000494315,0.923964, 0.489034
us_000515466,0.923964, 0.490452
us_000476057,0.923964, 0.497606
us_000571129,0.923964, 0.502517
us_000577564,0.923964, 0.509385
us_000595715,0.923964, 0.515941
us_000493771,0.923964, 0.526028
us_000474197,0.923964, 0.530868
us_000493718,0.923964, 0.533913
us_000594654,0.923964, 0.535189
us_000612514,0.923964, 0.538497
us_000595705,0.923964, 0.538497
us_000594685,0.923964, 0.538791
us_000468315,0.923964, 0.540071
us_000575577,0.923964, 0.540744
us_000461907,0.923964, 0.542416
us_000472994,0.923964, 0.543593
us_000585936,0.923964, 0.543593
us_000473229,0.923964, 0.543593
us_000602617,0.923964, 0.543593
us_000579712,0.923964, 0.543593
us_000595663,0.923964, 0.545004
us_000109915,0.923964, 0.545004
us_000588113,0.923964, 0.545004
us_000579510,0.923964, 0.545166
us_000498267,0.923964, 0.545517
us_000468866,0.923964, 0.546081
us_000601277,0.923964, 0.546960
us_000602142,0.923964, 0.547228
us_000591536,0.923964, 0.548814
us_000517326,0.923964, 0.548843
us_000571503,0.923964, 0.550100
us_000479487,0.923964, 0.550100
us_000595526,0.923964, 0.550100
us_000586236,0.923964, 0.550100
us_000586268,0.923964, 0.550100
us_000601107,0.923964, 0.550100
us_000579547,0.923964, 0.550100
us_000610337,0.923964, 0.550100
us_000595572,0.923964, 0.550100
us_000585606,0.923964, 0.550100
us_000586659,0.923964, 0.550100
us_000585596,0.923964, 0.550100
us_000612213,0.923964, 0.550100
us_000612521,0.923964, 0.550100
us_000602587,0.923964, 0.550100
us_000585618,0.923964, 0.550100
us_000589183,0.923964, 0.550100
us_000587768,0.923964, 0.550123
us_000489117,0.923964, 0.553229
us_000544460,0.923964, 0.585638
us_000521383,0.923964, 0.759688
pr_000271064,0.921788, 0.000005
pr_000813653,0.921788, 0.000010
pr_000830938,0.921788, 0.000028
pr_001039423,0.921788, 0.000175
pr_000810061,0.921788, 0.000375
us_000485620,0.921788, 0.002429
us_000582222,0.921788, 0.003752
us_000133974,0.921788, 0.672503
us_000575756,0.921788, 0.705924
us_000475227,0.921788, 0.718442
us_000509942,0.921788, 0.724850
us_000494762,0.921788, 0.738113
us_000569754,0.921788, 0.749902
us_000082729,0.921788, 0.775029
us_000510219,0.921788, 0.786924
us_000573370,0.921788, 0.789607
us_000538605,0.921788, 0.885498
pr_001600731,0.921554, 0.000000
pr_001746463,0.921554, 0.000000
pr_002168125,0.921554, 0.000000
pr_000860003,0.921554, 0.000000
pr_000790866,0.921554, 0.000000
pr_001737100,0.921554, 0.000000
pr_000663586,0.921554, 0.000000
pr_000872788,0.921554, 0.000000
pr_000970198,0.921554, 0.000000
pr_000746153,0.921554, 0.000000
pr_000744351,0.921554, 0.000000
pr_000754354,0.921554, 0.000000
pr_000975067,0.921554, 0.000000
pr_000936035,0.921554, 0.000000
pr_000728822,0.921554, 0.000000
pr_000858585,0.921554, 0.000000
pr_000958731,0.921554, 0.000000
