Product ID : 935 # of JPs covered : 1 : 110 : International Law, 
OID,Confidence at Map Node,Error at Map Node
us_000057525,0.217479, 0.027475
us_000593895,0.217479, 0.027475
us_000490208,0.217479, 0.027475
us_000468816,0.217479, 0.027475
us_000476717,0.217479, 0.027475
us_000474165,0.217479, 0.027475
us_000482832,0.217479, 0.027475
us_000429354,0.217479, 0.027475
us_000487221,0.217479, 0.027475
us_000481398,0.217479, 0.027475
us_000472734,0.217479, 0.027475
us_000502702,0.217479, 0.027475
us_000460179,0.217479, 0.027475
us_000556255,0.217479, 0.027475
us_000484797,0.217479, 0.027475
us_000555718,0.217479, 0.027475
us_000462187,0.217479, 0.027475
us_000554966,0.217479, 0.027475
us_000470656,0.217479, 0.027475
us_000595144,0.217479, 0.027475
us_000486145,0.217479, 0.027475
us_000463230,0.217479, 0.027475
us_000333580,0.217479, 0.027475
us_000459760,0.217479, 0.027475
us_000461579,0.217479, 0.027475
us_000134170,0.217479, 0.027475
us_000237871,0.217479, 0.027475
us_000463198,0.217479, 0.027475
us_000488567,0.217479, 0.027475
us_000473470,0.217479, 0.027475
us_000474167,0.217479, 0.027475
us_000467708,0.217479, 0.027475
us_000149857,0.217479, 0.027475
us_000483977,0.217479, 0.027475
us_000463618,0.217479, 0.027475
us_000498761,0.217479, 0.027475
us_000468307,0.217479, 0.028735
us_000462652,0.217479, 0.029097
us_000462661,0.217479, 0.029097
us_000462648,0.217479, 0.029097
us_000497962,0.217479, 0.029097
us_000471902,0.217479, 0.030768
us_000453131,0.217479, 0.030768
us_000470297,0.217479, 0.030768
us_000500296,0.217479, 0.030890
us_000476037,0.217479, 0.032112
us_000454391,0.217479, 0.032488
us_000472407,0.217479, 0.032488
us_000489472,0.217479, 0.032488
us_000505804,0.217479, 0.033167
us_000473921,0.217479, 0.034257
us_000327416,0.217479, 0.039358
us_000479395,0.217479, 0.058316
us_000463733,0.217479, 0.058316
us_000461737,0.217479, 0.082269
us_000511383,0.217479, 0.236678
pr_001076501,0.197830, 0.000000
pr_000266423,0.197830, 0.000000
pr_001591118,0.197830, 0.000000
pr_001391184,0.197830, 0.000000
pr_000603511,0.197830, 0.000000
pr_000255469,0.197830, 0.000000
pr_000730758,0.197830, 0.000000
pr_000436173,0.197830, 0.000001
us_000555167,0.197830, 0.004459
us_000510281,0.197830, 0.019901
us_000544086,0.197830, 0.048839
us_000464686,0.197830, 0.281302
pr_000006733,0.119368, 0.000000
us_000535101,0.119368, 0.000023
us_000472262,0.119368, 0.007106
us_000178280,0.119368, 0.033863
us_000464698,0.119368, 0.056168
us_000409962,0.119368, 0.119810
us_000495865,0.119368, 0.307949
us_000472306,0.097220, 0.000003
us_000481277,0.097220, 0.000133
us_000463069,0.097220, 0.007627
us_000593087,0.097220, 0.010648
us_000590290,0.097220, 0.014175
us_000478446,0.097220, 0.021094
us_000599888,0.097220, 0.032977
us_000486635,0.097220, 0.038957
us_000534368,0.097220, 0.074503
pr_001826619,0.029430, 0.000000
us_000487805,0.029430, 0.000018
us_000466520,0.029430, 0.000199
us_000470841,0.029430, 0.012398
us_000467366,0.029430, 0.012398
us_000468216,0.029430, 0.012398
us_000476234,0.029430, 0.012398
us_000468605,0.029430, 0.012398
us_000468935,0.029430, 0.012398
us_000465929,0.029430, 0.012398
us_000476646,0.029430, 0.012398
us_000476591,0.029430, 0.012398
us_000476648,0.029430, 0.012398
us_000556653,0.029430, 0.012398
us_000477468,0.029430, 0.012398
us_000469762,0.029430, 0.012398
us_000468161,0.029430, 0.012398
us_000479709,0.029430, 0.013494
us_000486821,0.029430, 0.013494
us_000462948,0.029430, 0.013494
us_000462958,0.029430, 0.013494
us_000471716,0.029430, 0.013494
us_000477623,0.029430, 0.013494
us_000554902,0.029430, 0.013494
us_000462928,0.029430, 0.013494
us_000469492,0.029430, 0.013494
us_000463020,0.029430, 0.013494
us_000463005,0.029430, 0.013494
us_000486796,0.029430, 0.013494
us_000469442,0.029430, 0.013494
