Product ID : 7792 # of JPs covered : 1 : 216 : Accounting-Non-Profit, 
OID,Confidence at Map Node,Error at Map Node
us_000523028,0.969607,0.332563
us_000469361,0.969607,0.332663
us_000572352,0.969607,0.333222
us_000503463,0.969607,0.333284
us_000517444,0.969607,0.333334
us_000591979,0.969607,0.333478
us_000591981,0.969607,0.333478
us_000591983,0.969607,0.333478
us_000591959,0.969607,0.333501
us_000591829,0.969607,0.333517
us_000591643,0.969607,0.333534
us_000616158,0.969607,0.333940
us_000564366,0.969607,0.333965
us_000564330,0.969607,0.333966
us_000564302,0.969607,0.333968
us_000500999,0.969607,0.334109
us_000518093,0.969607,0.334301
us_000557521,0.969607,0.334402
us_000480756,0.969607,0.334601
us_000424382,0.969607,0.334844
us_000538807,0.969607,0.334878
us_000495710,0.969607,0.334999
us_000538307,0.969607,0.335220
us_000538282,0.969607,0.335221
us_000537285,0.969607,0.335244
us_000533334,0.969607,0.335258
us_000523057,0.969607,0.335574
us_000523032,0.969607,0.335575
us_000523030,0.969607,0.335575
us_000517241,0.969607,0.335690
us_000503476,0.969607,0.335763
us_000511653,0.969607,0.335778
us_000511615,0.969607,0.335779
us_000509541,0.969607,0.335807
us_000563595,0.969607,0.335815
us_000563227,0.969607,0.335825
us_000502541,0.969607,0.335896
us_000502063,0.969607,0.335903
us_000500875,0.969607,0.335921
us_000500731,0.969607,0.335922
us_000552754,0.969607,0.336095
us_000552828,0.969607,0.336095
us_000480802,0.969607,0.336169
us_000471474,0.969607,0.336251
us_000469374,0.969607,0.336290
us_000538870,0.969607,0.336395
us_000460284,0.969607,0.336441
us_000521016,0.969607,0.336601
us_000519271,0.969607,0.336617
us_000519172,0.969607,0.336618
us_000514750,0.969607,0.336655
us_000511638,0.969607,0.336681
us_000509671,0.969607,0.336697
us_000509665,0.969607,0.336697
us_000509596,0.969607,0.336697
us_000501008,0.969607,0.336752
us_000497802,0.969607,0.336776
us_000497122,0.969607,0.336780
us_000493924,0.969607,0.336800
us_000485258,0.969607,0.336852
us_000473613,0.969607,0.336912
us_000472591,0.969607,0.336916
us_000472495,0.969607,0.336917
pr_000776387,0.969607,0.337585
pr_001127341,0.969607,0.337585
pr_001127002,0.969607,0.337585
pr_001124627,0.969607,0.337585
pr_001686028,0.969607,0.337585
pr_001126251,0.969607,0.337585
pr_001130401,0.969607,0.337585
pr_001130522,0.969607,0.337585
pr_000638662,0.969607,0.337585
pr_001127095,0.969607,0.337585
pr_001127682,0.969607,0.337585
pr_001130393,0.969607,0.337585
pr_001126654,0.969607,0.337585
pr_001034843,0.969607,0.337585
pr_000865516,0.969607,0.337585
pr_000848312,0.969607,0.337585
pr_001130798,0.969607,0.337585
pr_001130229,0.969607,0.337585
pr_001128881,0.969607,0.337585
pr_001128772,0.969607,0.337585
pr_001127139,0.969607,0.337585
pr_001999744,0.969607,0.337585
pr_001127494,0.969607,0.337585
pr_001096729,0.969607,0.337585
pr_001129812,0.969607,0.337585
pr_001131372,0.969607,0.337585
pr_001129212,0.969607,0.337585
pr_001913022,0.969607,0.337585
pr_001128602,0.969607,0.337585
pr_001154951,0.969607,0.337585
pr_000993152,0.969607,0.337585
pr_000724294,0.969607,0.337585
pr_001034856,0.969607,0.337585
pr_001088324,0.969607,0.337585
pr_000559844,0.969607,0.337585
pr_001142262,0.969607,0.337585
pr_001130749,0.969607,0.337585
pr_001142395,0.969607,0.337585
pr_000655353,0.969607,0.337585
pr_000905189,0.969607,0.337585
pr_000750929,0.969607,0.337585
pr_001130794,0.969607,0.337585
pr_001128102,0.969607,0.337585
pr_001088116,0.969607,0.337585
pr_000722928,0.969607,0.337585
pr_000849502,0.969607,0.337585
pr_001127842,0.969607,0.337585
pr_001129946,0.969607,0.337585
pr_000932216,0.969607,0.337585
pr_001909544,0.969607,0.337585
pr_000986992,0.969607,0.337585
pr_001130096,0.969607,0.337585
pr_001142127,0.969607,0.337585
pr_000932209,0.969607,0.337585
pr_001130259,0.969607,0.337585
pr_001874693,0.969607,0.337585
pr_001128398,0.969607,0.337585
pr_001128144,0.969607,0.337585
pr_000716979,0.969607,0.337585
pr_001127327,0.969607,0.337585
pr_001129233,0.969607,0.337585
pr_001087398,0.969607,0.337585
pr_001008264,0.969607,0.337585
pr_001089836,0.969607,0.337585
pr_001130486,0.969607,0.337585
pr_001131455,0.969607,0.337585
pr_001853593,0.969607,0.337585
pr_001129193,0.969607,0.337585
pr_001126909,0.969607,0.337585
pr_001144166,0.969607,0.337585
pr_001131291,0.969607,0.337585
pr_001130082,0.969607,0.337585
pr_001127995,0.969607,0.337585
pr_001127971,0.969607,0.337585
pr_001130908,0.969607,0.337585
pr_001129403,0.969607,0.337585
pr_001126676,0.969607,0.337585
pr_001141045,0.969607,0.337585
pr_000883250,0.969607,0.337585
pr_001126946,0.969607,0.337585
pr_001041730,0.969607,0.337585
pr_001130473,0.969607,0.337585
pr_001128750,0.969607,0.337585
pr_000435857,0.969607,0.337585
pr_001015825,0.969607,0.337585
pr_001127347,0.969607,0.337585
pr_001400506,0.969607,0.337585
pr_000994348,0.969607,0.337585
pr_001126848,0.969607,0.337585
pr_001130656,0.969607,0.337585
pr_001124591,0.969607,0.337585
pr_001129387,0.969607,0.337585
pr_000562179,0.969607,0.337585
pr_001129406,0.969607,0.337585
pr_001130415,0.969607,0.337585
pr_000848966,0.969607,0.337585
pr_001128305,0.969607,0.337585
pr_001892523,0.969607,0.337585
pr_001893497,0.969607,0.337585
pr_001126430,0.969607,0.337585
pr_001126074,0.969607,0.337585
pr_001127349,0.969607,0.337585
pr_001127773,0.969607,0.337585
pr_001127923,0.969607,0.337585
us_000614185,0.969607,0.339721
us_000566931,0.969607,0.342193
us_000583898,0.969607,0.342538
us_000606258,0.969607,0.342791
