Product ID : 90 # of JPs covered : 1 : 215 : Accounting-Compilation & Review, 
OID,Confidence at Map Node,Error at Map Node
pr_000714655,0.391115, 0.124504
pr_001117532,0.391115, 0.124636
pr_000748737,0.391115, 0.125149
pr_000720707,0.391115, 0.125149
pr_000712913,0.391115, 0.125149
pr_001815311,0.391115, 0.127481
pr_000749635,0.391115, 0.127845
pr_000979370,0.391115, 0.127845
pr_000749499,0.391115, 0.127845
pr_000751439,0.391115, 0.127845
pr_000738831,0.391115, 0.127845
pr_000743508,0.391115, 0.127845
pr_000725234,0.391115, 0.127845
pr_000723660,0.391115, 0.128130
pr_000745385,0.391115, 0.128497
pr_000556859,0.391115, 0.128682
pr_001089253,0.391115, 0.128818
pr_000525122,0.391115, 0.128866
pr_000746129,0.391115, 0.128866
pr_000516171,0.391115, 0.129233
pr_000690909,0.391115, 0.129245
pr_000543474,0.391115, 0.129250
pr_000917256,0.391115, 0.129250
pr_001087523,0.391115, 0.129250
pr_000520140,0.391115, 0.129250
pr_000551739,0.391115, 0.129250
pr_000736854,0.391115, 0.129250
pr_000517201,0.391115, 0.129250
pr_000512952,0.391115, 0.129250
pr_000655938,0.391115, 0.129250
pr_000719321,0.391115, 0.129278
pr_000887697,0.391115, 0.129663
pr_001010505,0.391115, 0.129872
pr_001702381,0.391115, 0.129902
pr_000627126,0.391115, 0.130125
pr_001014491,0.391115, 0.130125
pr_000652421,0.391115, 0.130125
pr_000748750,0.391115, 0.130452
pr_000921012,0.391115, 0.130452
pr_001093300,0.391115, 0.130452
pr_000750950,0.391115, 0.130452
pr_000848535,0.391115, 0.130452
pr_000951746,0.391115, 0.130452
pr_000838012,0.391115, 0.130452
pr_001410467,0.391115, 0.130774
pr_000655068,0.391115, 0.132784
pr_000519411,0.391115, 0.132784
pr_000555573,0.391115, 0.132784
pr_000722010,0.391115, 0.132784
pr_000914888,0.391115, 0.134186
pr_000525883,0.391115, 0.134421
pr_000516205,0.391115, 0.134421
pr_000519843,0.391115, 0.134464
pr_001596369,0.391115, 0.134509
pr_001408770,0.391115, 0.134553
pr_000716261,0.391115, 0.134553
pr_000910530,0.391115, 0.134553
pr_000525170,0.391115, 0.134553
pr_000716737,0.391115, 0.134553
pr_001584126,0.391115, 0.134553
pr_000749404,0.391115, 0.134553
pr_000713264,0.391115, 0.134553
pr_000864629,0.391115, 0.134553
pr_000631896,0.391115, 0.134553
pr_001603552,0.391115, 0.134553
pr_000750028,0.391115, 0.134553
pr_000713251,0.391115, 0.134553
pr_001633065,0.391115, 0.134553
pr_000746344,0.391115, 0.134553
pr_000560922,0.391115, 0.134553
pr_000749074,0.391115, 0.134553
pr_000697194,0.391115, 0.134553
pr_000553678,0.391115, 0.134553
pr_001042299,0.391115, 0.134553
pr_000655349,0.391115, 0.134553
pr_000655016,0.391115, 0.134553
pr_000525850,0.391115, 0.134553
pr_000720535,0.391115, 0.134553
pr_000713247,0.391115, 0.134553
pr_000752611,0.391115, 0.134553
pr_001096784,0.391115, 0.134553
pr_000751057,0.391115, 0.134553
pr_000715378,0.391115, 0.134553
pr_000750677,0.391115, 0.134553
pr_001395633,0.391115, 0.134553
pr_000517675,0.391115, 0.134553
pr_000561822,0.391115, 0.134553
pr_000712292,0.391115, 0.134553
pr_000514577,0.391115, 0.134553
pr_000747816,0.391115, 0.134553
pr_000519633,0.391115, 0.134553
pr_000922304,0.391115, 0.134553
pr_000890743,0.391115, 0.134553
pr_000750546,0.391115, 0.134553
pr_000555695,0.391115, 0.134553
pr_001014962,0.391115, 0.134553
pr_000518437,0.391115, 0.134553
pr_001096832,0.391115, 0.134553
pr_000717621,0.391115, 0.134553
pr_000738756,0.391115, 0.134553
pr_000550996,0.391115, 0.134553
pr_000558780,0.391115, 0.134553
pr_000920354,0.391115, 0.134553
pr_000859106,0.391115, 0.134553
pr_000559701,0.391115, 0.134553
pr_001654349,0.391115, 0.134553
pr_000558868,0.391115, 0.134553
pr_000750393,0.391115, 0.134553
pr_000722463,0.391115, 0.134553
pr_001041834,0.391115, 0.134553
pr_000751041,0.391115, 0.134553
pr_000724687,0.391115, 0.134553
pr_000749795,0.391115, 0.134553
pr_000722025,0.391115, 0.134553
pr_000748482,0.391115, 0.134553
pr_001012428,0.391115, 0.134553
pr_001396128,0.391115, 0.134553
pr_000512884,0.391115, 0.134553
pr_000888756,0.391115, 0.134553
pr_000745681,0.391115, 0.134553
pr_000753732,0.391115, 0.134553
pr_000977835,0.391115, 0.134553
pr_000714444,0.391115, 0.134553
pr_000750652,0.391115, 0.134553
pr_000724896,0.391115, 0.134553
pr_001143007,0.391115, 0.134553
pr_000753758,0.391115, 0.134553
pr_000875593,0.391115, 0.134553
pr_000846787,0.391115, 0.134553
pr_001025994,0.391115, 0.134553
pr_000747889,0.391115, 0.134553
pr_000653069,0.391115, 0.134553
pr_000827760,0.391115, 0.134553
pr_000911444,0.391115, 0.134553
pr_000653051,0.391115, 0.134553
pr_001042190,0.391115, 0.134553
pr_000748429,0.391115, 0.134553
pr_001093275,0.391115, 0.134553
pr_000543824,0.391115, 0.134553
pr_000654807,0.391115, 0.134553
pr_000923198,0.391115, 0.134553
pr_000982286,0.391115, 0.134553
pr_000696409,0.391115, 0.134553
pr_000718667,0.391115, 0.134553
pr_000932138,0.391115, 0.134554
pr_000914827,0.391115, 0.134584
pr_000716288,0.391115, 0.134614
pr_000636211,0.391115, 0.134700
pr_000752529,0.391115, 0.134966
pr_000838971,0.391115, 0.134966
pr_001686067,0.391115, 0.136071
pr_001089493,0.391115, 0.136412
pr_000560126,0.391115, 0.136548
pr_000707127,0.391115, 0.136898
pr_000655578,0.391115, 0.137444
pr_000752865,0.391115, 0.137444
pr_001093176,0.391115, 0.137984
pr_000559506,0.391115, 0.138111
pr_001600267,0.391115, 0.138233
pr_000747789,0.391115, 0.140542
pr_001409387,0.391115, 0.141322
pr_001015550,0.391115, 0.148074
pr_001624072,0.391115, 0.152627
pr_001015981,0.391115, 0.153377
pr_001010698,0.391115, 0.153377
pr_001673556,0.391115, 0.176503
pr_001202350,0.390053, 0.000000
pr_000763137,0.390053, 0.000000
us_000535157,0.390053, 0.000001
us_000460237,0.390053, 0.000001
us_000549189,0.390053, 0.000001
