Product ID : 2111 # of JPs covered : 1 : 190 : Accounting-Valuation Services, 
OID,Confidence at Map Node,Error at Map Node
pr_000634700,0.351804, 0.078272
pr_000562108,0.351804, 0.078272
pr_000556795,0.351804, 0.078272
pr_000566415,0.351804, 0.078329
pr_000669023,0.351804, 0.078344
pr_000932222,0.351804, 0.078585
pr_000821618,0.351804, 0.078684
pr_000627426,0.351804, 0.078728
pr_000872253,0.351804, 0.079110
pr_000396307,0.351804, 0.079763
pr_000519553,0.351804, 0.079943
pr_000510842,0.351804, 0.080054
pr_000560168,0.351804, 0.080233
pr_001041516,0.351804, 0.080233
pr_000633486,0.351804, 0.080233
pr_000632804,0.351804, 0.080233
pr_001042548,0.351804, 0.080233
pr_000980626,0.351804, 0.080233
pr_000543543,0.351804, 0.080233
pr_000813454,0.351804, 0.080233
pr_000992545,0.351804, 0.080233
pr_000849894,0.351804, 0.080233
pr_000748436,0.351804, 0.080233
pr_000910528,0.351804, 0.080233
pr_000632591,0.351804, 0.080233
pr_000940779,0.351804, 0.080233
pr_001159258,0.351804, 0.080233
pr_000630411,0.351804, 0.080233
pr_000635600,0.351804, 0.080233
pr_000937292,0.351804, 0.080233
pr_001007364,0.351804, 0.080233
pr_001042629,0.351804, 0.080233
pr_000760550,0.351804, 0.080233
pr_000633815,0.351804, 0.080233
pr_001159114,0.351804, 0.080233
pr_000654696,0.351804, 0.080233
pr_000514260,0.351804, 0.080233
pr_000919635,0.351804, 0.080233
pr_001042673,0.351804, 0.080233
pr_001093163,0.351804, 0.080233
pr_000517964,0.351804, 0.080233
pr_001142097,0.351804, 0.080233
pr_001043017,0.351804, 0.080233
pr_000718879,0.351804, 0.080233
pr_000634703,0.351804, 0.080233
pr_000636044,0.351804, 0.080233
pr_000525049,0.351804, 0.080233
pr_001044194,0.351804, 0.080233
pr_001042784,0.351804, 0.080233
pr_000627997,0.351804, 0.080233
pr_001144013,0.351804, 0.080233
pr_001059304,0.351804, 0.080233
pr_000748433,0.351804, 0.080233
pr_000818117,0.351804, 0.080233
pr_001041807,0.351804, 0.080233
pr_001157884,0.351804, 0.080233
pr_000632903,0.351804, 0.080233
pr_000857013,0.351804, 0.080233
pr_000922870,0.351804, 0.080233
pr_001041262,0.351804, 0.080233
pr_000516157,0.351804, 0.080233
pr_000633706,0.351804, 0.080233
pr_000921226,0.351804, 0.080233
pr_000776838,0.351804, 0.080233
pr_001089538,0.351804, 0.080233
pr_001044094,0.351804, 0.080233
pr_000922363,0.351804, 0.080233
pr_000657008,0.351804, 0.080233
pr_001043750,0.351804, 0.080233
pr_000718887,0.351804, 0.080233
pr_000635962,0.351804, 0.080233
pr_000954829,0.351804, 0.080233
pr_000776794,0.351804, 0.080233
pr_000712401,0.351804, 0.080233
pr_000632812,0.351804, 0.080233
pr_000636036,0.351804, 0.080233
pr_001044994,0.351804, 0.080233
pr_000881569,0.351804, 0.080233
pr_000986966,0.351804, 0.080233
pr_001142880,0.351804, 0.080233
pr_000696432,0.351804, 0.080233
pr_001154921,0.351804, 0.080233
pr_000749632,0.351804, 0.080233
pr_000631020,0.351804, 0.080233
pr_000919971,0.351804, 0.080233
pr_001041689,0.351804, 0.080233
pr_000695483,0.351804, 0.080233
pr_000560933,0.351804, 0.080233
pr_000895564,0.351804, 0.080233
pr_000519552,0.351804, 0.080354
pr_000817142,0.351804, 0.080620
pr_000817457,0.351804, 0.080834
pr_000911080,0.351804, 0.080834
pr_000817904,0.351804, 0.081953
pr_000431084,0.351804, 0.082265
pr_000653079,0.351804, 0.082318
pr_000373612,0.351804, 0.082453
pr_000713601,0.351804, 0.082453
pr_000363709,0.351804, 0.082586
pr_000371742,0.351804, 0.082593
pr_000564634,0.351804, 0.082651
pr_001033397,0.351804, 0.082673
pr_000666595,0.351804, 0.082701
pr_000826690,0.351804, 0.082709
pr_000564589,0.351804, 0.082756
pr_000523955,0.351804, 0.082764
pr_000543912,0.351804, 0.082777
pr_000718804,0.351804, 0.082777
pr_000716006,0.351804, 0.082777
pr_001042567,0.351804, 0.082777
pr_001041187,0.351804, 0.082803
pr_000748683,0.351804, 0.082842
pr_000719384,0.351804, 0.082842
pr_000525417,0.351804, 0.082842
pr_000966263,0.351804, 0.082842
pr_000714450,0.351804, 0.082842
pr_000910286,0.351804, 0.082846
pr_000551177,0.351804, 0.082852
pr_000702237,0.351804, 0.082894
pr_000748708,0.351804, 0.082922
pr_000921626,0.351804, 0.082922
pr_001044120,0.351804, 0.082922
pr_000519241,0.351804, 0.082922
pr_000921852,0.351804, 0.082922
pr_000631867,0.351804, 0.082922
pr_000911067,0.351804, 0.082922
pr_000517602,0.351804, 0.082922
pr_000695288,0.351804, 0.082922
pr_000853294,0.351804, 0.082922
pr_000512887,0.351804, 0.082922
pr_001042961,0.351804, 0.082922
pr_000748225,0.351804, 0.082922
pr_000633713,0.351804, 0.082922
pr_000632827,0.351804, 0.082922
pr_000512744,0.351804, 0.082922
pr_000522516,0.351804, 0.082922
pr_000512883,0.351804, 0.082922
pr_000518044,0.351804, 0.082922
