Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
us_000479908,0.632404,No Mappings With Chosen Products
pr_000856980,0.007764,No Mappings With Chosen Products
pr_001299849,0.000467,No Mappings With Chosen Products
pr_000433629,0.006599,No Mappings With Chosen Products
pr_001840358,0.006613,No Mappings With Chosen Products
pr_000936890,0.006517,No Mappings With Chosen Products
pr_001328624,0.000467,No Mappings With Chosen Products
pr_000117344,0.003148,No Mappings With Chosen Products
pr_001239856,0.000467,No Mappings With Chosen Products
pr_001185137,0.000467,No Mappings With Chosen Products
pr_000287889,0.006701,No Mappings With Chosen Products
pr_001153635,0.203386,No Mappings With Chosen Products
pr_001125753,0.006580,No Mappings With Chosen Products
pr_001310677,0.000467,No Mappings With Chosen Products
pr_001161759,0.012345,No Mappings With Chosen Products
us_000616607,0.006960,No Mappings With Chosen Products
pr_001309965,0.000467,No Mappings With Chosen Products
us_000464384,0.146348,No Mappings With Chosen Products
pr_000934648,0.006580,No Mappings With Chosen Products
pr_001089233,0.025582,No Mappings With Chosen Products
us_000471597,0.023487,No Mappings With Chosen Products
us_000505047,0.125207,No Mappings With Chosen Products
pr_001712312,0.006580,No Mappings With Chosen Products
pr_001447328,1.006276,No Mappings With Chosen Products
pr_000001451,0.012002,No Mappings With Chosen Products
us_000507088,0.005709,No Mappings With Chosen Products
us_000486788,0.575484,No Mappings With Chosen Products
us_000474943,0.026065,No Mappings With Chosen Products
pr_002002184,0.006800,No Mappings With Chosen Products
pr_001529991,0.000467,No Mappings With Chosen Products
pr_001166376,0.012640,No Mappings With Chosen Products
pr_001604080,0.005793,No Mappings With Chosen Products
pr_000161220,0.005793,No Mappings With Chosen Products
pr_000994788,0.006580,No Mappings With Chosen Products
us_000597482,0.208729,No Mappings With Chosen Products
pr_000911468,0.033049,No Mappings With Chosen Products
us_000505913,0.028750,No Mappings With Chosen Products
pr_000232184,0.006815,No Mappings With Chosen Products
us_000517396,0.034495,No Mappings With Chosen Products
pr_001023275,0.006580,No Mappings With Chosen Products
pr_001974912,0.007005,No Mappings With Chosen Products
pr_001199425,0.000467,No Mappings With Chosen Products
us_000595083,0.019918,No Mappings With Chosen Products
us_000510247,0.006580,No Mappings With Chosen Products
us_000498821,0.007040,No Mappings With Chosen Products
pr_001077286,0.020198,No Mappings With Chosen Products
pr_001203886,0.000467,No Mappings With Chosen Products
us_000485165,0.006580,No Mappings With Chosen Products
pr_001904540,0.007166,No Mappings With Chosen Products
us_000504068,0.211989,No Mappings With Chosen Products
pr_000555873,0.008017,No Mappings With Chosen Products
us_000119121,0.119216,No Mappings With Chosen Products
pr_000961479,0.012345,No Mappings With Chosen Products
pr_000425741,0.006580,No Mappings With Chosen Products
pr_001080523,0.018918,No Mappings With Chosen Products
pr_000956134,0.005793,No Mappings With Chosen Products
pr_001334380,0.000467,No Mappings With Chosen Products
pr_001001718,0.006854,No Mappings With Chosen Products
pr_000885577,0.006731,No Mappings With Chosen Products
pr_001288974,1.004961,No Mappings With Chosen Products
us_000616840,0.006580,No Mappings With Chosen Products
us_000591460,0.776994,No Mappings With Chosen Products
pr_001153236,0.006573,No Mappings With Chosen Products
pr_001593229,0.006580,No Mappings With Chosen Products
pr_001601533,0.005793,No Mappings With Chosen Products
us_000505614,0.009678,No Mappings With Chosen Products
pr_000082019,0.006683,No Mappings With Chosen Products
pr_000001097,0.012000,No Mappings With Chosen Products
us_000477451,0.020772,No Mappings With Chosen Products
pr_001537413,0.000467,No Mappings With Chosen Products
pr_001208897,0.025845,No Mappings With Chosen Products
pr_001554718,0.000467,No Mappings With Chosen Products
pr_001352984,1.005236,No Mappings With Chosen Products
pr_000564510,0.016004,No Mappings With Chosen Products
pr_000392115,0.011791,No Mappings With Chosen Products
us_000496535,0.018394,No Mappings With Chosen Products
pr_001161322,0.006679,No Mappings With Chosen Products
pr_001337992,1.005928,No Mappings With Chosen Products
us_000544282,0.118816,No Mappings With Chosen Products
pr_000944116,0.006704,No Mappings With Chosen Products
pr_001327075,0.000467,No Mappings With Chosen Products
pr_000796492,0.006580,No Mappings With Chosen Products
pr_000879604,0.007275,No Mappings With Chosen Products
us_000486564,0.845129,No Mappings With Chosen Products
pr_001930170,0.013529,No Mappings With Chosen Products
pr_001062923,0.028003,No Mappings With Chosen Products
pr_001180378,1.005236,No Mappings With Chosen Products
pr_000590627,0.006580,No Mappings With Chosen Products
us_000475884,0.215362,No Mappings With Chosen Products
pr_001179255,0.004199,No Mappings With Chosen Products
us_000533794,1.222488,No Mappings With Chosen Products
pr_001365577,1.004961,No Mappings With Chosen Products
pr_001205573,1.005288,No Mappings With Chosen Products
pr_001196054,0.000467,No Mappings With Chosen Products
pr_000230009,0.006154,No Mappings With Chosen Products
pr_001388076,0.008568,No Mappings With Chosen Products
pr_000813958,0.007632,No Mappings With Chosen Products
pr_001537598,0.000467,No Mappings With Chosen Products
pr_001206194,0.025845,No Mappings With Chosen Products
