Prospect OID,Prospect BMU Dist,Product OID, Product Confidence,...
us_000589219,0.363216,932:0.826390,
pr_002161091,0.177871,949:0.456385,
pr_000559788,0.053041,2108:0.099223,
us_000492613,4.223629,949:1.000000,2148:0.152305,
us_000468241,0.034746,215:0.019098,
us_000559995,0.063422,2095:0.382661,
us_000490896,0.135279,2067:0.490123,
pr_001157740,0.076538,895:0.067435,
pr_000921797,0.084883,1027:0.351804,
us_000582620,1.911208,2093:0.956947,
pr_000948150,0.247257,2064:0.581005,
pr_000845993,0.136046,932:0.522655,
us_000474546,0.041551,215:0.019098,
us_000540305,0.826480,957:0.092677,
pr_001128789,0.247257,2064:0.581005,
pr_001034669,0.059853,895:0.144696,
pr_000868603,0.174820,932:0.592207,
us_000598400,0.206927,933:0.123058,
pr_001974868,0.094515,933:0.387098,
us_000485002,0.402416,2092:0.318070,2139:0.285125,
pr_000632643,0.036755,2095:0.081086,
us_000482259,0.190015,2062:0.824714,
us_000595691,0.036341,2126:0.238516,
us_000460945,0.108458,933:0.569031,
us_000475790,0.174324,897:0.705032,
us_000499151,0.416996,2123:1.000000,
us_000486589,0.016311,2135:0.071116,
us_000495331,0.171108,2095:0.747507,
us_000593283,0.682387,915:0.004879,
us_000594746,0.718180,2064:0.985936,
us_000515354,0.602508,2085:0.502380,983:0.093166,2132:0.035215,
pr_001089538,0.080233,1027:0.351804,
us_000615064,0.270225,915:0.112549,
us_000518469,0.389299,2095:1.000000,
pr_001006112,0.071019,972:0.173006,
us_000526886,0.074872,983:0.224722,
pr_000259751,0.076328,2080:0.497630,
us_000473838,0.017074,905:0.029430,
us_000534854,0.310066,215:0.182677,
us_000506212,0.917875,2119:0.519867,
pr_001807004,0.051401,2091:0.058780,
pr_001762572,0.067497,933:0.248657,
us_000562672,0.388223,1005:0.795767,
us_000523533,0.131698,890:0.062506,
us_000572071,0.832979,215:0.281596,
us_000516575,0.156053,997:0.380150,
us_000493096,0.504753,930:0.506569,2070:0.479373,
pr_000626214,0.070393,972:0.173006,
pr_000567136,0.070445,972:0.173006,
pr_001068078,0.046915,2067:0.082387,
pr_000583743,0.043370,215:0.019098,
pr_000373843,0.056678,895:0.070406,
us_000460774,0.170344,993:0.437233,2064:0.063365,
pr_001072316,0.034270,1037:0.202869,
us_000497859,0.247813,895:0.642628,
us_000554887,0.140133,918:0.501720,
us_000577424,0.293671,215:0.182677,
us_000500293,0.946894,215:0.516729,
us_000537807,0.136775,2097:0.575315,
pr_000627426,0.078728,1027:0.351804,
pr_001900379,0.247734,1005:0.642199,
pr_000829194,0.249780,1005:0.642199,
us_000488788,0.200287,2146:0.366215,972:0.147058,
