Product ID : 2102 # of JPs covered : 1 : 63 : Law Firm Management, 
OID,Confidence at Map Node,Error at Map Node
pr_000765514,0.427167, 0.000006
pr_001040090,0.427167, 0.000007
pr_001123765,0.427167, 0.000007
pr_001050440,0.427167, 0.000007
pr_001661340,0.427167, 0.000008
pr_002072234,0.427167, 0.000008
pr_001964216,0.427167, 0.000008
pr_000767256,0.427167, 0.000009
pr_001051008,0.427167, 0.000009
pr_001085929,0.427167, 0.000009
pr_001046566,0.427167, 0.000009
pr_001049475,0.427167, 0.000009
pr_001040043,0.427167, 0.000009
pr_001061797,0.427167, 0.000009
pr_001049504,0.427167, 0.000015
pr_001047888,0.427167, 0.000019
pr_001086205,0.427167, 0.000019
pr_001027125,0.427167, 0.000019
pr_001028651,0.427167, 0.000019
pr_001051507,0.427167, 0.000019
pr_001048969,0.427167, 0.000019
pr_001061697,0.427167, 0.000019
pr_000755488,0.427167, 0.000019
pr_001058519,0.427167, 0.000019
pr_001068602,0.427167, 0.000025
pr_000775075,0.427167, 0.000025
pr_001049418,0.427167, 0.000025
pr_001049072,0.427167, 0.000025
pr_001100398,0.427167, 0.000025
pr_001059678,0.427167, 0.000025
pr_000770897,0.427167, 0.000025
pr_000648901,0.427167, 0.000026
pr_000821930,0.427167, 0.000028
pr_000821987,0.427167, 0.000028
pr_000648019,0.427167, 0.000028
pr_000656752,0.427167, 0.000028
pr_000610101,0.427167, 0.000028
pr_002106924,0.427167, 0.000032
pr_002168070,0.427167, 0.000032
pr_002131426,0.427167, 0.000032
pr_001581980,0.427167, 0.000034
pr_000729912,0.427167, 0.000034
pr_001052824,0.427167, 0.000034
pr_001049385,0.427167, 0.000034
pr_001104738,0.427167, 0.000034
pr_000949718,0.427167, 0.000034
pr_000852816,0.427167, 0.000035
pr_001052927,0.427167, 0.000042
pr_001769202,0.427167, 0.000044
pr_001397604,0.427167, 0.000049
pr_001935908,0.427167, 0.000049
pr_001961985,0.427167, 0.000049
pr_001082782,0.427167, 0.000055
pr_000937765,0.427167, 0.000059
pr_001817473,0.427167, 0.000059
pr_001162256,0.427167, 0.000059
pr_001027112,0.427167, 0.000061
pr_001051112,0.427167, 0.000067
pr_001913517,0.427167, 0.000071
pr_000696829,0.427167, 0.000071
pr_001048947,0.427167, 0.000077
pr_001080524,0.427167, 0.000077
pr_001054941,0.427167, 0.000082
pr_001099366,0.427167, 0.000082
pr_001057825,0.427167, 0.000082
pr_000432967,0.427167, 0.000083
pr_000939361,0.427167, 0.000100
