Product ID : 215 # of JPs covered : 1 : 97 : Healthcare, 
OID,Confidence at Map Node,Error at Map Node
us_000470005,0.468938, 0.313873
us_000435508,0.468938, 0.313873
us_000464540,0.468938, 0.314684
us_000264212,0.468938, 0.314808
us_000110971,0.468938, 0.314979
us_000571512,0.468938, 0.315603
us_000537489,0.468938, 0.315706
us_000469607,0.468938, 0.315747
us_000473878,0.468938, 0.315884
us_000201392,0.468938, 0.316174
us_000476497,0.468938, 0.317598
us_000460864,0.468938, 0.317636
us_000239781,0.468938, 0.317636
us_000467009,0.468938, 0.317636
us_000276694,0.468938, 0.317636
us_000490932,0.468938, 0.317837
us_000464589,0.468938, 0.318244
us_000471257,0.468938, 0.318244
us_000466690,0.468938, 0.318586
us_000468004,0.468938, 0.318586
us_000461547,0.468938, 0.319472
us_000461403,0.468938, 0.319538
us_000468847,0.468938, 0.319538
us_000430259,0.468938, 0.319538
us_000463390,0.468938, 0.319538
us_000461351,0.468938, 0.319538
us_000496945,0.468938, 0.319836
us_000460715,0.468938, 0.320168
us_000461502,0.468938, 0.320495
us_000472318,0.468938, 0.320495
us_000466536,0.468938, 0.320669
us_000564958,0.468938, 0.320669
us_000470362,0.468938, 0.320896
us_000335671,0.468938, 0.320929
us_000469977,0.468938, 0.321006
us_000559621,0.468938, 0.321134
us_000465192,0.468938, 0.322068
pr_000872611,0.468938, 0.322530
us_000481693,0.468938, 0.323547
us_000465561,0.468938, 0.324398
us_000550061,0.468938, 0.324743
us_000192666,0.468938, 0.330805
pr_001728588,0.468938, 0.334385
us_000463767,0.468938, 0.335112
us_000477901,0.468938, 0.338380
us_000106618,0.468938, 0.348454
us_000570517,0.468938, 0.348877
us_000289917,0.468938, 0.351303
us_000577000,0.468938, 0.355544
us_000506258,0.468938, 0.357349
us_000472277,0.468938, 0.359616
us_000567842,0.468938, 0.363785
us_000460513,0.468938, 0.363853
us_000592902,0.468938, 0.371841
us_000454252,0.468938, 0.375209
us_000494934,0.468938, 0.391982
us_000545455,0.468938, 0.394347
us_000503052,0.468938, 0.409716
us_000503048,0.468938, 0.410829
us_000514148,0.468938, 0.414140
us_000583977,0.468938, 0.414187
us_000459784,0.468938, 0.439344
us_000461236,0.468938, 0.447985
us_000594552,0.468938, 0.449366
us_000555791,0.468938, 0.458030
us_000565690,0.468938, 0.541044
us_000465771,0.468938, 0.550969
us_000561973,0.468938, 0.563465
us_000263047,0.468938, 0.584993
us_000571934,0.468938, 0.623710
us_000582412,0.468938, 0.696959
us_000508482,0.468938, 0.819973
us_000583154,0.468938, 0.846233
us_000281745,0.468938, 1.075302
us_000570484,0.468938, 1.224080
us_000429733,0.468938, 1.228660
us_000496497,0.468938, 1.383852
us_000532885,0.468938, 1.717642
us_000521570,0.468938, 1.811751
us_000507877,0.447149, 0.000071
us_000475398,0.447149, 0.398793
us_000552560,0.447149, 0.402169
us_000198758,0.447149, 0.404064
us_000543132,0.447149, 0.405917
us_000502272,0.447149, 0.405977
us_000547044,0.447149, 0.409359
us_000567206,0.447149, 0.411499
us_000535563,0.447149, 0.411928
us_000547322,0.447149, 0.419383
us_000596849,0.447149, 0.420369
us_000533909,0.447149, 0.421204
us_000192120,0.447149, 0.421212
us_000570278,0.447149, 0.421819
us_000550948,0.447149, 0.423924
us_000569842,0.447149, 0.426367
us_000595371,0.447149, 0.426973
us_000566040,0.447149, 0.428549
us_000589106,0.447149, 0.428916
us_000477958,0.447149, 0.430808
us_000597119,0.447149, 0.430815
us_000543141,0.447149, 0.431025
us_000472352,0.447149, 0.431475
us_000547373,0.447149, 0.432141
us_000573907,0.447149, 0.433071
us_000494115,0.447149, 0.434690
us_000562591,0.447149, 0.434842
us_000594515,0.447149, 0.437683
us_000545661,0.447149, 0.438302
us_000559384,0.447149, 0.439598
us_000597303,0.447149, 0.439735
us_000574347,0.447149, 0.439735
us_000576679,0.447149, 0.440262
us_000584250,0.447149, 0.440571
us_000597729,0.447149, 0.440741
us_000574378,0.447149, 0.440741
us_000597730,0.447149, 0.440741
us_000574406,0.447149, 0.440741
us_000574397,0.447149, 0.440741
us_000571627,0.447149, 0.442709
us_000587243,0.447149, 0.443194
us_000465430,0.447149, 0.443411
us_000580335,0.447149, 0.443506
us_000532519,0.447149, 0.443981
us_000607788,0.447149, 0.444279
us_000470445,0.447149, 0.445224
us_000588515,0.447149, 0.445565
us_000595156,0.447149, 0.446429
us_000570650,0.447149, 0.447071
us_000588956,0.447149, 0.448058
us_000617017,0.447149, 0.448327
us_000468443,0.447149, 0.449074
us_000570812,0.447149, 0.449482
us_000584274,0.447149, 0.450487
us_000584286,0.447149, 0.450487
us_000596434,0.447149, 0.450716
us_000583875,0.447149, 0.451372
us_000588301,0.447149, 0.452073
us_000584232,0.447149, 0.452370
us_000584233,0.447149, 0.452370
us_000617262,0.447149, 0.453373
us_000587901,0.447149, 0.454376
us_000585040,0.447149, 0.454378
us_000585113,0.447149, 0.454378
us_000596276,0.447149, 0.454378
us_000579247,0.447149, 0.454378
us_000584288,0.447149, 0.454378
us_000581099,0.447149, 0.454378
us_000585332,0.447149, 0.454378
us_000616967,0.447149, 0.454378
us_000584405,0.447149, 0.454922
us_000609558,0.447149, 0.456377
us_000548330,0.447149, 0.465689
us_000562725,0.447149, 0.466556
us_000595521,0.447149, 0.467789
us_000575216,0.447149, 0.471681
us_000452674,0.447149, 0.472032
us_000605530,0.447149, 0.473630
us_000481792,0.447149, 0.474718
us_000548586,0.447149, 0.474952
us_000534904,0.447149, 0.479470
us_000529362,0.447149, 0.482816
us_000605362,0.447149, 0.483361
us_000605544,0.447149, 0.483361
us_000606597,0.447149, 0.487268
us_000607468,0.447149, 0.493645
us_000610267,0.447149, 0.495287
us_000557012,0.447149, 0.498064
us_000576249,0.447149, 0.509129
us_000583920,0.447149, 0.512561
us_000555003,0.447149, 0.537717
us_000557111,0.447149, 0.576071
us_000548637,0.447149, 0.636715
us_000575455,0.447149, 0.744576
us_000474760,0.447149, 0.847894
pr_000411934,0.443583, 0.000002
pr_001834935,0.443583, 0.000028
us_000497231,0.443583, 0.000346
us_000496831,0.443583, 0.435217
us_000572967,0.443583, 0.464866
us_000497574,0.443583, 0.472807
us_000496821,0.443583, 0.477102
us_000497046,0.443583, 0.498664
us_000573782,0.443583, 0.510844
us_000496769,0.443583, 0.519301
us_000573783,0.443583, 0.524478
us_000579457,0.443583, 0.525665
us_000580114,0.443583, 0.541867
us_000614960,0.443583, 0.571093
us_000614610,0.443583, 0.573706
us_000571778,0.443583, 0.596034
us_000585309,0.443583, 0.602034
us_000579621,0.443583, 0.610985
us_000550369,0.443583, 0.618922
us_000572694,0.443583, 0.623435
us_000275660,0.443583, 0.626703
us_000615192,0.443583, 0.628355
us_000616328,0.443583, 0.639727
us_000585392,0.443583, 0.691826
us_000554629,0.443583, 0.698872
us_000485319,0.443583, 0.706959
us_000485604,0.443583, 0.727411
us_000319046,0.443583, 0.728773
us_000569091,0.443583, 0.729731
us_000543405,0.443583, 0.746750
us_000324891,0.443583, 0.752337
us_000551076,0.443583, 0.752529
us_000549578,0.443583, 0.753148
us_000568645,0.443583, 0.754092
us_000523529,0.443583, 0.754650
us_000569154,0.443583, 0.758595
us_000478757,0.443583, 0.758603
us_000569886,0.443583, 0.772267
us_000509447,0.443583, 0.775087
us_000520873,0.443583, 0.779754
us_000508161,0.443583, 0.787659
us_000584430,0.443583, 0.791565
us_000499394,0.443583, 0.795798
us_000519020,0.443583, 0.796168
us_000568130,0.443583, 0.800563
us_000517965,0.443583, 0.800805
us_000593987,0.443583, 0.803281
us_000569933,0.443583, 0.805559
us_000517538,0.443583, 0.809680
us_000519601,0.443583, 0.811617
us_000556751,0.443583, 0.812155
us_000246885,0.443583, 0.812754
us_000598851,0.443583, 0.817191
us_000478386,0.443583, 0.817915
us_000556288,0.443583, 0.819486
us_000594101,0.443583, 0.824617
us_000543593,0.443583, 0.831077
us_000550086,0.443583, 0.831337
us_000600467,0.443583, 0.835626
us_000600476,0.443583, 0.844039
us_000519565,0.443583, 0.844122
us_000593962,0.443583, 0.845002
us_000617052,0.443583, 0.845968
us_000598943,0.443583, 0.845968
us_000593203,0.443583, 0.845968
us_000594135,0.443583, 0.845968
us_000598640,0.443583, 0.848745
us_000567343,0.443583, 0.850950
us_000594108,0.443583, 0.851722
us_000598688,0.443583, 0.859899
us_000553977,0.443583, 0.861163
us_000518385,0.443583, 0.865390
us_000593398,0.443583, 0.881395
us_000509351,0.443583, 1.146324
us_000221970,0.443583, 2.299683
pr_000445596,0.394155, 0.000011
us_000491039,0.394155, 0.115710
us_000526592,0.394155, 0.201633
us_000519592,0.394155, 0.228184
us_000540448,0.394155, 0.383414
us_000542450,0.394155, 0.430709
us_000542128,0.394155, 0.470663
us_000573080,0.394155, 0.474170
us_000542636,0.394155, 0.483668
us_000518338,0.394155, 0.495418
us_000525817,0.394155, 0.525996
us_000585454,0.394155, 0.549435
us_000491497,0.394155, 0.641262
us_000516391,0.394155, 0.682882
us_000492199,0.394155, 0.704413
us_000538365,0.394155, 0.723560
us_000580538,0.394155, 0.763815
us_000561161,0.394155, 0.765380
us_000516570,0.394155, 0.775229
us_000585980,0.394155, 0.800160
us_000594429,0.394155, 0.831717
us_000490642,0.394155, 0.838423
us_000560629,0.394155, 0.851777
us_000561851,0.394155, 0.916604
us_000556426,0.394155, 0.924939
us_000482422,0.394155, 0.938893
us_000594496,0.394155, 0.940020
